ReservaID,FechaEntrada,FechaSalida,Noches,TipoHabitacion,Plan,Mercado,Adultos,Ninos,TotalPersonas,TarifaNoche,ServiciosExtra,CostoServicios,Descuento,TotalReserva,Estado,CanalReserva,EsFinDeSemana,Mes,Trimestre,Temporada
RES000026,2023-01-01,2023-01-05,4,Standard,Todo Incluido,Brasil,1,0,1,35103.75,"Estacionamiento, Spa",3000,0.0,143415.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000027,2023-01-01,2023-01-03,2,Standard,Solo Alojamiento,Argentina,2,0,2,18500.0,Ninguno,0,0.0,37000.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000028,2023-01-01,2023-01-06,5,Standard,Alojamiento + Desayuno,Brasil,2,0,2,26593.75,Spa,1500,8714.35,125754.4,Check-out,Booking.com,False,2023-01,T1,Alta
RES000029,2023-01-01,2023-01-05,4,Standard,Alojamiento + Desayuno,Europa,1,0,1,27750.0,"Desayuno, Estacionamiento",3000,0.0,114000.0,Check-out,Directo,False,2023-01,T1,Alta
RES000030,2023-01-01,2023-01-04,3,Suite,Solo Alojamiento,Argentina,2,2,4,38500.0,"Desayuno, Spa",3000,0.0,118500.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000031,2023-01-01,2023-01-04,3,Standard,Todo Incluido,Europa,2,0,2,36630.0,"Desayuno, Spa",3000,0.0,112890.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000032,2023-01-01,2023-01-04,3,Standard,Todo Incluido,Otros Latinoamérica,2,0,2,33577.5,Ninguno,0,6323.35,94409.15,Check-out,Despegar,False,2023-01,T1,Alta
RES000033,2023-01-01,2023-01-04,3,Familiar,Media Pensión,Argentina,4,1,5,45675.0,Estacionamiento,1500,0.0,138525.0,Check-out,Agencia,False,2023-01,T1,Alta
RES000034,2023-01-01,2023-01-02,1,Standard,Solo Alojamiento,Otros Latinoamérica,1,1,2,20350.0,Ninguno,0,0.0,20350.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000035,2023-01-01,2023-01-03,2,Standard,Media Pensión,Argentina,1,1,2,26825.0,Desayuno,1500,0.0,55150.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000036,2023-01-01,2023-01-05,4,Familiar,Alojamiento + Desayuno,Brasil,4,0,4,45281.25,Ninguno,0,16579.82,164545.18,Check-in,Booking.com,False,2023-01,T1,Alta
RES000037,2023-01-01,2023-01-02,1,Suite,Todo Incluido,Estados Unidos,3,1,4,79406.25,Ninguno,0,0.0,79406.25,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000038,2023-01-01,2023-01-05,4,Standard,Todo Incluido,Argentina,1,0,1,30525.0,Ninguno,0,0.0,122100.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000039,2023-01-01,2023-01-06,5,Suite,Todo Incluido,Argentina,3,1,4,63525.0,Ninguno,0,17597.86,300027.14,Check-out,Booking.com,False,2023-01,T1,Alta
RES000040,2023-01-01,2023-01-05,4,Standard,Solo Alojamiento,Argentina,2,0,2,18500.0,"Desayuno, Estacionamiento",3000,0.0,77000.0,No Show,Sitio Web,False,2023-01,T1,Alta
RES000041,2023-01-01,2023-01-05,4,Suite,Alojamiento + Desayuno,Europa,2,2,4,57750.0,Estacionamiento,1500,0.0,232500.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000042,2023-01-01,2023-01-02,1,Superior,Todo Incluido,Argentina,2,1,3,40425.0,"Desayuno, Spa",3000,3900.34,39524.66,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000043,2023-01-01,2023-01-04,3,Familiar,Media Pensión,Argentina,1,3,4,45675.0,Ninguno,0,0.0,137025.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000044,2023-01-01,2023-01-06,5,Familiar,Alojamiento + Desayuno,Argentina,4,0,4,39375.0,"Desayuno, Estacionamiento",3000,0.0,199875.0,Check-out,Directo,False,2023-01,T1,Alta
RES000045,2023-01-01,2023-01-06,5,Suite,Solo Alojamiento,Argentina,2,0,2,38500.0,Ninguno,0,0.0,192500.0,Check-in,Directo,False,2023-01,T1,Alta
RES000046,2023-01-01,2023-01-02,1,Familiar,Media Pensión,Brasil,4,1,5,52526.25,Ninguno,0,0.0,52526.25,Check-out,Booking.com,False,2023-01,T1,Alta
RES000047,2023-01-01,2023-01-06,5,Standard,Alojamiento + Desayuno,Estados Unidos,2,0,2,28906.25,Desayuno,1500,12415.35,133615.9,Check-in,Expedia,False,2023-01,T1,Alta
RES000048,2023-01-01,2023-01-03,2,Standard,Alojamiento + Desayuno,Argentina,1,1,2,23125.0,Ninguno,0,0.0,46250.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000049,2023-01-01,2023-01-04,3,Standard,Todo Incluido,Brasil,2,0,2,35103.75,Estacionamiento,1500,0.0,106811.25,Check-out,Booking.com,False,2023-01,T1,Alta
RES000050,2023-01-01,2023-01-04,3,Standard,Solo Alojamiento,Argentina,2,0,2,18500.0,"Desayuno, Spa",3000,0.0,58500.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000051,2023-01-01,2023-01-03,2,Familiar,Solo Alojamiento,Otros Latinoamérica,3,0,3,34650.0,Ninguno,0,0.0,69300.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000052,2023-01-01,2023-01-04,3,Superior,Alojamiento + Desayuno,Europa,3,0,3,36750.0,Estacionamiento,1500,0.0,111750.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000053,2023-01-01,2023-01-05,4,Superior,Solo Alojamiento,Brasil,2,0,2,28175.0,Ninguno,0,11352.49,101347.51,Check-out,Despegar,False,2023-01,T1,Alta
RES000054,2023-01-01,2023-01-03,2,Familiar,Alojamiento + Desayuno,Argentina,3,0,3,39375.0,Ninguno,0,0.0,78750.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000055,2023-01-01,2023-01-06,5,Familiar,Alojamiento + Desayuno,Argentina,3,0,3,39375.0,Ninguno,0,0.0,196875.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000056,2023-01-01,2023-01-04,3,Superior,Media Pensión,Estados Unidos,2,1,3,44406.25,"Estacionamiento, Cama Adicional",3000,0.0,136218.75,Check-out,Booking.com,False,2023-01,T1,Alta
RES000057,2023-01-01,2023-01-04,3,Superior,Alojamiento + Desayuno,Argentina,2,1,3,30625.0,Desayuno,1500,0.0,93375.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000058,2023-01-01,2023-01-04,3,Standard,Todo Incluido,Argentina,1,0,1,30525.0,Ninguno,0,0.0,91575.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000059,2023-01-01,2023-01-08,7,Superior,Todo Incluido,Otros Latinoamérica,3,0,3,44467.5,Desayuno,1500,0.0,312772.5,Check-out,Expedia,False,2023-01,T1,Alta
RES000060,2023-01-01,2023-01-04,3,Standard,Alojamiento + Desayuno,Brasil,2,0,2,26593.75,Ninguno,0,0.0,79781.25,Check-in,Booking.com,False,2023-01,T1,Alta
RES000061,2023-01-01,2023-01-03,2,Standard,Todo Incluido,Argentina,2,0,2,30525.0,Ninguno,0,0.0,61050.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000062,2023-01-01,2023-01-03,2,Suite,Solo Alojamiento,Brasil,4,0,4,44275.0,"Desayuno, Estacionamiento",3000,0.0,91550.0,Check-in,Booking.com,False,2023-01,T1,Alta
RES000063,2023-01-01,2023-01-05,4,Superior,Todo Incluido,Brasil,1,2,3,46488.75,Ninguno,0,0.0,185955.0,No Show,Booking.com,False,2023-01,T1,Alta
RES000064,2023-01-01,2023-01-04,3,Familiar,Alojamiento + Desayuno,Argentina,4,0,4,39375.0,Ninguno,0,9807.99,108317.01,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000065,2023-01-01,2023-01-05,4,Suite,Todo Incluido,Argentina,3,1,4,63525.0,Ninguno,0,0.0,254100.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000066,2023-01-01,2023-01-07,6,Standard,Alojamiento + Desayuno,Argentina,1,0,1,23125.0,Ninguno,0,0.0,138750.0,No Show,Booking.com,False,2023-01,T1,Alta
RES000067,2023-01-01,2023-01-05,4,Familiar,Alojamiento + Desayuno,Brasil,3,2,5,45281.25,Ninguno,0,0.0,181125.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000068,2023-01-01,2023-01-08,7,Standard,Alojamiento + Desayuno,Europa,2,0,2,27750.0,Spa,1500,0.0,195750.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000069,2023-01-01,2023-01-02,1,Familiar,Media Pensión,Estados Unidos,2,0,2,57093.75,Ninguno,0,0.0,57093.75,Check-out,Expedia,False,2023-01,T1,Alta
RES000070,2023-01-01,2023-01-06,5,Standard,Alojamiento + Desayuno,Otros Latinoamérica,2,0,2,25437.5,Ninguno,0,0.0,127187.5,Check-out,Booking.com,False,2023-01,T1,Alta
RES000071,2023-01-01,2023-01-05,4,Familiar,Todo Incluido,Europa,3,2,5,62370.0,Ninguno,0,0.0,249480.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000072,2023-01-01,2023-01-03,2,Superior,Todo Incluido,Argentina,1,1,2,40425.0,"Desayuno, Estacionamiento",3000,9847.49,74002.51,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000073,2023-01-02,2023-01-04,2,Familiar,Alojamiento + Desayuno,Europa,4,1,5,47250.0,Cama Adicional,1500,11030.04,84969.96,Check-out,Expedia,False,2023-01,T1,Alta
RES000074,2023-01-02,2023-01-04,2,Standard,Alojamiento + Desayuno,Otros Latinoamérica,1,1,2,25437.5,Desayuno,1500,0.0,52375.0,No Show,Expedia,False,2023-01,T1,Alta
RES000075,2023-01-02,2023-01-06,4,Standard,Media Pensión,Argentina,1,1,2,26825.0,Ninguno,0,0.0,107300.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000076,2023-01-02,2023-01-07,5,Familiar,Todo Incluido,Argentina,2,0,2,51975.0,Ninguno,0,0.0,259875.0,Check-out,Agencia,False,2023-01,T1,Alta
RES000077,2023-01-02,2023-01-06,4,Standard,Solo Alojamiento,Otros Latinoamérica,2,0,2,20350.0,Ninguno,0,0.0,81400.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000078,2023-01-02,2023-01-04,2,Familiar,Solo Alojamiento,Otros Latinoamérica,1,3,4,34650.0,Cama Adicional,1500,0.0,70800.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000079,2023-01-02,2023-01-04,2,Familiar,Todo Incluido,Europa,1,4,5,62370.0,Desayuno,1500,11687.76,114552.24,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000080,2023-01-02,2023-01-07,5,Superior,Solo Alojamiento,Otros Latinoamérica,1,1,2,26950.0,Ninguno,0,0.0,134750.0,Check-out,Directo,False,2023-01,T1,Alta
RES000081,2023-01-02,2023-01-04,2,Superior,Media Pensión,Argentina,2,1,3,35525.0,Desayuno,1500,0.0,72550.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000082,2023-01-02,2023-01-05,3,Suite,Alojamiento + Desayuno,Argentina,2,2,4,48125.0,Ninguno,0,0.0,144375.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000083,2023-01-02,2023-01-04,2,Standard,Solo Alojamiento,Argentina,2,0,2,18500.0,Spa,1500,0.0,38500.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000084,2023-01-02,2023-01-05,3,Superior,Alojamiento + Desayuno,Argentina,1,0,1,30625.0,"Estacionamiento, Spa",3000,9333.46,85541.54,Check-out,Directo,False,2023-01,T1,Alta
RES000085,2023-01-02,2023-01-04,2,Standard,Media Pensión,Europa,1,0,1,32190.0,Desayuno,1500,0.0,65880.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000086,2023-01-02,2023-01-04,2,Familiar,Media Pensión,Argentina,2,1,3,45675.0,"Spa, Cama Adicional",3000,0.0,94350.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000087,2023-01-02,2023-01-05,3,Familiar,Todo Incluido,Brasil,3,2,5,59771.25,Estacionamiento,1500,0.0,180813.75,Check-in,Sitio Web,False,2023-01,T1,Alta
RES000088,2023-01-02,2023-01-05,3,Superior,Media Pensión,Argentina,1,1,2,35525.0,Ninguno,0,0.0,106575.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000089,2023-01-02,2023-01-07,5,Familiar,Solo Alojamiento,Argentina,3,1,4,31500.0,Ninguno,0,0.0,157500.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000090,2023-01-02,2023-01-06,4,Familiar,Alojamiento + Desayuno,Argentina,2,2,4,39375.0,Cama Adicional,1500,0.0,159000.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000091,2023-01-02,2023-01-07,5,Suite,Media Pensión,Estados Unidos,2,2,4,69781.25,"Desayuno, Spa",3000,0.0,351906.25,Check-out,Expedia,False,2023-01,T1,Alta
RES000092,2023-01-02,2023-01-05,3,Superior,Solo Alojamiento,Brasil,2,1,3,28175.0,Estacionamiento,1500,6479.26,79545.74,Check-out,Booking.com,False,2023-01,T1,Alta
RES000093,2023-01-02,2023-01-06,4,Familiar,Solo Alojamiento,Brasil,4,1,5,36225.0,Spa,1500,0.0,146400.0,Check-in,Sitio Web,False,2023-01,T1,Alta
RES000094,2023-01-02,2023-01-05,3,Superior,Media Pensión,Brasil,1,1,2,40853.75,Ninguno,0,0.0,122561.25,Check-out,Despegar,False,2023-01,T1,Alta
RES000095,2023-01-02,2023-01-06,4,Superior,Media Pensión,Argentina,3,0,3,35525.0,Ninguno,0,0.0,142100.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000096,2023-01-02,2023-01-05,3,Standard,Alojamiento + Desayuno,Otros Latinoamérica,1,0,1,25437.5,Ninguno,0,0.0,76312.5,Check-out,Booking.com,False,2023-01,T1,Alta
RES000097,2023-01-02,2023-01-05,3,Superior,Alojamiento + Desayuno,Argentina,1,2,3,30625.0,Desayuno,1500,0.0,93375.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000098,2023-01-02,2023-01-03,1,Superior,Media Pensión,Brasil,1,1,2,40853.75,Cama Adicional,1500,0.0,42353.75,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000099,2023-01-02,2023-01-05,3,Familiar,Solo Alojamiento,Argentina,1,1,2,31500.0,Ninguno,0,0.0,94500.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000100,2023-01-02,2023-01-05,3,Standard,Media Pensión,Estados Unidos,2,0,2,33531.25,Estacionamiento,1500,0.0,102093.75,Check-out,Booking.com,False,2023-01,T1,Alta
RES000101,2023-01-02,2023-01-05,3,Standard,Media Pensión,Brasil,1,1,2,30848.75,Ninguno,0,7464.12,85082.13,Check-out,Agencia,False,2023-01,T1,Alta
RES000102,2023-01-02,2023-01-04,2,Superior,Solo Alojamiento,Brasil,3,0,3,28175.0,Desayuno,1500,5455.64,52394.36,Check-out,Booking.com,False,2023-01,T1,Alta
RES000103,2023-01-02,2023-01-03,1,Suite,Media Pensión,Europa,1,3,4,66990.0,Desayuno,1500,0.0,68490.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000104,2023-01-02,2023-01-04,2,Superior,Todo Incluido,Estados Unidos,2,1,3,50531.25,Ninguno,0,0.0,101062.5,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000105,2023-01-02,2023-01-05,3,Suite,Alojamiento + Desayuno,Argentina,4,0,4,48125.0,Ninguno,0,0.0,144375.0,Cancelada,Agencia,False,2023-01,T1,Alta
RES000106,2023-01-02,2023-01-05,3,Standard,Media Pensión,Otros Latinoamérica,2,0,2,29507.5,Ninguno,0,0.0,88522.5,Check-in,Expedia,False,2023-01,T1,Alta
RES000107,2023-01-02,2023-01-05,3,Superior,Todo Incluido,Argentina,2,0,2,40425.0,"Desayuno, Estacionamiento",3000,0.0,124275.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000108,2023-01-02,2023-01-04,2,Familiar,Solo Alojamiento,Europa,1,2,3,37800.0,Estacionamiento,1500,0.0,77100.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000109,2023-01-02,2023-01-06,4,Suite,Media Pensión,Argentina,1,2,3,55825.0,Ninguno,0,0.0,223300.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000110,2023-01-02,2023-01-03,1,Standard,Solo Alojamiento,Estados Unidos,2,0,2,23125.0,Desayuno,1500,0.0,24625.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000111,2023-01-02,2023-01-05,3,Familiar,Media Pensión,Argentina,4,0,4,45675.0,Spa,1500,0.0,138525.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000112,2023-01-02,2023-01-03,1,Familiar,Media Pensión,Argentina,4,0,4,45675.0,Desayuno,1500,0.0,47175.0,Check-out,Agencia,False,2023-01,T1,Alta
RES000113,2023-01-02,2023-01-05,3,Familiar,Todo Incluido,Estados Unidos,4,0,4,64968.75,"Desayuno, Estacionamiento, Spa",4500,21835.53,177570.72,Check-in,Expedia,False,2023-01,T1,Alta
RES000114,2023-01-02,2023-01-07,5,Familiar,Todo Incluido,Brasil,2,2,4,59771.25,Ninguno,0,0.0,298856.25,Check-out,Booking.com,False,2023-01,T1,Alta
RES000115,2023-01-02,2023-01-05,3,Superior,Solo Alojamiento,Argentina,1,2,3,24500.0,Ninguno,0,0.0,73500.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000116,2023-01-02,2023-01-05,3,Familiar,Alojamiento + Desayuno,Argentina,4,0,4,39375.0,Ninguno,0,0.0,118125.0,Check-out,Expedia,False,2023-01,T1,Alta
RES000117,2023-01-02,2023-01-05,3,Suite,Todo Incluido,Argentina,3,0,3,63525.0,Desayuno,1500,10062.77,182012.23,Check-out,Booking.com,False,2023-01,T1,Alta
RES000118,2023-01-02,2023-01-08,6,Standard,Alojamiento + Desayuno,Otros Latinoamérica,2,0,2,25437.5,Desayuno,1500,0.0,154125.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000119,2023-01-02,2023-01-06,4,Superior,Todo Incluido,Argentina,3,0,3,40425.0,Ninguno,0,0.0,161700.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000120,2023-01-02,2023-01-05,3,Standard,Solo Alojamiento,Argentina,2,0,2,18500.0,Ninguno,0,0.0,55500.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000121,2023-01-02,2023-01-06,4,Suite,Alojamiento + Desayuno,Argentina,2,2,4,48125.0,Desayuno,1500,0.0,194000.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000122,2023-01-02,2023-01-05,3,Suite,Todo Incluido,Argentina,4,0,4,63525.0,Ninguno,0,0.0,190575.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000123,2023-01-02,2023-01-05,3,Suite,Alojamiento + Desayuno,Otros Latinoamérica,2,1,3,52937.5,"Estacionamiento, Cama Adicional",3000,0.0,161812.5,No Show,Despegar,False,2023-01,T1,Alta
RES000124,2023-01-02,2023-01-04,2,Familiar,Media Pensión,Argentina,3,0,3,45675.0,Desayuno,1500,0.0,92850.0,No Show,Booking.com,False,2023-01,T1,Alta
RES000125,2023-01-02,2023-01-06,4,Superior,Todo Incluido,Brasil,2,0,2,46488.75,Ninguno,0,0.0,185955.0,Check-out,Agencia,False,2023-01,T1,Alta
RES000126,2023-01-02,2023-01-03,1,Standard,Todo Incluido,Argentina,1,1,2,30525.0,"Desayuno, Spa",3000,0.0,33525.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000127,2023-01-02,2023-01-06,4,Familiar,Solo Alojamiento,Otros Latinoamérica,3,0,3,34650.0,Ninguno,0,0.0,138600.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000128,2023-01-02,2023-01-07,5,Familiar,Solo Alojamiento,Argentina,2,2,4,31500.0,Ninguno,0,15214.04,142285.96,Check-out,Booking.com,False,2023-01,T1,Alta
RES000129,2023-01-02,2023-01-05,3,Familiar,Solo Alojamiento,Brasil,2,1,3,36225.0,Desayuno,1500,0.0,110175.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000130,2023-01-02,2023-01-09,7,Suite,Todo Incluido,Argentina,4,0,4,63525.0,Ninguno,0,35766.36,408908.64,Cancelada,Expedia,False,2023-01,T1,Alta
RES000131,2023-01-02,2023-01-06,4,Superior,Todo Incluido,Argentina,1,1,2,40425.0,Estacionamiento,1500,12613.53,150586.47,Check-out,Booking.com,False,2023-01,T1,Alta
RES000132,2023-01-02,2023-01-06,4,Superior,Media Pensión,Estados Unidos,1,2,3,44406.25,Ninguno,0,0.0,177625.0,Check-out,Despegar,False,2023-01,T1,Alta
RES000133,2023-01-02,2023-01-04,2,Familiar,Todo Incluido,Europa,4,0,4,62370.0,Ninguno,0,0.0,124740.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000134,2023-01-02,2023-01-06,4,Superior,Media Pensión,Argentina,2,1,3,35525.0,Desayuno,1500,0.0,143600.0,Check-out,Booking.com,False,2023-01,T1,Alta
RES000135,2023-01-02,2023-01-03,1,Familiar,Alojamiento + Desayuno,Argentina,1,4,5,39375.0,Desayuno,1500,0.0,40875.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000136,2023-01-02,2023-01-05,3,Standard,Solo Alojamiento,Europa,1,0,1,22200.0,Desayuno,1500,0.0,68100.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000137,2023-01-02,2023-01-06,4,Suite,Media Pensión,Argentina,2,2,4,55825.0,Desayuno,1500,15210.88,209589.12,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000138,2023-01-02,2023-01-06,4,Standard,Alojamiento + Desayuno,Argentina,1,1,2,23125.0,Cama Adicional,1500,0.0,94000.0,No Show,Expedia,False,2023-01,T1,Alta
RES000139,2023-01-02,2023-01-05,3,Familiar,Todo Incluido,Estados Unidos,2,1,3,64968.75,"Desayuno, Cama Adicional",3000,22503.33,175402.92,Check-out,Booking.com,False,2023-01,T1,Alta
RES000140,2023-01-02,2023-01-06,4,Suite,Alojamiento + Desayuno,Argentina,2,1,3,48125.0,Estacionamiento,1500,0.0,194000.0,No Show,Booking.com,False,2023-01,T1,Alta
RES000141,2023-01-03,2023-01-06,3,Suite,Solo Alojamiento,Argentina,3,0,3,38500.0,Ninguno,0,0.0,115500.0,Check-out,Sitio Web,False,2023-01,T1,Alta
RES000142,2023-01-03,2023-01-05,2,Familiar,Media Pensión,Otros Latinoamérica,4,0,4,50242.5,Ninguno,0,0.0,100485.0,Check-in,Sitio Web,False,2023-01,T1,Alta
RES000143,2023-01-03,2023-01-08,5,Suite,Media Pensión,Argentina,3,0,3,55825.0,Ninguno,0,0.0,279125.0,Check-out,Booking.com,False,2023-01,T1,Alta
