VentaID,Fecha,Sucursal,ClienteID,SKU,Producto,Categoria,Cantidad,CostoUnitario,PrecioUnitario,Descuento,TotalVenta,Ganancia,MargenPorcentaje,Año,Mes,Trimestre,DiaSemana,Es_Finde
VTA00000030,2022-01-03,GBA_Sur,CLI042,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,47,750.91,1008.56,0.0,47402.32,12109.550000000003,25.55,2022,2022-01,T1-2022,Monday,False
VTA00000031,2022-01-03,Córdoba,CLI024,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,26,180.18,212.9,0.0,5535.4,850.7199999999993,15.37,2022,2022-01,T1-2022,Monday,False
VTA00000032,2022-01-03,CABA_Norte,CLI041,BEB-004,Vino Tinto Toro 1L,BEBIDAS,42,520.6,620.4,0.0,26056.8,4191.5999999999985,16.09,2022,2022-01,T1-2022,Monday,False
VTA00000033,2022-01-03,Córdoba,CLI004,BEB-002,Coca-Cola 2.25L,BEBIDAS,34,400.51,534.82,0.0,18183.88,4566.540000000001,25.11,2022,2022-01,T1-2022,Monday,False
VTA00000034,2022-01-03,CABA_Centro,CLI023,LIM-002,Detergente Magistral 750ml,LIMPIEZA,95,250.27,315.95,2854.9,27160.35,3384.699999999997,12.46,2022,2022-01,T1-2022,Monday,False
VTA00000035,2022-01-03,CABA_Centro,CLI011,BEB-002,Coca-Cola 2.25L,BEBIDAS,38,400.51,512.81,0.0,19486.78,4267.4,21.9,2022,2022-01,T1-2022,Monday,False
VTA00000036,2022-01-03,GBA_Sur,CLI022,BEB-004,Vino Tinto Toro 1L,BEBIDAS,39,520.6,663.78,0.0,25887.42,5584.019999999997,21.57,2022,2022-01,T1-2022,Monday,False
VTA00000037,2022-01-03,Rosario,CLI015,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,53,350.42,481.25,1512.16,23994.09,5421.829999999998,22.6,2022,2022-01,T1-2022,Monday,False
VTA00000038,2022-01-03,GBA_Oeste,CLI014,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,21,95.1,130.44,0.0,2739.24,742.1399999999999,27.09,2022,2022-01,T1-2022,Monday,False
VTA00000039,2022-01-03,CABA_Centro,CLI033,BEB-002,Coca-Cola 2.25L,BEBIDAS,17,400.51,468.63,0.0,7966.71,1158.04,14.54,2022,2022-01,T1-2022,Monday,False
VTA00000040,2022-01-03,GBA_Oeste,CLI049,BEB-004,Vino Tinto Toro 1L,BEBIDAS,6,520.6,728.22,0.0,4369.32,1245.7199999999993,28.51,2022,2022-01,T1-2022,Monday,False
VTA00000041,2022-01-03,La_Plata,CLI037,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,86,180.18,217.61,1529.02,17185.44,1689.9599999999973,9.83,2022,2022-01,T1-2022,Monday,False
VTA00000042,2022-01-03,GBA_Sur,CLI035,BEB-001,Agua Villa del Sur 2L,BEBIDAS,35,140.15,165.92,0.0,5807.2,901.9499999999998,15.53,2022,2022-01,T1-2022,Monday,False
VTA00000043,2022-01-03,Córdoba,CLI050,BEB-003,Cerveza Quilmes 1L,BEBIDAS,50,220.24,254.83,0.0,12741.5,1729.5,13.57,2022,2022-01,T1-2022,Monday,False
VTA00000044,2022-01-04,Mendoza,CLI022,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,19,520.9,650.58,0.0,12361.02,2463.92,19.93,2022,2022-01,T1-2022,Tuesday,False
VTA00000045,2022-01-04,GBA_Sur,CLI040,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,43,520.9,681.7,0.0,29313.1,6914.399999999998,23.59,2022,2022-01,T1-2022,Tuesday,False
VTA00000046,2022-01-04,Mendoza,CLI022,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,25,220.36,291.74,0.0,7293.5,1784.5,24.47,2022,2022-01,T1-2022,Tuesday,False
VTA00000047,2022-01-04,CABA_Centro,CLI024,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,56,350.63,478.75,3908.05,22901.95,3266.670000000002,14.26,2022,2022-01,T1-2022,Tuesday,False
VTA00000048,2022-01-04,Córdoba,CLI021,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,33,520.9,645.74,0.0,21309.42,4119.7199999999975,19.33,2022,2022-01,T1-2022,Tuesday,False
VTA00000049,2022-01-04,GBA_Oeste,CLI012,BEB-001,Agua Villa del Sur 2L,BEBIDAS,8,140.22,174.66,0.0,1397.28,275.52,19.72,2022,2022-01,T1-2022,Tuesday,False
VTA00000050,2022-01-04,Córdoba,CLI025,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,16,520.9,664.21,0.0,10627.36,2292.960000000001,21.58,2022,2022-01,T1-2022,Tuesday,False
VTA00000051,2022-01-04,Córdoba,CLI024,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,23,520.9,608.04,0.0,13984.92,2004.2200000000012,14.33,2022,2022-01,T1-2022,Tuesday,False
VTA00000052,2022-01-04,La_Plata,CLI033,ALK-002,Azúcar Ledesma 1kg,ALMACEN,51,220.36,298.58,845.0,14382.58,3144.2199999999993,21.86,2022,2022-01,T1-2022,Tuesday,False
VTA00000053,2022-01-04,CABA_Centro,CLI038,BEB-002,Coca-Cola 2.25L,BEBIDAS,11,400.77,499.8,0.0,5497.8,1089.3300000000008,19.81,2022,2022-01,T1-2022,Tuesday,False
VTA00000054,2022-01-04,Rosario,CLI016,BEB-003,Cerveza Quilmes 1L,BEBIDAS,22,220.36,289.05,0.0,6359.1,1511.1800000000003,23.76,2022,2022-01,T1-2022,Tuesday,False
VTA00000055,2022-01-04,Mendoza,CLI037,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,20,520.9,673.46,0.0,13469.2,3051.2000000000007,22.65,2022,2022-01,T1-2022,Tuesday,False
VTA00000056,2022-01-04,Mendoza,CLI033,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,45,350.63,453.62,0.0,20412.9,4634.550000000001,22.7,2022,2022-01,T1-2022,Tuesday,False
VTA00000057,2022-01-04,CABA_Centro,CLI012,BEB-001,Agua Villa del Sur 2L,BEBIDAS,32,140.22,165.58,0.0,5298.56,811.5200000000004,15.32,2022,2022-01,T1-2022,Tuesday,False
VTA00000058,2022-01-04,Mendoza,CLI047,LIM-002,Detergente Magistral 750ml,LIMPIEZA,78,250.41,296.23,1254.1,21851.84,2319.8600000000006,10.62,2022,2022-01,T1-2022,Tuesday,False
VTA00000059,2022-01-04,GBA_Sur,CLI021,BEB-004,Vino Tinto Toro 1L,BEBIDAS,19,520.9,712.39,0.0,13535.41,3638.3099999999995,26.88,2022,2022-01,T1-2022,Tuesday,False
VTA00000060,2022-01-04,CABA_Centro,CLI030,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,86,220.36,281.19,3081.55,21100.79,2149.829999999998,10.19,2022,2022-01,T1-2022,Tuesday,False
VTA00000061,2022-01-04,CABA_Centro,CLI021,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,39,751.37,1001.17,0.0,39045.63,9742.199999999997,24.95,2022,2022-01,T1-2022,Tuesday,False
VTA00000062,2022-01-04,CABA_Norte,CLI017,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,63,350.63,428.21,2313.64,24663.59,2573.9000000000015,10.44,2022,2022-01,T1-2022,Tuesday,False
VTA00000063,2022-01-04,CABA_Centro,CLI032,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,35,280.38,369.66,0.0,12938.1,3124.800000000001,24.15,2022,2022-01,T1-2022,Tuesday,False
VTA00000064,2022-01-04,La_Plata,CLI034,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,77,280.38,334.07,3446.0,22277.39,688.130000000001,3.09,2022,2022-01,T1-2022,Tuesday,False
VTA00000065,2022-01-04,Mendoza,CLI030,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,77,751.37,906.18,4131.84,65644.02,7788.530000000006,11.86,2022,2022-01,T1-2022,Tuesday,False
VTA00000066,2022-01-04,La_Plata,CLI013,BEB-003,Cerveza Quilmes 1L,BEBIDAS,9,220.36,282.1,0.0,2538.9,555.6599999999999,21.89,2022,2022-01,T1-2022,Tuesday,False
VTA00000067,2022-01-04,Córdoba,CLI027,LIM-002,Detergente Magistral 750ml,LIMPIEZA,67,250.41,337.91,1383.18,21256.79,4479.32,21.07,2022,2022-01,T1-2022,Tuesday,False
VTA00000068,2022-01-04,Córdoba,CLI049,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,76,220.36,289.45,1884.07,20114.13,3366.7700000000004,16.74,2022,2022-01,T1-2022,Tuesday,False
VTA00000069,2022-01-04,GBA_Sur,CLI013,BEB-003,Cerveza Quilmes 1L,BEBIDAS,20,220.36,304.63,0.0,6092.6,1685.3999999999996,27.66,2022,2022-01,T1-2022,Tuesday,False
VTA00000070,2022-01-04,GBA_Oeste,CLI014,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,13,280.38,327.58,0.0,4258.54,613.5999999999999,14.41,2022,2022-01,T1-2022,Tuesday,False
VTA00000071,2022-01-04,Córdoba,CLI042,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,13,280.38,345.0,0.0,4485.0,840.06,18.73,2022,2022-01,T1-2022,Tuesday,False
VTA00000072,2022-01-04,GBA_Oeste,CLI047,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,65,280.38,384.59,2996.87,22001.48,3776.779999999999,17.17,2022,2022-01,T1-2022,Tuesday,False
VTA00000073,2022-01-04,GBA_Sur,CLI020,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,47,95.15,112.1,0.0,5268.7,796.6499999999996,15.12,2022,2022-01,T1-2022,Tuesday,False
VTA00000074,2022-01-04,Rosario,CLI014,LIM-002,Detergente Magistral 750ml,LIMPIEZA,56,250.41,320.24,2306.38,15627.06,1604.1000000000004,10.26,2022,2022-01,T1-2022,Tuesday,False
VTA00000075,2022-01-04,GBA_Oeste,CLI027,BEB-003,Cerveza Quilmes 1L,BEBIDAS,47,220.36,265.65,0.0,12485.55,2128.629999999999,17.05,2022,2022-01,T1-2022,Tuesday,False
VTA00000076,2022-01-04,Córdoba,CLI026,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,29,95.15,122.76,0.0,3560.04,800.6899999999996,22.49,2022,2022-01,T1-2022,Tuesday,False
VTA00000077,2022-01-04,Mendoza,CLI003,ALK-002,Azúcar Ledesma 1kg,ALMACEN,70,220.36,269.21,2320.2,16524.5,1099.2999999999993,6.65,2022,2022-01,T1-2022,Tuesday,False
VTA00000078,2022-01-04,CABA_Norte,CLI009,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,27,95.15,112.32,0.0,3032.64,463.5899999999997,15.29,2022,2022-01,T1-2022,Tuesday,False
VTA00000079,2022-01-04,CABA_Centro,CLI029,BEB-004,Vino Tinto Toro 1L,BEBIDAS,23,520.9,666.87,0.0,15338.01,3357.3100000000013,21.89,2022,2022-01,T1-2022,Tuesday,False
VTA00000080,2022-01-04,GBA_Oeste,CLI025,BEB-001,Agua Villa del Sur 2L,BEBIDAS,11,140.22,194.09,0.0,2134.99,592.5699999999997,27.76,2022,2022-01,T1-2022,Tuesday,False
VTA00000081,2022-01-04,CABA_Norte,CLI038,BEB-004,Vino Tinto Toro 1L,BEBIDAS,10,520.9,685.56,0.0,6855.6,1646.6000000000004,24.02,2022,2022-01,T1-2022,Tuesday,False
VTA00000082,2022-01-04,GBA_Oeste,CLI025,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,13,180.27,215.41,0.0,2800.33,456.8199999999997,16.31,2022,2022-01,T1-2022,Tuesday,False
VTA00000083,2022-01-04,Mendoza,CLI009,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,5,95.15,129.67,0.0,648.35,172.60000000000002,26.62,2022,2022-01,T1-2022,Tuesday,False
VTA00000084,2022-01-04,CABA_Norte,CLI022,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,28,350.63,406.06,0.0,11369.68,1552.0400000000009,13.65,2022,2022-01,T1-2022,Tuesday,False
VTA00000085,2022-01-04,Mendoza,CLI028,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,94,180.27,249.54,2122.05,21334.71,4389.329999999998,20.57,2022,2022-01,T1-2022,Tuesday,False
VTA00000086,2022-01-04,GBA_Sur,CLI008,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,21,280.38,354.77,0.0,7450.17,1562.1900000000005,20.97,2022,2022-01,T1-2022,Tuesday,False
VTA00000087,2022-01-04,CABA_Centro,CLI023,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,36,350.63,441.75,0.0,15903.0,3280.3199999999997,20.63,2022,2022-01,T1-2022,Tuesday,False
VTA00000088,2022-01-04,GBA_Oeste,CLI016,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,26,520.9,701.23,0.0,18231.98,4688.58,25.72,2022,2022-01,T1-2022,Tuesday,False
VTA00000089,2022-01-04,GBA_Sur,CLI006,LIM-002,Detergente Magistral 750ml,LIMPIEZA,47,250.41,330.25,0.0,15521.75,3752.4799999999996,24.18,2022,2022-01,T1-2022,Tuesday,False
VTA00000090,2022-01-04,Córdoba,CLI023,BEB-001,Agua Villa del Sur 2L,BEBIDAS,8,140.22,188.84,0.0,1510.72,388.96000000000004,25.75,2022,2022-01,T1-2022,Tuesday,False
VTA00000091,2022-01-04,CABA_Norte,CLI008,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,46,280.38,387.26,0.0,17813.96,4916.48,27.6,2022,2022-01,T1-2022,Tuesday,False
VTA00000092,2022-01-04,GBA_Sur,CLI036,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,87,180.27,243.03,2948.81,18194.8,2511.3099999999977,13.8,2022,2022-01,T1-2022,Tuesday,False
VTA00000093,2022-01-04,La_Plata,CLI027,LIM-002,Detergente Magistral 750ml,LIMPIEZA,81,250.41,349.1,2453.73,25823.37,5540.16,21.45,2022,2022-01,T1-2022,Tuesday,False
VTA00000094,2022-01-04,GBA_Sur,CLI027,LIM-002,Detergente Magistral 750ml,LIMPIEZA,87,250.41,342.86,2354.47,27474.35,5688.68,20.71,2022,2022-01,T1-2022,Tuesday,False
VTA00000095,2022-01-04,CABA_Centro,CLI023,BEB-001,Agua Villa del Sur 2L,BEBIDAS,5,140.22,179.0,0.0,895.0,193.89999999999998,21.66,2022,2022-01,T1-2022,Tuesday,False
VTA00000096,2022-01-04,La_Plata,CLI006,LIM-002,Detergente Magistral 750ml,LIMPIEZA,33,250.41,311.67,0.0,10285.11,2021.58,19.66,2022,2022-01,T1-2022,Tuesday,False
VTA00000097,2022-01-04,Rosario,CLI029,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,86,220.36,300.8,3767.95,22100.85,3149.889999999996,14.25,2022,2022-01,T1-2022,Tuesday,False
VTA00000098,2022-01-04,GBA_Oeste,CLI026,BEB-004,Vino Tinto Toro 1L,BEBIDAS,9,520.9,681.72,0.0,6135.48,1447.38,23.59,2022,2022-01,T1-2022,Tuesday,False
VTA00000099,2022-01-04,GBA_Oeste,CLI047,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,71,180.27,223.46,1242.76,14622.9,1823.7299999999996,12.47,2022,2022-01,T1-2022,Tuesday,False
VTA00000100,2022-01-04,GBA_Sur,CLI025,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,6,95.15,110.06,0.0,660.36,89.45999999999992,13.55,2022,2022-01,T1-2022,Tuesday,False
VTA00000101,2022-01-04,GBA_Sur,CLI050,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,16,180.27,215.99,0.0,3455.84,571.52,16.54,2022,2022-01,T1-2022,Tuesday,False
VTA00000102,2022-01-04,GBA_Sur,CLI046,ALK-002,Azúcar Ledesma 1kg,ALMACEN,44,220.36,286.73,0.0,12616.12,2920.2800000000007,23.15,2022,2022-01,T1-2022,Tuesday,False
VTA00000103,2022-01-04,CABA_Norte,CLI024,ALK-002,Azúcar Ledesma 1kg,ALMACEN,42,220.36,256.54,0.0,10774.68,1519.5599999999995,14.1,2022,2022-01,T1-2022,Tuesday,False
VTA00000104,2022-01-04,GBA_Sur,CLI017,BEB-001,Agua Villa del Sur 2L,BEBIDAS,44,140.22,175.65,0.0,7728.6,1558.92,20.17,2022,2022-01,T1-2022,Tuesday,False
VTA00000105,2022-01-04,CABA_Norte,CLI043,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,52,751.37,964.56,3946.86,46210.26,7139.020000000004,15.45,2022,2022-01,T1-2022,Tuesday,False
VTA00000106,2022-01-04,La_Plata,CLI029,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,5,180.27,250.43,0.0,1252.15,350.80000000000007,28.02,2022,2022-01,T1-2022,Tuesday,False
VTA00000107,2022-01-04,CABA_Norte,CLI040,ALK-002,Azúcar Ledesma 1kg,ALMACEN,66,220.36,258.97,2285.74,14806.28,262.52000000000044,1.77,2022,2022-01,T1-2022,Tuesday,False
VTA00000108,2022-01-04,Rosario,CLI044,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,13,520.9,622.51,0.0,8092.63,1320.9300000000003,16.32,2022,2022-01,T1-2022,Tuesday,False
VTA00000109,2022-01-04,CABA_Centro,CLI027,BEB-002,Coca-Cola 2.25L,BEBIDAS,5,400.77,481.89,0.0,2409.45,405.5999999999999,16.83,2022,2022-01,T1-2022,Tuesday,False
VTA00000110,2022-01-04,Córdoba,CLI009,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,10,180.27,243.5,0.0,2435.0,632.3,25.97,2022,2022-01,T1-2022,Tuesday,False
VTA00000111,2022-01-04,La_Plata,CLI027,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,59,350.63,417.96,3274.97,21384.67,697.5,3.26,2022,2022-01,T1-2022,Tuesday,False
VTA00000112,2022-01-04,CABA_Centro,CLI008,ALK-002,Azúcar Ledesma 1kg,ALMACEN,60,220.36,297.0,1365.22,16454.78,3233.1799999999985,19.65,2022,2022-01,T1-2022,Tuesday,False
VTA00000113,2022-01-04,GBA_Oeste,CLI020,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,80,280.38,344.27,3537.13,24004.47,1574.0699999999997,6.56,2022,2022-01,T1-2022,Tuesday,False
VTA00000114,2022-01-04,CABA_Centro,CLI043,BEB-001,Agua Villa del Sur 2L,BEBIDAS,23,140.22,166.35,0.0,3826.05,600.9900000000002,15.71,2022,2022-01,T1-2022,Tuesday,False
VTA00000115,2022-01-04,GBA_Oeste,CLI028,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,7,95.15,114.46,0.0,801.22,135.16999999999996,16.87,2022,2022-01,T1-2022,Tuesday,False
VTA00000116,2022-01-04,CABA_Norte,CLI010,BEB-002,Coca-Cola 2.25L,BEBIDAS,8,400.77,477.93,0.0,3823.44,617.2800000000002,16.14,2022,2022-01,T1-2022,Tuesday,False
VTA00000117,2022-01-04,GBA_Oeste,CLI005,BEB-004,Vino Tinto Toro 1L,BEBIDAS,17,520.9,657.5,0.0,11177.5,2322.2000000000007,20.78,2022,2022-01,T1-2022,Tuesday,False
VTA00000118,2022-01-04,Córdoba,CLI046,BEB-002,Coca-Cola 2.25L,BEBIDAS,28,400.77,514.47,0.0,14405.16,3183.6000000000004,22.1,2022,2022-01,T1-2022,Tuesday,False
VTA00000119,2022-01-04,GBA_Oeste,CLI006,ALK-002,Azúcar Ledesma 1kg,ALMACEN,78,220.36,277.62,3087.52,18566.84,1378.7599999999984,7.43,2022,2022-01,T1-2022,Tuesday,False
VTA00000120,2022-01-05,CABA_Centro,CLI010,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,77,180.37,245.99,1133.84,17807.39,3918.8999999999996,22.01,2022,2022-01,T1-2022,Wednesday,False
VTA00000121,2022-01-05,CABA_Centro,CLI027,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,70,350.84,473.39,3695.69,29441.61,4882.810000000001,16.58,2022,2022-01,T1-2022,Wednesday,False
VTA00000122,2022-01-05,GBA_Sur,CLI042,BEB-001,Agua Villa del Sur 2L,BEBIDAS,32,140.29,184.41,0.0,5901.12,1411.8400000000001,23.92,2022,2022-01,T1-2022,Wednesday,False
VTA00000123,2022-01-05,CABA_Norte,CLI006,LIM-002,Detergente Magistral 750ml,LIMPIEZA,29,250.55,290.86,0.0,8434.94,1168.9899999999998,13.86,2022,2022-01,T1-2022,Wednesday,False
VTA00000124,2022-01-05,GBA_Sur,CLI046,LIM-002,Detergente Magistral 750ml,LIMPIEZA,48,250.55,329.56,0.0,15818.88,3792.4799999999977,23.97,2022,2022-01,T1-2022,Wednesday,False
VTA00000125,2022-01-05,Córdoba,CLI046,BEB-001,Agua Villa del Sur 2L,BEBIDAS,31,140.29,170.56,0.0,5287.36,938.3699999999999,17.75,2022,2022-01,T1-2022,Wednesday,False
VTA00000126,2022-01-05,GBA_Sur,CLI035,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,47,521.21,668.34,0.0,31411.98,6915.109999999997,22.01,2022,2022-01,T1-2022,Wednesday,False
VTA00000127,2022-01-05,CABA_Norte,CLI001,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,43,95.2,130.67,0.0,5618.81,1525.2100000000005,27.14,2022,2022-01,T1-2022,Wednesday,False
VTA00000128,2022-01-05,GBA_Sur,CLI034,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,94,350.84,470.03,4862.86,39319.96,6341.0,16.13,2022,2022-01,T1-2022,Wednesday,False
