VentaID,FechaVenta,ClienteID,ProductoID,Cantidad,PrecioUnitario,DescuentoPorcentaje,TotalDescuento,TotalVenta,Estado,MetodoPago,VendedorID,Sucursal
VTA00000018,2023-01-02,CLI035,BEB-002,35,1021.77,5,1788.09,33973.71,COMPLETADA,Efectivo,VEND-10,Mendoza
VTA00000019,2023-01-02,CLI034,BEB-004,42,1301.69,8,4373.66,50297.11,COMPLETADA,Transferencia,VEND-07,Rosario
VTA00000020,2023-01-02,CLI023,ALK-001,66,677.07,3,1340.59,43345.71,COMPLETADA,Tarjeta Crédito,VEND-10,Córdoba
VTA00000021,2023-01-02,CLI002,LIM-002,18,587.26,0,0.0,10570.66,COMPLETADA,Tarjeta Crédito,VEND-03,La_Plata
VTA00000022,2023-01-02,CLI039,LIM-003,60,814.24,15,7328.2,41526.49,COMPLETADA,Transferencia,VEND-05,CABA_Centro
VTA00000023,2023-01-02,CLI018,ALK-002,53,535.3,9,2553.38,25817.47,COMPLETADA,Efectivo,VEND-03,Mendoza
VTA00000024,2023-01-02,CLI006,ALK-001,15,666.92,0,0.0,10003.82,COMPLETADA,Tarjeta Crédito,VEND-10,Rosario
VTA00000025,2023-01-02,CLI013,LAC-001,44,414.81,4,730.06,17521.53,COMPLETADA,Transferencia,VEND-03,GBA_Oeste
VTA00000026,2023-01-02,CLI005,BEB-003,21,508.72,0,0.0,10683.11,COMPLETADA,Tarjeta Crédito,VEND-02,Córdoba
VTA00000027,2023-01-02,CLI050,LIM-003,23,818.4,0,0.0,18823.23,COMPLETADA,Transferencia,VEND-09,Córdoba
VTA00000028,2023-01-02,CLI047,ALK-005,6,1793.96,0,0.0,10763.73,COMPLETADA,Tarjeta Crédito,VEND-09,Rosario
VTA00000029,2023-01-02,CLI015,LAC-002,47,1219.74,13,7452.6,49875.06,COMPLETADA,Tarjeta Crédito,VEND-03,GBA_Oeste
VTA00000030,2023-01-02,CLI009,ALK-004,97,410.16,7,2784.97,37000.32,COMPLETADA,MercadoPago,VEND-07,La_Plata
VTA00000031,2023-01-02,CLI009,ALK-004,45,404.25,9,1637.21,16554.0,COMPLETADA,MercadoPago,VEND-07,Rosario
VTA00000032,2023-01-02,CLI019,ALK-002,20,499.14,0,0.0,9982.7,COMPLETADA,Tarjeta Crédito,VEND-05,GBA_Oeste
VTA00000033,2023-01-02,CLI002,LAC-002,35,1272.45,11,4898.94,39636.84,COMPLETADA,Efectivo,VEND-03,Mendoza
VTA00000034,2023-01-02,CLI046,ALK-003,11,824.35,0,0.0,9067.9,COMPLETADA,Tarjeta Crédito,VEND-02,GBA_Sur
VTA00000035,2023-01-02,CLI020,LIM-002,46,575.77,8,2118.83,24366.5,COMPLETADA,Tarjeta Crédito,VEND-08,GBA_Oeste
VTA00000036,2023-01-02,CLI045,BEB-001,9,347.62,0,0.0,3128.6,COMPLETADA,Efectivo,VEND-06,GBA_Sur
VTA00000037,2023-01-02,CLI013,ALK-003,30,851.12,0,0.0,25533.67,COMPLETADA,Tarjeta Crédito,VEND-03,Mendoza
VTA00000038,2023-01-02,CLI033,ALK-004,8,424.37,0,0.0,3394.94,COMPLETADA,Transferencia,VEND-03,Rosario
VTA00000039,2023-01-02,CLI046,ALK-001,61,627.52,13,4976.21,33302.35,COMPLETADA,Tarjeta Crédito,VEND-02,La_Plata
VTA00000040,2023-01-02,CLI018,LIM-002,13,607.65,0,0.0,7899.46,COMPLETADA,Transferencia,VEND-03,Rosario
VTA00000041,2023-01-02,CLI002,ALK-002,27,534.71,0,0.0,14437.06,COMPLETADA,Transferencia,VEND-03,GBA_Sur
VTA00000042,2023-01-02,CLI029,LAC-003,20,224.74,0,0.0,4494.89,COMPLETADA,Tarjeta Crédito,VEND-08,La_Plata
VTA00000043,2023-01-02,CLI004,ALK-001,99,663.12,11,7221.42,58427.87,COMPLETADA,Transferencia,VEND-04,CABA_Centro
VTA00000044,2023-01-02,CLI011,BEB-003,29,545.88,0,0.0,15830.45,COMPLETADA,Transferencia,VEND-07,Mendoza
VTA00000045,2023-01-02,CLI009,ALK-003,96,851.13,14,11439.23,70269.57,COMPLETADA,Efectivo,VEND-07,GBA_Oeste
VTA00000046,2023-01-02,CLI004,BEB-002,11,1016.98,0,0.0,11186.81,COMPLETADA,Efectivo,VEND-04,Mendoza
VTA00000047,2023-01-02,CLI034,LAC-002,43,1252.5,12,6462.92,47394.78,COMPLETADA,Efectivo,VEND-07,La_Plata
VTA00000048,2023-01-02,CLI025,LAC-002,28,1240.08,0,0.0,34722.37,COMPLETADA,Transferencia,VEND-02,GBA_Oeste
VTA00000049,2023-01-02,CLI043,ALK-002,79,541.32,10,4276.47,38488.19,COMPLETADA,Efectivo,VEND-09,GBA_Oeste
VTA00000050,2023-01-02,CLI010,BEB-002,3,1026.49,0,0.0,3079.48,COMPLETADA,MercadoPago,VEND-01,CABA_Centro
VTA00000051,2023-01-02,CLI001,ALK-002,19,532.13,0,0.0,10110.53,COMPLETADA,Tarjeta Crédito,VEND-10,GBA_Sur
VTA00000052,2023-01-02,CLI048,ALK-003,74,888.12,7,4600.47,61120.55,COMPLETADA,Tarjeta Crédito,VEND-02,CABA_Norte
VTA00000053,2023-01-02,CLI038,ALK-002,14,517.39,0,0.0,7243.5,COMPLETADA,Transferencia,VEND-01,CABA_Centro
VTA00000054,2023-01-02,CLI020,BEB-001,46,356.09,5,819.0,15560.98,COMPLETADA,MercadoPago,VEND-08,Córdoba
VTA00000055,2023-01-02,CLI043,ALK-005,67,1776.28,2,2380.21,116630.28,COMPLETADA,MercadoPago,VEND-09,GBA_Oeste
VTA00000056,2023-01-02,CLI012,BEB-001,45,346.83,15,2341.1,13266.21,COMPLETADA,MercadoPago,VEND-05,Córdoba
VTA00000057,2023-01-02,CLI015,LIM-002,61,623.83,9,3424.83,34628.83,COMPLETADA,MercadoPago,VEND-03,GBA_Oeste
VTA00000058,2023-01-02,CLI025,ALK-005,11,1916.8,0,0.0,21084.84,COMPLETADA,Transferencia,VEND-02,CABA_Norte
VTA00000059,2023-01-02,CLI041,ALK-003,18,847.94,0,0.0,15262.88,COMPLETADA,Transferencia,VEND-01,CABA_Centro
VTA00000060,2023-01-02,CLI014,ALK-001,40,651.35,14,3647.54,22406.3,COMPLETADA,Transferencia,VEND-07,GBA_Sur
VTA00000061,2023-01-03,CLI026,LIM-002,67,609.98,5,2043.44,38825.35,COMPLETADA,MercadoPago,VEND-06,Mendoza
VTA00000062,2023-01-03,CLI020,BEB-001,37,352.0,15,1953.57,11070.25,COMPLETADA,MercadoPago,VEND-08,Rosario
VTA00000063,2023-01-03,CLI040,ALK-001,98,638.05,2,1250.57,61277.98,COMPLETADA,Transferencia,VEND-10,GBA_Sur
VTA00000064,2023-01-03,CLI037,BEB-001,38,365.88,15,2085.49,11817.77,COMPLETADA,Transferencia,VEND-08,CABA_Centro
VTA00000065,2023-01-03,CLI033,LIM-002,50,619.91,13,4029.44,26966.23,COMPLETADA,MercadoPago,VEND-03,La_Plata
VTA00000066,2023-01-03,CLI004,LIM-002,95,590.62,0,0.0,56108.56,COMPLETADA,MercadoPago,VEND-04,CABA_Norte
VTA00000067,2023-01-03,CLI033,ALK-002,88,537.53,2,946.05,46356.32,COMPLETADA,Transferencia,VEND-03,Mendoza
VTA00000068,2023-01-03,CLI018,BEB-004,40,1223.7,3,1468.44,47479.68,COMPLETADA,Transferencia,VEND-03,CABA_Norte
VTA00000069,2023-01-03,CLI047,BEB-002,33,1015.84,3,1005.68,32516.89,COMPLETADA,Tarjeta Crédito,VEND-09,Rosario
VTA00000070,2023-01-03,CLI037,LAC-001,42,421.58,11,1947.7,15758.66,COMPLETADA,Transferencia,VEND-08,GBA_Sur
VTA00000071,2023-01-03,CLI041,BEB-003,27,499.74,0,0.0,13492.93,COMPLETADA,Transferencia,VEND-01,CABA_Centro
VTA00000072,2023-01-03,CLI018,BEB-002,24,939.44,0,0.0,22546.44,COMPLETADA,Efectivo,VEND-03,GBA_Oeste
VTA00000073,2023-01-03,CLI047,LIM-002,58,629.96,10,3653.78,32884.02,COMPLETADA,Tarjeta Crédito,VEND-09,GBA_Sur
VTA00000074,2023-01-03,CLI020,ALK-005,37,1797.87,14,9312.95,57208.11,COMPLETADA,Tarjeta Crédito,VEND-08,La_Plata
VTA00000075,2023-01-03,CLI047,ALK-001,81,618.32,12,6010.08,44073.94,COMPLETADA,Efectivo,VEND-09,CABA_Centro
VTA00000076,2023-01-03,CLI046,ALK-003,42,823.31,7,2420.52,32158.38,COMPLETADA,MercadoPago,VEND-02,GBA_Oeste
VTA00000077,2023-01-03,CLI022,LIM-001,58,530.56,6,1846.36,28926.38,COMPLETADA,Transferencia,VEND-05,CABA_Norte
VTA00000078,2023-01-03,CLI020,ALK-004,81,428.43,2,694.05,34008.69,COMPLETADA,Transferencia,VEND-08,Córdoba
VTA00000079,2023-01-03,CLI011,ALK-005,98,1849.65,12,21751.92,159514.05,COMPLETADA,Transferencia,VEND-07,La_Plata
VTA00000080,2023-01-03,CLI015,LAC-002,27,1240.62,0,0.0,33496.82,COMPLETADA,Efectivo,VEND-03,GBA_Sur
VTA00000081,2023-01-03,CLI013,ALK-003,16,886.43,0,0.0,14182.91,COMPLETADA,Tarjeta Crédito,VEND-03,Rosario
VTA00000082,2023-01-03,CLI017,BEB-001,4,343.32,0,0.0,1373.29,COMPLETADA,Tarjeta Crédito,VEND-09,CABA_Centro
VTA00000083,2023-01-03,CLI004,LIM-003,94,866.11,14,11398.05,70016.6,COMPLETADA,Tarjeta Crédito,VEND-04,La_Plata
VTA00000084,2023-01-03,CLI028,BEB-002,44,1024.45,12,5409.08,39666.59,COMPLETADA,Transferencia,VEND-03,Córdoba
VTA00000085,2023-01-03,CLI036,BEB-004,8,1304.64,0,0.0,10437.1,COMPLETADA,MercadoPago,VEND-09,La_Plata
VTA00000086,2023-01-03,CLI020,LIM-001,15,514.18,0,0.0,7712.73,COMPLETADA,MercadoPago,VEND-08,Rosario
VTA00000087,2023-01-03,CLI030,LAC-002,33,1205.66,12,4774.42,35012.44,COMPLETADA,Tarjeta Crédito,VEND-07,GBA_Oeste
VTA00000088,2023-01-03,CLI013,LAC-002,12,1229.95,0,0.0,14759.37,COMPLETADA,Tarjeta Crédito,VEND-03,CABA_Centro
VTA00000089,2023-01-03,CLI004,LIM-003,31,823.64,7,1787.3,23745.61,COMPLETADA,Efectivo,VEND-04,Córdoba
VTA00000090,2023-01-03,CLI043,ALK-004,95,433.31,0,0.0,41164.67,COMPLETADA,MercadoPago,VEND-09,Córdoba
VTA00000091,2023-01-03,CLI013,ALK-002,65,545.48,10,3545.65,31910.85,COMPLETADA,Efectivo,VEND-03,GBA_Oeste
VTA00000092,2023-01-03,CLI016,LIM-002,70,615.43,4,1723.2,41356.69,COMPLETADA,MercadoPago,VEND-03,GBA_Sur
VTA00000093,2023-01-03,CLI032,ALK-003,28,844.47,0,0.0,23645.16,COMPLETADA,Tarjeta Crédito,VEND-08,Rosario
VTA00000094,2023-01-03,CLI003,ALK-002,42,504.55,8,1695.28,19495.67,COMPLETADA,Efectivo,VEND-04,Mendoza
VTA00000095,2023-01-03,CLI002,BEB-001,16,348.07,0,0.0,5569.13,COMPLETADA,Tarjeta Crédito,VEND-03,GBA_Oeste
VTA00000096,2023-01-03,CLI049,LIM-001,34,510.34,14,2429.2,14922.23,COMPLETADA,Tarjeta Crédito,VEND-01,Córdoba
VTA00000097,2023-01-03,CLI025,LIM-003,71,827.13,3,1761.79,56964.66,COMPLETADA,Tarjeta Crédito,VEND-02,GBA_Oeste
VTA00000098,2023-01-04,CLI025,LAC-002,27,1270.51,0,0.0,34303.72,COMPLETADA,Efectivo,VEND-02,CABA_Centro
VTA00000099,2023-01-04,CLI026,LAC-001,6,423.88,0,0.0,2543.27,COMPLETADA,Transferencia,VEND-06,GBA_Sur
VTA00000100,2023-01-04,CLI004,ALK-002,71,536.71,10,3810.68,34296.08,COMPLETADA,Transferencia,VEND-04,GBA_Sur
VTA00000101,2023-01-04,CLI035,LIM-001,12,519.31,0,0.0,6231.68,COMPLETADA,Transferencia,VEND-10,Córdoba
VTA00000102,2023-01-04,CLI042,ALK-002,68,529.94,2,720.71,35314.99,COMPLETADA,MercadoPago,VEND-02,La_Plata
VTA00000103,2023-01-04,CLI009,BEB-004,29,1208.64,0,0.0,35050.65,COMPLETADA,Efectivo,VEND-07,CABA_Centro
VTA00000104,2023-01-04,CLI010,ALK-004,80,411.21,5,1644.86,31252.32,COMPLETADA,Efectivo,VEND-01,GBA_Sur
VTA00000105,2023-01-04,CLI040,ALK-005,71,1934.58,11,15109.07,122246.12,COMPLETADA,MercadoPago,VEND-10,GBA_Sur
VTA00000106,2023-01-04,CLI011,LIM-002,74,583.42,3,1295.19,41877.67,COMPLETADA,Tarjeta Crédito,VEND-07,GBA_Sur
VTA00000107,2023-01-04,CLI007,ALK-004,13,417.27,0,0.0,5424.53,COMPLETADA,Tarjeta Crédito,VEND-03,Mendoza
VTA00000108,2023-01-04,CLI040,ALK-004,85,401.15,1,340.98,33756.88,COMPLETADA,MercadoPago,VEND-10,Mendoza
VTA00000109,2023-01-04,CLI047,LIM-003,18,810.34,0,0.0,14586.09,COMPLETADA,Transferencia,VEND-09,CABA_Centro
VTA00000110,2023-01-04,CLI012,LAC-001,14,412.24,0,0.0,5771.4,COMPLETADA,Efectivo,VEND-05,Mendoza
VTA00000111,2023-01-04,CLI013,LAC-002,14,1219.91,0,0.0,17078.67,COMPLETADA,Efectivo,VEND-03,CABA_Norte
VTA00000112,2023-01-04,CLI018,ALK-003,37,841.65,13,4048.34,27092.76,COMPLETADA,Efectivo,VEND-03,CABA_Norte
VTA00000113,2023-01-04,CLI006,LAC-003,48,212.39,8,815.56,9378.98,COMPLETADA,MercadoPago,VEND-10,Córdoba
VTA00000114,2023-01-04,CLI004,LIM-001,34,526.58,9,1611.35,16292.51,COMPLETADA,Tarjeta Crédito,VEND-04,CABA_Norte
VTA00000115,2023-01-04,CLI026,ALK-004,14,409.84,0,0.0,5737.82,COMPLETADA,MercadoPago,VEND-06,GBA_Sur
VTA00000116,2023-01-04,CLI023,ALK-002,21,532.28,0,0.0,11177.81,COMPLETADA,Transferencia,VEND-10,La_Plata
VTA00000117,2023-01-04,CLI006,ALK-002,77,514.49,10,3961.58,35654.24,COMPLETADA,Transferencia,VEND-10,GBA_Oeste
VTA00000118,2023-01-04,CLI012,BEB-002,39,933.0,8,2910.95,33475.88,COMPLETADA,Tarjeta Crédito,VEND-05,GBA_Sur
VTA00000119,2023-01-04,CLI004,BEB-004,16,1230.77,0,0.0,19692.34,COMPLETADA,Transferencia,VEND-04,Mendoza
VTA00000120,2023-01-04,CLI039,BEB-003,24,514.95,0,0.0,12358.82,COMPLETADA,MercadoPago,VEND-05,CABA_Centro
VTA00000121,2023-01-04,CLI041,LIM-001,11,523.99,0,0.0,5763.94,COMPLETADA,Efectivo,VEND-01,CABA_Centro
VTA00000122,2023-01-04,CLI024,ALK-005,62,1885.95,0,0.0,116928.75,COMPLETADA,Efectivo,VEND-09,GBA_Sur
VTA00000123,2023-01-04,CLI004,LAC-002,29,1236.92,0,0.0,35870.6,COMPLETADA,Efectivo,VEND-04,Mendoza
VTA00000124,2023-01-04,CLI016,BEB-001,21,339.53,0,0.0,7130.03,COMPLETADA,Efectivo,VEND-03,Córdoba
VTA00000125,2023-01-04,CLI009,BEB-003,43,496.65,8,1708.48,19647.55,COMPLETADA,MercadoPago,VEND-07,Córdoba
VTA00000126,2023-01-04,CLI035,LIM-003,33,839.02,5,1384.39,26303.32,COMPLETADA,Tarjeta Crédito,VEND-10,GBA_Oeste
VTA00000127,2023-01-04,CLI017,ALK-005,99,1876.67,3,5573.7,180216.33,COMPLETADA,Transferencia,VEND-09,CABA_Norte
VTA00000128,2023-01-04,CLI006,ALK-001,43,670.25,2,576.41,28244.32,COMPLETADA,MercadoPago,VEND-10,GBA_Oeste
VTA00000129,2023-01-04,CLI012,ALK-002,56,513.85,1,287.76,28488.07,COMPLETADA,MercadoPago,VEND-05,Córdoba
VTA00000130,2023-01-04,CLI006,LAC-002,6,1285.78,0,0.0,7714.67,COMPLETADA,Tarjeta Crédito,VEND-10,Rosario
VTA00000131,2023-01-04,CLI013,LAC-002,40,1283.54,10,5134.14,46207.3,COMPLETADA,Efectivo,VEND-03,CABA_Norte
VTA00000132,2023-01-04,CLI001,BEB-002,32,943.1,8,2414.33,27764.75,COMPLETADA,Efectivo,VEND-10,Mendoza
VTA00000133,2023-01-04,CLI007,ALK-001,89,647.64,0,0.0,57639.74,COMPLETADA,Transferencia,VEND-03,La_Plata
VTA00000134,2023-01-04,CLI029,BEB-004,45,1247.48,9,5052.28,51084.15,COMPLETADA,Efectivo,VEND-08,La_Plata
VTA00000135,2023-01-04,CLI023,BEB-004,8,1278.11,0,0.0,10224.86,COMPLETADA,MercadoPago,VEND-10,CABA_Norte
VTA00000136,2023-01-04,CLI004,BEB-002,49,945.26,8,3705.41,42612.25,COMPLETADA,Efectivo,VEND-04,Córdoba
VTA00000137,2023-01-04,CLI047,LIM-003,9,874.88,0,0.0,7873.94,COMPLETADA,MercadoPago,VEND-09,CABA_Centro
VTA00000138,2023-01-04,CLI019,LAC-001,5,418.07,0,0.0,2090.33,COMPLETADA,MercadoPago,VEND-05,Rosario
VTA00000139,2023-01-04,CLI007,LAC-001,25,431.65,0,0.0,10791.3,COMPLETADA,MercadoPago,VEND-03,CABA_Centro
VTA00000140,2023-01-04,CLI037,BEB-003,25,500.93,0,0.0,12523.16,COMPLETADA,Efectivo,VEND-08,CABA_Norte
VTA00000141,2023-01-04,CLI003,ALK-003,97,879.47,5,4265.45,81043.49,COMPLETADA,Transferencia,VEND-04,Mendoza
VTA00000142,2023-01-04,CLI017,ALK-001,27,621.11,0,0.0,16770.01,COMPLETADA,Tarjeta Crédito,VEND-09,CABA_Centro
VTA00000143,2023-01-04,CLI002,ALK-003,86,889.79,10,7652.15,68869.37,COMPLETADA,Efectivo,VEND-03,GBA_Oeste
VTA00000144,2023-01-04,CLI037,BEB-004,10,1251.07,0,0.0,12510.69,COMPLETADA,Tarjeta Crédito,VEND-08,La_Plata
VTA00000145,2023-01-04,CLI049,ALK-003,30,828.59,0,0.0,24857.57,COMPLETADA,Tarjeta Crédito,VEND-01,Mendoza
VTA00000146,2023-01-04,CLI036,ALK-001,32,682.19,7,1528.11,20302.08,COMPLETADA,MercadoPago,VEND-09,GBA_Oeste
VTA00000147,2023-01-04,CLI045,LIM-002,42,593.19,7,1743.98,23170.03,COMPLETADA,MercadoPago,VEND-06,GBA_Sur
VTA00000148,2023-01-04,CLI014,ALK-005,61,1941.2,10,11841.31,106571.81,COMPLETADA,Tarjeta Crédito,VEND-07,CABA_Norte
VTA00000149,2023-01-04,CLI011,BEB-004,43,1290.75,5,2775.12,52727.28,COMPLETADA,Transferencia,VEND-07,GBA_Sur
VTA00000150,2023-01-04,CLI008,LAC-002,24,1305.81,0,0.0,31339.52,COMPLETADA,Transferencia,VEND-08,GBA_Sur
VTA00000151,2023-01-04,CLI022,BEB-002,20,1003.06,0,0.0,20061.13,COMPLETADA,Tarjeta Crédito,VEND-05,GBA_Oeste
VTA00000152,2023-01-04,CLI016,ALK-004,52,408.59,6,1274.79,19971.78,COMPLETADA,Transferencia,VEND-03,Mendoza
VTA00000153,2023-01-04,CLI019,LIM-002,37,628.18,2,464.85,22777.83,COMPLETADA,Transferencia,VEND-05,CABA_Centro
VTA00000154,2023-01-05,CLI004,ALK-002,37,535.66,15,2972.92,16846.54,COMPLETADA,Efectivo,VEND-04,GBA_Oeste
VTA00000155,2023-01-05,CLI009,ALK-001,56,663.77,11,4088.83,33082.34,COMPLETADA,Efectivo,VEND-07,CABA_Centro
VTA00000156,2023-01-05,CLI028,LIM-003,76,838.83,11,7012.62,56738.48,COMPLETADA,MercadoPago,VEND-03,Rosario
VTA00000157,2023-01-05,CLI008,ALK-002,45,529.06,3,714.24,23093.63,COMPLETADA,MercadoPago,VEND-08,Mendoza
VTA00000158,2023-01-05,CLI047,LAC-002,24,1243.45,0,0.0,29842.91,COMPLETADA,MercadoPago,VEND-09,Mendoza
VTA00000159,2023-01-05,CLI024,LAC-003,48,209.9,4,403.01,9672.3,COMPLETADA,Efectivo,VEND-09,La_Plata
VTA00000160,2023-01-05,CLI044,ALK-005,52,1892.97,3,2953.03,95481.3,COMPLETADA,Tarjeta Crédito,VEND-01,La_Plata
VTA00000161,2023-01-05,CLI024,BEB-002,26,944.39,0,0.0,24554.04,COMPLETADA,MercadoPago,VEND-09,Córdoba
VTA00000162,2023-01-05,CLI011,BEB-002,43,992.97,15,6404.64,36292.98,COMPLETADA,Transferencia,VEND-07,CABA_Norte
VTA00000163,2023-01-05,CLI021,BEB-001,20,367.34,0,0.0,7346.73,COMPLETADA,Tarjeta Crédito,VEND-10,La_Plata
VTA00000164,2023-01-05,CLI028,BEB-003,4,529.8,0,0.0,2119.19,COMPLETADA,Tarjeta Crédito,VEND-03,GBA_Oeste
VTA00000165,2023-01-05,CLI020,LAC-003,30,209.02,0,0.0,6270.74,COMPLETADA,Efectivo,VEND-08,CABA_Centro
VTA00000166,2023-01-05,CLI017,LAC-002,9,1305.32,0,0.0,11747.84,COMPLETADA,Tarjeta Crédito,VEND-09,CABA_Norte
VTA00000167,2023-01-05,CLI010,LIM-002,85,616.74,14,7339.19,45083.57,COMPLETADA,Efectivo,VEND-01,La_Plata
VTA00000168,2023-01-05,CLI001,ALK-005,18,1759.46,0,0.0,31670.25,COMPLETADA,Tarjeta Crédito,VEND-10,Rosario
VTA00000169,2023-01-05,CLI002,BEB-003,37,528.49,12,2346.51,17207.71,COMPLETADA,Tarjeta Crédito,VEND-03,GBA_Oeste
VTA00000170,2023-01-05,CLI036,ALK-003,49,825.7,15,6068.91,34390.47,COMPLETADA,Transferencia,VEND-09,CABA_Centro
VTA00000171,2023-01-05,CLI001,BEB-002,15,965.73,0,0.0,14486.01,COMPLETADA,Efectivo,VEND-10,GBA_Sur
VTA00000172,2023-01-05,CLI008,BEB-004,48,1296.22,2,1244.37,60974.34,COMPLETADA,MercadoPago,VEND-08,Rosario
VTA00000173,2023-01-05,CLI031,ALK-004,49,417.92,1,204.78,20273.08,COMPLETADA,Efectivo,VEND-03,Mendoza
VTA00000174,2023-01-06,CLI041,LIM-001,20,522.65,0,0.0,10453.07,COMPLETADA,Transferencia,VEND-01,GBA_Sur
VTA00000175,2023-01-06,CLI018,BEB-002,26,949.17,0,0.0,24678.35,COMPLETADA,MercadoPago,VEND-03,Rosario
VTA00000176,2023-01-06,CLI002,ALK-002,15,504.48,0,0.0,7567.19,COMPLETADA,Transferencia,VEND-03,CABA_Norte
VTA00000177,2023-01-06,CLI005,BEB-001,13,346.22,0,0.0,4500.9,COMPLETADA,Efectivo,VEND-02,CABA_Norte
VTA00000178,2023-01-06,CLI012,ALK-005,78,1851.55,15,21663.14,122757.8,COMPLETADA,Transferencia,VEND-05,GBA_Oeste
VTA00000179,2023-01-06,CLI023,BEB-002,42,979.2,1,411.26,40715.08,COMPLETADA,MercadoPago,VEND-10,Mendoza
VTA00000180,2023-01-06,CLI008,ALK-004,68,413.68,0,0.0,28130.31,COMPLETADA,Tarjeta Crédito,VEND-08,CABA_Norte
VTA00000181,2023-01-06,CLI003,ALK-005,10,1875.75,0,0.0,18757.47,COMPLETADA,Tarjeta Crédito,VEND-04,GBA_Oeste
VTA00000182,2023-01-06,CLI018,LIM-002,19,574.52,0,0.0,10915.85,COMPLETADA,Tarjeta Crédito,VEND-03,Córdoba
VTA00000183,2023-01-06,CLI029,LAC-003,9,217.59,0,0.0,1958.28,COMPLETADA,Tarjeta Crédito,VEND-08,Rosario
VTA00000184,2023-01-06,CLI041,LAC-001,11,417.61,0,0.0,4593.76,COMPLETADA,Tarjeta Crédito,VEND-01,GBA_Oeste
VTA00000185,2023-01-06,CLI049,ALK-003,87,879.31,8,6120.02,70380.23,COMPLETADA,Transferencia,VEND-01,GBA_Oeste
VTA00000186,2023-01-06,CLI025,LIM-003,9,875.29,0,0.0,7877.63,COMPLETADA,MercadoPago,VEND-02,Mendoza
VTA00000187,2023-01-06,CLI021,BEB-001,14,340.46,0,0.0,4766.46,COMPLETADA,Tarjeta Crédito,VEND-10,CABA_Centro
VTA00000188,2023-01-06,CLI034,LIM-002,39,586.6,14,3202.85,19674.64,COMPLETADA,MercadoPago,VEND-07,GBA_Oeste
VTA00000189,2023-01-06,CLI022,LIM-002,29,628.89,0,0.0,18237.79,COMPLETADA,MercadoPago,VEND-05,CABA_Norte
VTA00000190,2023-01-06,CLI013,LIM-003,28,830.94,0,0.0,23266.28,COMPLETADA,MercadoPago,VEND-03,CABA_Centro
VTA00000191,2023-01-06,CLI018,ALK-004,28,407.32,0,0.0,11404.85,COMPLETADA,Tarjeta Crédito,VEND-03,GBA_Sur
VTA00000192,2023-01-06,CLI029,ALK-005,35,1761.53,0,0.0,61653.64,COMPLETADA,Efectivo,VEND-08,Rosario
VTA00000193,2023-01-06,CLI001,ALK-005,71,1782.87,8,10126.67,116456.75,COMPLETADA,Transferencia,VEND-10,GBA_Oeste
