InventarioID,ProductoID,Sucursal,StockActual,StockMinimo,StockMaximo,Ubicacion,UltimaActualizacion
INV-BEB-001-Mendoza,BEB-001,Mendoza,1226,200,2000,PAS-3-EST-4,2024-03-15
INV-BEB-002-CABA_Centro,BEB-002,CABA_Centro,1556,180,1800,PAS-4-EST-5,2024-03-15
INV-BEB-002-CABA_Norte,BEB-002,CABA_Norte,1952,180,1800,PAS-5-EST-2,2024-03-15
INV-BEB-002-GBA_Sur,BEB-002,GBA_Sur,706,180,1800,PAS-9-EST-3,2024-03-15
INV-BEB-002-GBA_Oeste,BEB-002,GBA_Oeste,772,180,1800,PAS-8-EST-4,2024-03-15
INV-BEB-002-La_Plata,BEB-002,La_Plata,1412,180,1800,PAS-7-EST-1,2024-03-15
INV-BEB-002-Rosario,BEB-002,Rosario,1677,180,1800,PAS-6-EST-3,2024-03-15
INV-BEB-002-Córdoba,BEB-002,Córdoba,735,180,1800,PAS-4-EST-3,2024-03-15
INV-BEB-002-Mendoza,BEB-002,Mendoza,1135,180,1800,PAS-4-EST-1,2024-03-15
INV-BEB-003-CABA_Centro,BEB-003,CABA_Centro,1425,160,1600,PAS-9-EST-2,2024-03-15
INV-BEB-003-CABA_Norte,BEB-003,CABA_Norte,472,160,1600,PAS-2-EST-3,2024-03-15
INV-BEB-003-GBA_Sur,BEB-003,GBA_Sur,704,160,1600,PAS-8-EST-2,2024-03-15
INV-BEB-003-GBA_Oeste,BEB-003,GBA_Oeste,1277,160,1600,PAS-10-EST-2,2024-03-15
INV-BEB-003-La_Plata,BEB-003,La_Plata,273,160,1600,PAS-2-EST-3,2024-03-15
INV-BEB-003-Rosario,BEB-003,Rosario,273,160,1600,PAS-1-EST-3,2024-03-15
INV-BEB-003-Córdoba,BEB-003,Córdoba,1907,160,1600,PAS-10-EST-3,2024-03-15
INV-BEB-003-Mendoza,BEB-003,Mendoza,1177,160,1600,PAS-2-EST-1,2024-03-15
INV-BEB-004-CABA_Centro,BEB-004,CABA_Centro,658,80,800,PAS-6-EST-3,2024-03-15
INV-BEB-004-CABA_Norte,BEB-004,CABA_Norte,749,80,800,PAS-7-EST-2,2024-03-15
INV-BEB-004-GBA_Sur,BEB-004,GBA_Sur,743,80,800,PAS-4-EST-4,2024-03-15
INV-BEB-004-GBA_Oeste,BEB-004,GBA_Oeste,879,80,800,PAS-9-EST-4,2024-03-15
INV-BEB-004-La_Plata,BEB-004,La_Plata,646,80,800,PAS-6-EST-3,2024-03-15
INV-BEB-004-Rosario,BEB-004,Rosario,440,80,800,PAS-7-EST-3,2024-03-15
INV-BEB-004-Córdoba,BEB-004,Córdoba,485,80,800,PAS-5-EST-3,2024-03-15
INV-BEB-004-Mendoza,BEB-004,Mendoza,899,80,800,PAS-1-EST-4,2024-03-15
INV-LIM-001-CABA_Centro,LIM-001,CABA_Centro,670,100,1000,PAS-7-EST-4,2024-03-15
INV-LIM-001-CABA_Norte,LIM-001,CABA_Norte,564,100,1000,PAS-7-EST-3,2024-03-15
INV-LIM-001-GBA_Sur,LIM-001,GBA_Sur,1056,100,1000,PAS-6-EST-3,2024-03-15
INV-LIM-001-GBA_Oeste,LIM-001,GBA_Oeste,931,100,1000,PAS-10-EST-3,2024-03-15
INV-LIM-001-La_Plata,LIM-001,La_Plata,413,100,1000,PAS-7-EST-3,2024-03-15
INV-LIM-001-Rosario,LIM-001,Rosario,1168,100,1000,PAS-7-EST-4,2024-03-15
INV-LIM-001-Córdoba,LIM-001,Córdoba,1191,100,1000,PAS-2-EST-5,2024-03-15
INV-LIM-001-Mendoza,LIM-001,Mendoza,225,100,1000,PAS-1-EST-5,2024-03-15
INV-LIM-002-CABA_Centro,LIM-002,CABA_Centro,746,120,1200,PAS-1-EST-4,2024-03-15
INV-LIM-002-CABA_Norte,LIM-002,CABA_Norte,330,120,1200,PAS-8-EST-4,2024-03-15
INV-LIM-002-GBA_Sur,LIM-002,GBA_Sur,863,120,1200,PAS-2-EST-2,2024-03-15
INV-LIM-002-GBA_Oeste,LIM-002,GBA_Oeste,1335,120,1200,PAS-8-EST-4,2024-03-15
INV-LIM-002-La_Plata,LIM-002,La_Plata,1205,120,1200,PAS-2-EST-3,2024-03-15
INV-LIM-002-Rosario,LIM-002,Rosario,894,120,1200,PAS-8-EST-2,2024-03-15
INV-LIM-002-Córdoba,LIM-002,Córdoba,359,120,1200,PAS-7-EST-5,2024-03-15
INV-LIM-002-Mendoza,LIM-002,Mendoza,666,120,1200,PAS-2-EST-2,2024-03-15
INV-LIM-003-CABA_Centro,LIM-003,CABA_Centro,1079,90,900,PAS-3-EST-2,2024-03-15
INV-LIM-003-CABA_Norte,LIM-003,CABA_Norte,841,90,900,PAS-6-EST-4,2024-03-15
INV-LIM-003-GBA_Sur,LIM-003,GBA_Sur,791,90,900,PAS-6-EST-2,2024-03-15
INV-LIM-003-GBA_Oeste,LIM-003,GBA_Oeste,342,90,900,PAS-6-EST-3,2024-03-15
INV-LIM-003-La_Plata,LIM-003,La_Plata,344,90,900,PAS-3-EST-4,2024-03-15
INV-LIM-003-Rosario,LIM-003,Rosario,938,90,900,PAS-7-EST-3,2024-03-15
INV-LIM-003-Córdoba,LIM-003,Córdoba,120,90,900,PAS-5-EST-2,2024-03-15
INV-LIM-003-Mendoza,LIM-003,Mendoza,868,90,900,PAS-2-EST-4,2024-03-15
INV-LAC-001-CABA_Centro,LAC-001,CABA_Centro,3041,300,3000,PAS-9-EST-2,2024-03-15
INV-LAC-001-CABA_Norte,LAC-001,CABA_Norte,2222,300,3000,PAS-8-EST-3,2024-03-15
INV-LAC-001-GBA_Sur,LAC-001,GBA_Sur,2973,300,3000,PAS-1-EST-1,2024-03-15
INV-LAC-001-GBA_Oeste,LAC-001,GBA_Oeste,448,300,3000,PAS-5-EST-1,2024-03-15
INV-LAC-001-La_Plata,LAC-001,La_Plata,877,300,3000,PAS-4-EST-5,2024-03-15
INV-LAC-001-Rosario,LAC-001,Rosario,2640,300,3000,PAS-4-EST-4,2024-03-15
INV-LAC-001-Córdoba,LAC-001,Córdoba,269,300,3000,PAS-5-EST-1,2024-03-15
INV-LAC-001-Mendoza,LAC-001,Mendoza,1358,300,3000,PAS-10-EST-2,2024-03-15
INV-LAC-002-CABA_Centro,LAC-002,CABA_Centro,552,60,600,PAS-1-EST-3,2024-03-15
INV-LAC-002-CABA_Norte,LAC-002,CABA_Norte,661,60,600,PAS-2-EST-2,2024-03-15
INV-LAC-002-GBA_Sur,LAC-002,GBA_Sur,336,60,600,PAS-9-EST-1,2024-03-15
INV-LAC-002-GBA_Oeste,LAC-002,GBA_Oeste,117,60,600,PAS-4-EST-2,2024-03-15
INV-LAC-002-La_Plata,LAC-002,La_Plata,560,60,600,PAS-3-EST-2,2024-03-15
INV-LAC-002-Rosario,LAC-002,Rosario,672,60,600,PAS-3-EST-5,2024-03-15
INV-LAC-002-Córdoba,LAC-002,Córdoba,374,60,600,PAS-8-EST-2,2024-03-15
INV-LAC-002-Mendoza,LAC-002,Mendoza,695,60,600,PAS-2-EST-3,2024-03-15
INV-LAC-003-CABA_Centro,LAC-003,CABA_Centro,406,200,2000,PAS-3-EST-2,2024-03-15
INV-LAC-003-CABA_Norte,LAC-003,CABA_Norte,1111,200,2000,PAS-9-EST-1,2024-03-15
INV-LAC-003-GBA_Sur,LAC-003,GBA_Sur,665,200,2000,PAS-4-EST-3,2024-03-15
INV-LAC-003-GBA_Oeste,LAC-003,GBA_Oeste,1331,200,2000,PAS-1-EST-5,2024-03-15
INV-LAC-003-La_Plata,LAC-003,La_Plata,2316,200,2000,PAS-3-EST-4,2024-03-15
INV-LAC-003-Rosario,LAC-003,Rosario,2253,200,2000,PAS-3-EST-3,2024-03-15
INV-LAC-003-Córdoba,LAC-003,Córdoba,511,200,2000,PAS-9-EST-1,2024-03-15
INV-LAC-003-Mendoza,LAC-003,Mendoza,258,200,2000,PAS-9-EST-4,2024-03-15
