PedidoID,FechaPedido,ProveedorID,ProductoID,CantidadPedida,PrecioCompra,TotalPedido,Estado,CantidadRecibida,FechaRecepcion,SucursalDestino
PED-00029,2023-09-01,PROV-001,ALK-003,754,574.12,432886.51,RECIBIDO,736,2023-09-04,GBA_Oeste
PED-00030,2023-05-28,PROV-003,LIM-001,855,343.05,293304.55,APROBADO,0,,GBA_Oeste
PED-00031,2023-02-03,PROV-004,BEB-002,330,671.68,221653.21,APROBADO,0,,Córdoba
PED-00032,2023-10-08,PROV-002,LAC-003,237,149.2,35360.73,RECIBIDO,229,2023-10-17,CABA_Centro
PED-00033,2023-04-13,PROV-004,BEB-002,494,702.18,346876.96,APROBADO,0,,GBA_Sur
PED-00034,2024-01-25,PROV-004,BEB-002,371,707.08,262327.21,EN_CAMINO,338,2024-02-02,Rosario
PED-00035,2023-12-07,PROV-002,LAC-001,707,280.5,198314.97,EN_CAMINO,626,2023-12-11,Rosario
PED-00036,2023-01-08,PROV-002,LAC-002,811,863.42,700234.94,APROBADO,0,,Rosario
PED-00037,2023-06-08,PROV-004,BEB-001,415,228.21,94706.22,RECIBIDO,358,2023-06-18,GBA_Sur
PED-00038,2023-12-25,PROV-005,BEB-003,505,350.59,177048.25,RECIBIDO,433,2024-01-07,Córdoba
PED-00039,2023-09-01,PROV-001,ALK-002,933,366.6,342040.29,RECIBIDO,890,2023-09-07,Mendoza
PED-00040,2023-11-26,PROV-002,LAC-003,234,147.13,34427.56,EN_CAMINO,195,2023-12-05,Córdoba
PED-00041,2023-03-14,PROV-004,BEB-001,976,220.22,214933.48,PENDIENTE,0,,La_Plata
PED-00042,2023-01-11,PROV-002,LAC-003,937,153.95,144248.13,EN_CAMINO,909,2023-01-15,GBA_Oeste
PED-00043,2023-03-15,PROV-003,LIM-002,762,394.08,300288.93,RECIBIDO,703,2023-03-27,Mendoza
PED-00044,2023-08-15,PROV-003,LIM-001,831,345.39,287016.73,PENDIENTE,0,,GBA_Sur
PED-00045,2023-01-07,PROV-002,LAC-003,767,148.32,113759.79,RECIBIDO,630,2023-01-14,GBA_Sur
PED-00046,2023-10-13,PROV-005,BEB-004,838,841.82,705441.68,RECIBIDO,704,2023-10-25,CABA_Centro
PED-00047,2023-06-29,PROV-004,BEB-002,265,673.83,178564.04,PENDIENTE,0,,GBA_Sur
PED-00048,2023-04-12,PROV-002,LAC-001,168,283.64,47651.38,APROBADO,0,,Rosario
PED-00049,2023-10-06,PROV-005,BEB-004,877,843.3,739572.52,PENDIENTE,0,,CABA_Norte
PED-00050,2023-03-14,PROV-004,BEB-002,518,703.05,364177.83,EN_CAMINO,499,2023-03-22,CABA_Norte
PED-00051,2023-03-04,PROV-001,ALK-005,187,1261.38,235878.0,RECIBIDO,184,2023-03-11,GBA_Sur
PED-00052,2023-09-26,PROV-005,BEB-003,568,351.29,199533.05,APROBADO,0,,Córdoba
PED-00053,2023-03-07,PROV-002,LAC-001,618,275.68,170370.93,RECIBIDO,594,2023-03-18,La_Plata
PED-00054,2023-02-22,PROV-003,LIM-002,821,394.17,323611.6,CANCELADO,0,,La_Plata
PED-00055,2023-11-22,PROV-001,ALK-005,613,1296.65,794847.09,PENDIENTE,0,,CABA_Norte
PED-00056,2024-01-02,PROV-001,ALK-003,498,576.46,287078.62,EN_CAMINO,439,2024-01-12,Rosario
PED-00057,2023-08-21,PROV-003,LIM-001,713,358.65,255717.52,EN_CAMINO,581,2023-08-26,Mendoza
PED-00058,2023-01-16,PROV-006,ALK-004,404,289.56,116983.08,RECIBIDO,369,2023-01-22,GBA_Oeste
PED-00059,2023-08-18,PROV-002,LAC-002,378,839.68,317397.54,RECIBIDO,352,2023-08-22,GBA_Oeste
PED-00060,2024-01-28,PROV-005,BEB-003,480,358.94,172291.64,EN_CAMINO,464,2024-02-05,Rosario
PED-00061,2024-01-27,PROV-003,LIM-001,351,359.85,126306.64,APROBADO,0,,GBA_Oeste
PED-00062,2024-02-04,PROV-001,ALK-001,174,440.12,76580.35,PENDIENTE,0,,GBA_Sur
PED-00063,2023-11-30,PROV-003,LIM-002,124,397.65,49308.88,PENDIENTE,0,,Rosario
PED-00064,2023-03-08,PROV-002,LAC-001,217,277.98,60322.51,EN_CAMINO,214,2023-03-15,Rosario
PED-00065,2023-06-18,PROV-001,ALK-002,122,360.01,43921.32,APROBADO,0,,CABA_Centro
PED-00066,2023-01-30,PROV-001,ALK-002,971,365.74,355130.34,APROBADO,0,,GBA_Oeste
PED-00067,2023-02-12,PROV-003,LIM-001,629,352.65,221817.85,RECIBIDO,557,2023-02-16,Rosario
PED-00068,2023-03-02,PROV-002,LAC-003,582,150.86,87803.31,RECIBIDO,532,2023-03-09,Mendoza
PED-00069,2024-01-08,PROV-005,BEB-004,758,874.1,662570.92,RECIBIDO,695,2024-01-13,GBA_Oeste
PED-00070,2023-03-14,PROV-002,LAC-001,204,293.52,59878.41,APROBADO,0,,La_Plata
PED-00071,2023-06-10,PROV-002,LAC-003,661,153.4,101394.52,EN_CAMINO,551,2023-06-13,Córdoba
PED-00072,2023-10-18,PROV-004,BEB-001,966,221.04,213523.75,EN_CAMINO,818,2023-10-30,La_Plata
PED-00073,2023-10-23,PROV-004,BEB-002,404,676.29,273221.12,APROBADO,0,,Rosario
PED-00074,2023-08-20,PROV-002,LAC-001,743,282.94,210221.89,RECIBIDO,684,2023-08-30,Mendoza
PED-00075,2024-01-02,PROV-003,LIM-003,701,580.88,407194.45,APROBADO,0,,Córdoba
PED-00076,2024-01-18,PROV-005,BEB-004,907,836.97,759133.01,RECIBIDO,877,2024-01-30,Rosario
PED-00077,2023-02-12,PROV-002,LAC-002,154,834.64,128534.06,APROBADO,0,,Mendoza
PED-00078,2023-05-01,PROV-005,BEB-003,217,349.45,75830.7,APROBADO,0,,Mendoza
PED-00079,2023-03-01,PROV-001,ALK-003,242,601.09,145464.5,PENDIENTE,0,,Mendoza
PED-00080,2023-03-27,PROV-005,BEB-004,894,844.19,754709.18,RECIBIDO,739,2023-04-09,Córdoba
PED-00081,2023-07-30,PROV-004,BEB-001,425,224.73,95511.75,EN_CAMINO,418,2023-08-06,GBA_Oeste
PED-00082,2023-06-17,PROV-005,BEB-003,228,358.81,81809.16,APROBADO,0,,Mendoza
PED-00083,2023-12-04,PROV-005,BEB-004,615,841.89,517762.17,PENDIENTE,0,,CABA_Norte
PED-00084,2023-05-26,PROV-003,LIM-003,830,585.21,485728.31,RECIBIDO,787,2023-05-31,GBA_Sur
PED-00085,2023-09-25,PROV-002,LAC-001,449,290.6,130480.03,PENDIENTE,0,,GBA_Sur
PED-00086,2024-01-13,PROV-001,ALK-003,796,592.82,471886.15,RECIBIDO,772,2024-01-28,Córdoba
PED-00087,2023-05-02,PROV-002,LAC-002,941,838.85,789355.53,APROBADO,0,,GBA_Oeste
PED-00088,2023-12-29,PROV-003,LIM-002,142,408.0,57936.19,PENDIENTE,0,,CABA_Norte
PED-00089,2023-01-31,PROV-002,LAC-001,981,286.67,281225.92,EN_CAMINO,934,2023-02-05,GBA_Sur
PED-00090,2024-01-03,PROV-003,LIM-003,789,587.71,463702.28,EN_CAMINO,717,2024-01-07,GBA_Oeste
PED-00091,2023-11-09,PROV-003,LIM-003,680,605.89,412007.69,RECIBIDO,551,2023-11-20,GBA_Oeste
PED-00092,2023-02-25,PROV-002,LAC-002,376,847.11,318511.75,PENDIENTE,0,,CABA_Centro
PED-00093,2023-05-25,PROV-005,BEB-004,611,856.9,523565.03,PENDIENTE,0,,Mendoza
PED-00094,2023-09-26,PROV-002,LAC-001,818,279.8,228873.91,APROBADO,0,,GBA_Sur
PED-00095,2023-01-07,PROV-001,ALK-002,796,360.58,287019.01,CANCELADO,0,,La_Plata
PED-00096,2023-12-12,PROV-002,LAC-003,623,151.71,94513.75,CANCELADO,0,,CABA_Norte
PED-00097,2023-03-20,PROV-006,ALK-004,248,287.92,71403.39,EN_CAMINO,217,2023-03-24,GBA_Sur
PED-00098,2023-09-25,PROV-002,LAC-003,452,151.25,68367.05,RECIBIDO,450,2023-10-08,Córdoba
PED-00099,2023-12-02,PROV-005,BEB-003,581,347.61,201963.89,PENDIENTE,0,,Rosario
PED-00100,2023-08-25,PROV-002,LAC-003,662,148.78,98494.51,RECIBIDO,579,2023-08-31,Córdoba
PED-00101,2023-06-06,PROV-005,BEB-003,799,345.99,276445.91,EN_CAMINO,662,2023-06-21,CABA_Norte
PED-00102,2023-07-06,PROV-001,ALK-005,901,1275.04,1148815.05,APROBADO,0,,Rosario
PED-00103,2023-05-25,PROV-002,LAC-001,650,286.12,185980.74,APROBADO,0,,La_Plata
PED-00104,2023-09-21,PROV-001,ALK-003,886,586.49,519627.42,EN_CAMINO,786,2023-09-27,Mendoza
PED-00105,2023-12-28,PROV-001,ALK-003,545,577.85,314926.38,APROBADO,0,,GBA_Sur
PED-00106,2023-01-02,PROV-005,BEB-003,442,366.58,162027.68,EN_CAMINO,407,2023-01-09,GBA_Sur
PED-00107,2023-04-21,PROV-002,LAC-002,735,881.22,647693.16,APROBADO,0,,Mendoza
PED-00108,2023-07-13,PROV-002,LAC-002,933,885.93,826577.12,RECIBIDO,805,2023-07-21,Rosario
PED-00109,2023-08-21,PROV-004,BEB-002,742,695.7,516210.46,PENDIENTE,0,,GBA_Sur
PED-00110,2023-11-17,PROV-001,ALK-002,372,356.51,132620.45,APROBADO,0,,Rosario
PED-00111,2023-07-27,PROV-001,ALK-002,934,356.85,333293.5,CANCELADO,0,,CABA_Norte
PED-00112,2023-02-21,PROV-002,LAC-002,311,842.33,261963.94,EN_CAMINO,258,2023-03-05,GBA_Sur
PED-00113,2023-01-31,PROV-002,LAC-002,275,840.58,231159.85,RECIBIDO,230,2023-02-12,La_Plata
PED-00114,2023-12-28,PROV-001,ALK-002,617,356.83,220165.34,APROBADO,0,,CABA_Centro
PED-00115,2023-06-15,PROV-002,LAC-003,320,154.89,49565.76,RECIBIDO,265,2023-06-23,GBA_Sur
PED-00116,2023-08-21,PROV-005,BEB-003,912,362.38,330489.98,RECIBIDO,886,2023-09-02,GBA_Sur
PED-00117,2023-01-12,PROV-004,BEB-002,847,680.1,576041.46,APROBADO,0,,GBA_Oeste
PED-00118,2023-09-24,PROV-001,ALK-001,353,423.64,149544.51,EN_CAMINO,305,2023-10-01,CABA_Centro
PED-00119,2023-09-11,PROV-003,LIM-002,560,414.6,232176.69,CANCELADO,0,,La_Plata
PED-00120,2023-05-22,PROV-003,LIM-001,341,349.53,119190.91,RECIBIDO,340,2023-05-25,CABA_Norte
PED-00121,2023-07-18,PROV-002,LAC-002,147,861.61,126656.12,EN_CAMINO,117,2023-08-01,CABA_Norte
PED-00122,2023-12-31,PROV-002,LAC-001,192,283.23,54380.66,APROBADO,0,,Córdoba
PED-00123,2023-04-11,PROV-001,ALK-001,183,434.29,79474.26,RECIBIDO,171,2023-04-14,GBA_Sur
PED-00124,2023-08-03,PROV-004,BEB-001,217,215.69,46804.31,EN_CAMINO,180,2023-08-08,GBA_Sur
PED-00125,2023-03-28,PROV-001,ALK-002,207,358.45,74198.56,RECIBIDO,207,2023-04-01,GBA_Oeste
PED-00126,2023-11-26,PROV-003,LIM-001,288,351.55,101246.24,EN_CAMINO,267,2023-12-09,GBA_Oeste
PED-00127,2023-04-09,PROV-002,LAC-002,625,890.34,556460.91,PENDIENTE,0,,Córdoba
PED-00128,2023-06-02,PROV-002,LAC-002,233,857.44,199783.36,EN_CAMINO,211,2023-06-14,GBA_Sur
PED-00129,2023-09-03,PROV-002,LAC-003,237,153.11,36287.12,CANCELADO,0,,La_Plata
PED-00130,2023-07-15,PROV-005,BEB-003,319,361.82,115420.76,APROBADO,0,,Córdoba
PED-00131,2023-08-07,PROV-001,ALK-002,472,365.01,172286.16,APROBADO,0,,La_Plata
PED-00132,2023-04-23,PROV-002,LAC-003,931,155.84,145088.85,APROBADO,0,,CABA_Norte
PED-00133,2023-04-18,PROV-004,BEB-001,562,220.96,124182.06,APROBADO,0,,GBA_Oeste
PED-00134,2023-09-26,PROV-003,LIM-001,441,363.54,160321.04,EN_CAMINO,405,2023-10-09,La_Plata
PED-00135,2023-08-23,PROV-003,LIM-003,777,605.97,470836.94,RECIBIDO,726,2023-08-27,GBA_Oeste
PED-00136,2023-05-29,PROV-005,BEB-003,577,353.44,203934.9,RECIBIDO,511,2023-06-11,GBA_Oeste
PED-00137,2023-11-11,PROV-003,LIM-003,154,608.54,93715.61,PENDIENTE,0,,GBA_Oeste
PED-00138,2023-11-18,PROV-001,ALK-003,881,597.38,526292.58,EN_CAMINO,810,2023-11-26,GBA_Sur
PED-00139,2023-11-13,PROV-002,LAC-002,525,837.89,439894.31,APROBADO,0,,GBA_Sur
PED-00140,2023-12-09,PROV-001,ALK-001,200,437.7,87540.94,RECIBIDO,187,2023-12-23,CABA_Centro
PED-00141,2023-08-13,PROV-003,LIM-001,129,358.8,46285.45,RECIBIDO,106,2023-08-18,Córdoba
PED-00142,2023-03-26,PROV-004,BEB-002,370,677.24,250580.43,PENDIENTE,0,,GBA_Oeste
PED-00143,2023-06-13,PROV-003,LIM-002,314,406.96,127784.3,EN_CAMINO,279,2023-06-24,Mendoza
PED-00144,2023-07-04,PROV-005,BEB-003,493,358.91,176943.98,APROBADO,0,,Córdoba
PED-00145,2023-01-20,PROV-005,BEB-004,566,856.91,485008.7,APROBADO,0,,La_Plata
PED-00146,2023-05-09,PROV-001,ALK-001,351,415.51,145845.72,APROBADO,0,,Córdoba
PED-00147,2023-09-22,PROV-001,ALK-002,942,343.85,323910.78,CANCELADO,0,,GBA_Oeste
PED-00148,2023-12-08,PROV-003,LIM-003,345,575.87,198674.1,PENDIENTE,0,,Rosario
PED-00149,2023-12-17,PROV-004,BEB-001,763,221.37,168904.73,PENDIENTE,0,,Córdoba
PED-00150,2023-01-05,PROV-001,ALK-005,228,1236.52,281926.95,PENDIENTE,0,,Córdoba
PED-00151,2023-01-04,PROV-002,LAC-003,786,152.16,119595.34,APROBADO,0,,La_Plata
PED-00152,2023-03-25,PROV-004,BEB-001,936,221.68,207488.44,EN_CAMINO,857,2023-04-01,Córdoba
PED-00153,2023-04-12,PROV-002,LAC-003,852,150.16,127932.26,EN_CAMINO,719,2023-04-21,CABA_Centro
PED-00154,2024-02-05,PROV-002,LAC-002,463,834.51,386376.1,PENDIENTE,0,,Rosario
PED-00155,2023-06-29,PROV-001,ALK-001,701,434.56,304629.46,EN_CAMINO,657,2023-07-06,CABA_Norte
PED-00156,2023-08-15,PROV-003,LIM-003,558,606.34,338334.94,PENDIENTE,0,,La_Plata
PED-00157,2023-04-08,PROV-005,BEB-003,517,362.29,187305.35,RECIBIDO,499,2023-04-17,GBA_Sur
PED-00158,2023-11-22,PROV-003,LIM-002,773,406.93,314557.55,APROBADO,0,,Rosario
PED-00159,2023-03-02,PROV-003,LIM-002,261,407.72,106415.69,RECIBIDO,237,2023-03-17,Córdoba
PED-00160,2023-11-16,PROV-004,BEB-001,880,218.89,192624.88,CANCELADO,0,,GBA_Oeste
PED-00161,2023-02-25,PROV-001,ALK-002,516,348.94,180054.74,APROBADO,0,,Mendoza
PED-00162,2023-04-27,PROV-002,LAC-003,636,155.8,99085.93,EN_CAMINO,536,2023-05-11,La_Plata
PED-00163,2023-05-07,PROV-005,BEB-004,745,869.43,647725.85,RECIBIDO,695,2023-05-13,La_Plata
PED-00164,2023-04-03,PROV-001,ALK-005,983,1259.81,1238397.46,PENDIENTE,0,,GBA_Sur
PED-00165,2024-01-18,PROV-005,BEB-004,164,883.52,144897.59,APROBADO,0,,La_Plata
PED-00166,2024-01-30,PROV-003,LIM-003,847,588.68,498609.94,APROBADO,0,,Rosario
PED-00167,2023-12-10,PROV-005,BEB-003,436,356.84,155580.61,PENDIENTE,0,,GBA_Oeste
PED-00168,2023-12-01,PROV-004,BEB-002,416,708.85,294883.65,EN_CAMINO,381,2023-12-11,GBA_Sur
PED-00169,2023-04-02,PROV-001,ALK-001,941,439.4,413473.88,RECIBIDO,937,2023-04-11,Rosario
PED-00170,2023-05-02,PROV-001,ALK-003,906,581.8,527114.43,APROBADO,0,,Córdoba
PED-00171,2023-09-19,PROV-005,BEB-004,838,846.4,709279.82,CANCELADO,0,,CABA_Centro
PED-00172,2023-07-26,PROV-001,ALK-001,280,417.08,116782.03,APROBADO,0,,CABA_Centro
PED-00173,2023-03-16,PROV-003,LIM-002,675,412.81,278649.35,RECIBIDO,633,2023-03-31,GBA_Oeste
PED-00174,2023-11-03,PROV-003,LIM-002,370,403.36,149244.48,PENDIENTE,0,,GBA_Oeste
PED-00175,2023-06-04,PROV-003,LIM-002,149,404.27,60236.24,CANCELADO,0,,Rosario
PED-00176,2023-10-29,PROV-001,ALK-005,292,1243.48,363095.36,APROBADO,0,,CABA_Norte
PED-00177,2023-06-07,PROV-001,ALK-005,903,1262.54,1140074.57,APROBADO,0,,CABA_Norte
PED-00178,2023-02-07,PROV-006,ALK-004,661,274.9,181710.6,RECIBIDO,651,2023-02-10,GBA_Sur
PED-00179,2024-01-05,PROV-004,BEB-001,822,229.03,188260.11,EN_CAMINO,769,2024-01-10,GBA_Sur
PED-00180,2023-01-07,PROV-001,ALK-002,594,346.43,205778.92,EN_CAMINO,511,2023-01-11,Córdoba
PED-00181,2023-11-04,PROV-005,BEB-003,911,354.4,322858.56,RECIBIDO,841,2023-11-09,CABA_Centro
PED-00182,2023-09-13,PROV-003,LIM-002,611,400.11,244466.07,PENDIENTE,0,,GBA_Oeste
PED-00183,2023-01-01,PROV-001,ALK-002,170,357.77,60821.71,PENDIENTE,0,,Rosario
PED-00184,2023-12-28,PROV-004,BEB-001,685,221.49,151722.41,EN_CAMINO,648,2023-12-31,La_Plata
PED-00185,2023-07-07,PROV-003,LIM-001,614,358.41,220065.75,APROBADO,0,,Mendoza
PED-00186,2023-01-13,PROV-001,ALK-001,365,436.69,159393.31,EN_CAMINO,305,2023-01-22,Córdoba
PED-00187,2023-01-16,PROV-002,LAC-002,403,878.25,353935.29,EN_CAMINO,336,2023-01-19,La_Plata
PED-00188,2023-07-25,PROV-001,ALK-005,898,1299.1,1166592.01,PENDIENTE,0,,GBA_Sur
PED-00189,2023-03-16,PROV-002,LAC-003,352,152.12,53547.77,PENDIENTE,0,,GBA_Oeste
PED-00190,2023-03-07,PROV-006,ALK-004,164,285.68,46851.49,RECIBIDO,134,2023-03-12,La_Plata
PED-00191,2023-03-07,PROV-006,ALK-004,937,275.2,257866.52,RECIBIDO,788,2023-03-14,GBA_Oeste
PED-00192,2023-01-16,PROV-003,LIM-002,971,408.06,396224.78,CANCELADO,0,,Mendoza
PED-00193,2023-05-28,PROV-001,ALK-001,845,438.9,370868.58,EN_CAMINO,735,2023-06-02,GBA_Oeste
PED-00194,2023-09-27,PROV-004,BEB-001,755,219.88,166007.27,APROBADO,0,,GBA_Oeste
PED-00195,2023-07-07,PROV-004,BEB-001,520,227.34,118217.64,APROBADO,0,,CABA_Norte
PED-00196,2023-12-27,PROV-002,LAC-001,910,288.11,262179.06,RECIBIDO,737,2024-01-06,CABA_Norte
PED-00197,2023-02-16,PROV-002,LAC-001,300,275.41,82622.43,EN_CAMINO,289,2023-02-21,CABA_Norte
PED-00198,2024-01-26,PROV-004,BEB-002,589,674.18,397091.08,PENDIENTE,0,,GBA_Oeste
PED-00199,2023-09-30,PROV-003,LIM-003,636,604.73,384605.58,RECIBIDO,601,2023-10-03,La_Plata
PED-00200,2023-08-19,PROV-004,BEB-001,680,222.36,151206.2,APROBADO,0,,GBA_Oeste
