VentaID,Fecha,Sucursal,Zona,Cliente,Categoria,Producto,Cantidad,PrecioUnitario,CostoUnitario,CostoTotal,Descuento,TotalVenta,Ganancia,MargenPorcentaje,Mes,Trimestre,Rentabilidad
VTA2022000029,2022-10-27,CABA_Norte,CABA,Carrefour Argentina S.A.,LIMPIEZA,Suavizante Vivere 1L,61,371.82,300,18300,2673.2,20007.82,1707.8199999999997,8.54,2022-10,T4-2022,Baja
VTA2022000030,2022-04-21,Mendoza,Interior,Kiosco 24 Horas,BEBIDAS,Pepsi 2L,7,398.78,320,2240,0.0,2791.46,551.46,19.76,2022-04,T2-2022,Media
VTA2022000031,2022-08-01,Córdoba,Interior,Mayorista Precio Bajo,LIMPIEZA,Detergente Magistral 750ml,56,350.65,250,14000,2439.27,17197.13,3197.130000000001,18.59,2022-08,T3-2022,Media
VTA2022000032,2022-06-01,CABA_Norte,CABA,Almacén Don Pedro,LIMPIEZA,Lavandina Ayudín 1L,14,314.95,220,3080,0.0,4409.3,1329.3000000000002,30.15,2022-06,T2-2022,Alta
VTA2022000033,2022-10-28,Córdoba,Interior,Almacén El Progreso,ALMACEN,Galletitas Oreo 117g,49,183.3,140,6860,980.09,8001.61,1141.6099999999997,14.27,2022-10,T4-2022,Baja
VTA2022000034,2022-08-17,La_Plata,Interior,Mayorista El Economico,LIMPIEZA,Detergente Magistral 750ml,66,358.28,250,16500,3313.33,20333.15,3833.1500000000015,18.85,2022-08,T3-2022,Media
VTA2022000035,2022-06-22,CABA_Centro,CABA,Supermercados Vea S.A.,ALMACEN,Harina 0000 Favorita 1kg,71,315.32,250,17750,3762.29,18625.43,875.4300000000003,4.7,2022-06,T2-2022,Baja
VTA2022000036,2022-09-02,CABA_Centro,CABA,Distribuidora Quick S.A.,BEBIDAS,Fernet Branca 750ml,18,2533.06,1800,32400,0.0,45595.08,13195.080000000002,28.94,2022-09,T3-2022,Alta
VTA2022000037,2022-11-03,CABA_Centro,CABA,Mayorista El Economico,LIMPIEZA,Desengrasante Grasa Relief 500ml,9,367.2,280,2520,0.0,3304.8,784.8000000000002,23.75,2022-11,T4-2022,Media
VTA2022000038,2022-06-14,Córdoba,Interior,Supermercados La Anónima,ALMACEN,Aceite Girasol Natura 1.5L,61,910.56,750,45750,6827.21,48716.95,2966.949999999997,6.09,2022-06,T2-2022,Baja
VTA2022000039,2022-11-07,CABA_Centro,CABA,Distribuidora Quick S.A.,BEBIDAS,Cerveza Quilmes 1L,37,249.78,220,8140,0.0,9241.86,1101.8600000000006,11.92,2022-11,T4-2022,Baja
VTA2022000040,2022-09-29,GBA_Oeste,GBA,Almacén El Progreso,LACTEOS,Manteca San Ignacio 200g,37,298.49,250,9250,0.0,11044.13,1794.1299999999992,16.25,2022-09,T3-2022,Media
VTA2022000041,2022-02-17,CABA_Norte,CABA,Mayorista El Economico,LIMPIEZA,Detergente Magistral 750ml,16,322.96,250,4000,0.0,5167.36,1167.3599999999997,22.59,2022-02,T1-2022,Media
VTA2022000042,2022-11-22,Córdoba,Interior,Distribuidora El Norte,LACTEOS,Leche Entera La Serenísima 1L,31,205.17,180,5580,0.0,6360.27,780.2700000000004,12.27,2022-11,T4-2022,Baja
VTA2022000043,2022-12-01,Córdoba,Interior,Mayorista Precio Bajo,LIMPIEZA,Detergente Magistral 750ml,32,320.69,250,8000,0.0,10262.08,2262.08,22.04,2022-12,T4-2022,Media
VTA2022000044,2022-04-19,GBA_Oeste,GBA,Carrefour Argentina S.A.,BEBIDAS,Cerveza Quilmes 1L,5,251.73,220,1100,0.0,1258.65,158.6500000000001,12.6,2022-04,T2-2022,Baja
VTA2022000045,2022-01-06,Córdoba,Interior,Supermercado Disco S.A.,LIMPIEZA,Limpiador Cif Crema 500g,39,372.86,330,12870,0.0,14541.54,1671.5400000000009,11.49,2022-01,T1-2022,Baja
VTA2022000046,2022-08-12,La_Plata,Interior,Supermercados Vea S.A.,LIMPIEZA,Lavandina Ayudín 1L,49,266.91,220,10780,1379.02,11699.57,919.5699999999997,7.86,2022-08,T3-2022,Baja
VTA2022000047,2022-01-14,Rosario,Interior,Supermercados Walmart Argentina,LACTEOS,Yogur Firme La Serenísima 190g,36,119.39,95,3420,0.0,4298.04,878.04,20.43,2022-01,T1-2022,Media
VTA2022000048,2022-12-06,Córdoba,Interior,Almacén San José,BEBIDAS,Jugo Baggio 1L,35,286.36,250,8750,0.0,10022.6,1272.6000000000004,12.7,2022-12,T4-2022,Baja
VTA2022000049,2022-05-27,GBA_Sur,GBA,Distribuidora Quick S.A.,ALMACEN,Arroz Largo Fino Gallo 1kg,53,406.09,350,18550,3146.97,18375.8,-174.20000000000073,-0.95,2022-05,T2-2022,Baja
VTA2022000050,2022-08-16,Rosario,Interior,Almacén El Progreso,LIMPIEZA,Detergente Magistral 750ml,14,312.22,250,3500,0.0,4371.08,871.0799999999999,19.93,2022-08,T3-2022,Media
VTA2022000051,2022-02-24,CABA_Norte,CABA,Kiosco Central,LIMPIEZA,Desengrasante Grasa Relief 500ml,34,321.25,280,9520,0.0,10922.5,1402.5,12.84,2022-02,T1-2022,Baja
VTA2022000052,2022-08-03,GBA_Sur,GBA,Distribuidora Quick S.A.,BEBIDAS,Agua Villa del Sur 2L,9,164.31,140,1260,0.0,1478.79,218.78999999999996,14.8,2022-08,T3-2022,Baja
VTA2022000053,2022-01-17,CABA_Norte,CABA,Supermercados Walmart Argentina,BEBIDAS,Agua Saborizada Villavicencio 500ml,16,151.44,120,1920,0.0,2423.04,503.03999999999996,20.76,2022-01,T1-2022,Media
VTA2022000054,2022-12-05,Córdoba,Interior,Carrefour Argentina S.A.,ALMACEN,Arroz Largo Fino Gallo 1kg,19,405.21,350,6650,0.0,7698.99,1048.9899999999998,13.63,2022-12,T4-2022,Baja
VTA2022000055,2022-03-10,CABA_Centro,CABA,Maxikiosco Luz,LACTEOS,Yogur Firme La Serenísima 190g,19,132.01,95,1805,0.0,2508.19,703.19,28.04,2022-03,T1-2022,Alta
VTA2022000056,2022-08-09,Rosario,Interior,Almacén Punto de Venta,BEBIDAS,Coca-Cola 2.25L,22,537.14,400,8800,0.0,11817.08,3017.08,25.53,2022-08,T3-2022,Alta
VTA2022000057,2022-06-17,Córdoba,Interior,Maxikiosco Luz,BEBIDAS,Agua Villa del Sur 2L,8,159.48,140,1120,0.0,1275.84,155.83999999999992,12.21,2022-06,T2-2022,Baja
VTA2022000058,2022-10-13,CABA_Centro,CABA,Distribuidora Rápida,LIMPIEZA,Suavizante Vivere 1L,79,432.67,300,23700,4242.86,29938.07,6238.07,20.84,2022-10,T4-2022,Media
VTA2022000059,2022-11-17,GBA_Sur,GBA,Distribuidora El Norte,ALMACEN,Mermelada La Campagnola 454g,48,364.64,300,14400,2849.93,14652.79,252.79000000000087,1.73,2022-11,T4-2022,Baja
VTA2022000060,2022-06-29,CABA_Centro,CABA,Supermercado Disco S.A.,LIMPIEZA,Lavandina Ayudín 1L,31,273.88,220,6820,0.0,8490.28,1670.2800000000007,19.67,2022-06,T2-2022,Media
VTA2022000061,2022-11-09,Rosario,Interior,Mayorista El Economico,ALMACEN,Mermelada La Campagnola 454g,76,430.7,300,22800,3399.25,29333.95,6533.950000000001,22.27,2022-11,T4-2022,Media
VTA2022000062,2022-11-22,CABA_Norte,CABA,Supermercados Changomás,BEBIDAS,Fernet Branca 750ml,34,2269.86,1800,61200,0.0,77175.24,15975.240000000005,20.7,2022-11,T4-2022,Media
VTA2022000063,2022-05-26,GBA_Sur,GBA,Almacén San José,ALMACEN,Aceite Girasol Natura 1.5L,28,1020.36,750,21000,0.0,28570.08,7570.080000000002,26.5,2022-05,T2-2022,Alta
VTA2022000064,2022-07-07,GBA_Sur,GBA,Supermercados DIA % S.A.,BEBIDAS,Coca-Cola 2.25L,8,483.7,400,3200,0.0,3869.6,669.5999999999999,17.3,2022-07,T3-2022,Media
VTA2022000065,2022-07-04,CABA_Centro,CABA,Almacén Don Pedro,LIMPIEZA,Detergente Magistral 750ml,19,300.8,250,4750,0.0,5715.2,965.1999999999998,16.89,2022-07,T3-2022,Media
VTA2022000066,2022-11-14,La_Plata,Interior,Mayorista Precio Bajo,ALMACEN,Dulce Leche San Ignacio 400g,50,463.97,400,20000,2654.55,20543.95,543.9500000000007,2.65,2022-11,T4-2022,Baja
VTA2022000067,2022-11-23,La_Plata,Interior,Mayorista El Economico,BEBIDAS,Agua Villa del Sur 2L,11,161.12,140,1540,0.0,1772.32,232.31999999999994,13.11,2022-11,T4-2022,Baja
VTA2022000068,2022-11-14,CABA_Norte,CABA,Mayorista El Economico,LACTEOS,Queso Cremón La Paulina 400g,15,744.21,520,7800,0.0,11163.15,3363.1499999999996,30.13,2022-11,T4-2022,Alta
VTA2022000069,2022-03-09,Córdoba,Interior,Supermercado Coto S.A.,LACTEOS,Yogur Firme La Serenísima 190g,4,113.92,95,380,0.0,455.68,75.68,16.61,2022-03,T1-2022,Media
VTA2022000070,2022-08-02,GBA_Sur,GBA,Supermercados Jumbo S.A.,BEBIDAS,Vino Tinto Toro 1L,28,654.7,520,14560,0.0,18331.6,3771.5999999999985,20.57,2022-08,T3-2022,Media
VTA2022000071,2022-06-06,CABA_Norte,CABA,Supermercado Coto S.A.,ALMACEN,Mermelada La Campagnola 454g,80,374.98,300,24000,2592.68,27405.72,3405.720000000001,12.43,2022-06,T2-2022,Baja
VTA2022000072,2022-12-12,GBA_Oeste,GBA,Almacén El Progreso,LIMPIEZA,Limpiador Cif Crema 500g,51,429.21,330,16830,4359.73,17529.98,699.9799999999996,3.99,2022-12,T4-2022,Baja
VTA2022000073,2022-12-07,GBA_Sur,GBA,Almacén El Progreso,LIMPIEZA,Detergente Magistral 750ml,71,315.23,250,17750,1911.28,20470.05,2720.0499999999993,13.29,2022-12,T4-2022,Baja
VTA2022000074,2022-02-03,GBA_Sur,GBA,Supermercados Vea S.A.,ALMACEN,Dulce Leche San Ignacio 400g,16,477.35,400,6400,0.0,7637.6,1237.6000000000004,16.2,2022-02,T1-2022,Media
VTA2022000075,2022-08-18,GBA_Oeste,GBA,Almacén San José,LACTEOS,Dulce Leche Verónica 400g,8,543.34,380,3040,0.0,4346.72,1306.7200000000003,30.06,2022-08,T3-2022,Alta
VTA2022000076,2022-04-21,CABA_Norte,CABA,Mayorista El Economico,ALMACEN,Dulce Leche San Ignacio 400g,11,570.21,400,4400,0.0,6272.31,1872.3100000000004,29.85,2022-04,T2-2022,Alta
VTA2022000077,2022-12-12,CABA_Centro,CABA,Supermercados Walmart Argentina,ALMACEN,Harina 0000 Favorita 1kg,68,349.09,250,17000,3651.68,20086.44,3086.4399999999987,15.37,2022-12,T4-2022,Media
VTA2022000078,2022-06-20,GBA_Sur,GBA,Supermercado Disco S.A.,LACTEOS,Manteca San Ignacio 200g,10,334.29,250,2500,0.0,3342.9,842.9000000000001,25.21,2022-06,T2-2022,Alta
VTA2022000079,2022-02-14,CABA_Centro,CABA,Supermercados Changomás,BEBIDAS,Pepsi 2L,23,440.99,320,7360,0.0,10142.77,2782.7700000000004,27.44,2022-02,T1-2022,Alta
VTA2022000080,2022-07-06,Córdoba,Interior,Almacén Don Pedro,LIMPIEZA,Suavizante Vivere 1L,76,419.61,300,22800,4576.16,27314.2,4514.200000000001,16.53,2022-07,T3-2022,Media
VTA2022000081,2022-12-05,CABA_Norte,CABA,Supermercado Coto S.A.,BEBIDAS,Coca-Cola 2.25L,19,507.93,400,7600,0.0,9650.67,2050.67,21.25,2022-12,T4-2022,Media
VTA2022000082,2022-11-17,Mendoza,Interior,Supermercado Coto S.A.,LIMPIEZA,Jabón Polvo Ala 800g,67,485.32,350,23450,4058.6,28457.84,5007.84,17.6,2022-11,T4-2022,Media
VTA2022000083,2022-05-26,Rosario,Interior,Supermercados Changomás,BEBIDAS,Agua Villa del Sur 2L,10,174.12,140,1400,0.0,1741.2,341.20000000000005,19.6,2022-05,T2-2022,Media
VTA2022000084,2022-09-09,Rosario,Interior,Distribuidora El Norte,BEBIDAS,Coca-Cola 2.25L,8,576.95,400,3200,0.0,4615.6,1415.6000000000004,30.67,2022-09,T3-2022,Alta
VTA2022000085,2022-04-29,Córdoba,Interior,Supermercados Walmart Argentina,ALMACEN,Galletitas Oreo 117g,37,199.91,140,5180,0.0,7396.67,2216.67,29.97,2022-04,T2-2022,Alta
VTA2022000086,2022-11-18,Mendoza,Interior,Kiosco 24 Horas,LIMPIEZA,Limpiador Cif Crema 500g,61,438.38,330,20130,4659.67,22081.51,1951.5099999999984,8.84,2022-11,T4-2022,Baja
VTA2022000087,2022-11-29,La_Plata,Interior,Kiosco 24 Horas,LACTEOS,Yogur Firme La Serenísima 190g,7,113.78,95,665,0.0,796.46,131.46000000000004,16.51,2022-11,T4-2022,Media
VTA2022000088,2022-12-20,GBA_Sur,GBA,Maxikiosco Luz,ALMACEN,Arroz Largo Fino Gallo 1kg,29,409.0,350,10150,0.0,11861.0,1711.0,14.43,2022-12,T4-2022,Baja
VTA2022000089,2022-10-13,GBA_Oeste,GBA,Mayorista Precio Bajo,BEBIDAS,Agua Saborizada Villavicencio 500ml,4,154.21,120,480,0.0,616.84,136.84000000000003,22.18,2022-10,T4-2022,Media
VTA2022000090,2022-08-29,GBA_Sur,GBA,Almacén Don Pedro,LIMPIEZA,Desengrasante Grasa Relief 500ml,64,360.26,280,17920,2466.52,20590.12,2670.119999999999,12.97,2022-08,T3-2022,Baja
VTA2022000091,2022-08-30,Córdoba,Interior,Kiosco 24 Horas,ALMACEN,Yerba Mate Playadito 500g,19,702.69,500,9500,0.0,13351.11,3851.1100000000006,28.84,2022-08,T3-2022,Alta
VTA2022000092,2022-06-17,Mendoza,Interior,Mayorista El Economico,ALMACEN,Azúcar Ledesma 1kg,53,249.16,220,11660,1635.06,11570.42,-89.57999999999993,-0.77,2022-06,T2-2022,Baja
VTA2022000093,2022-05-03,Mendoza,Interior,Kiosco Central,LIMPIEZA,Desengrasante Grasa Relief 500ml,31,335.18,280,8680,0.0,10390.58,1710.58,16.46,2022-05,T2-2022,Media
VTA2022000094,2022-12-01,Mendoza,Interior,Supermercados Changomás,LACTEOS,Manteca San Ignacio 200g,4,332.75,250,1000,0.0,1331.0,331.0,24.87,2022-12,T4-2022,Media
VTA2022000095,2022-06-28,GBA_Sur,GBA,Almacén Don Pedro,LIMPIEZA,Limpiador Cif Crema 500g,17,403.44,330,5610,0.0,6858.48,1248.4799999999996,18.2,2022-06,T2-2022,Media
VTA2022000096,2022-06-27,GBA_Oeste,GBA,Carrefour Argentina S.A.,ALMACEN,Dulce Leche San Ignacio 400g,74,464.97,400,29600,2794.13,31613.65,2013.6500000000015,6.37,2022-06,T2-2022,Baja
VTA2022000097,2022-09-06,Córdoba,Interior,Almacén San José,LACTEOS,Leche Entera La Serenísima 1L,15,249.04,180,2700,0.0,3735.6,1035.6,27.72,2022-09,T3-2022,Alta
VTA2022000098,2022-06-28,GBA_Oeste,GBA,Kiosco 24 Horas,LACTEOS,Manteca San Ignacio 200g,8,289.65,250,2000,0.0,2317.2,317.1999999999998,13.69,2022-06,T2-2022,Baja
VTA2022000099,2022-07-12,CABA_Norte,CABA,Supermercados Changomás,LIMPIEZA,Lavandina Ayudín 1L,55,296.67,220,12100,1647.83,14669.02,2569.0200000000004,17.51,2022-07,T3-2022,Media
VTA2022000100,2022-02-03,Córdoba,Interior,Supermercado Disco S.A.,LACTEOS,Manteca San Ignacio 200g,6,358.34,250,1500,0.0,2150.04,650.04,30.23,2022-02,T1-2022,Alta
VTA2022000101,2022-08-01,CABA_Centro,CABA,Supermercados DIA % S.A.,LIMPIEZA,Limpiador Cif Crema 500g,50,412.35,330,16500,2559.33,18058.17,1558.1699999999983,8.63,2022-08,T3-2022,Baja
VTA2022000102,2022-02-02,Rosario,Interior,Distribuidora Rápida,BEBIDAS,Coca-Cola 2.25L,29,451.56,400,11600,0.0,13095.24,1495.2399999999998,11.42,2022-02,T1-2022,Baja
VTA2022000103,2022-09-14,Rosario,Interior,Carrefour Argentina S.A.,BEBIDAS,Vino Tinto Toro 1L,22,636.64,520,11440,0.0,14006.08,2566.08,18.32,2022-09,T3-2022,Media
VTA2022000104,2022-06-13,Mendoza,Interior,Maxikiosco Luz,BEBIDAS,Agua Villa del Sur 2L,13,185.24,140,1820,0.0,2408.12,588.1199999999999,24.42,2022-06,T2-2022,Media
VTA2022000105,2022-05-04,Mendoza,Interior,Almacén El Cruce,BEBIDAS,Vino Tinto Toro 1L,14,738.66,520,7280,0.0,10341.24,3061.24,29.6,2022-05,T2-2022,Alta
VTA2022000106,2022-04-11,Mendoza,Interior,Distribuidora Quick S.A.,LIMPIEZA,Suavizante Vivere 1L,67,398.02,300,20100,4717.43,21949.91,1849.9099999999999,8.43,2022-04,T2-2022,Baja
VTA2022000107,2022-05-19,Córdoba,Interior,Almacén El Progreso,ALMACEN,Yerba Mate Playadito 500g,20,702.95,500,10000,0.0,14059.0,4059.0,28.87,2022-05,T2-2022,Alta
VTA2022000108,2022-11-09,Rosario,Interior,Almacén San José,BEBIDAS,Cerveza Quilmes 1L,14,302.61,220,3080,0.0,4236.54,1156.54,27.3,2022-11,T4-2022,Alta
VTA2022000109,2022-12-23,Córdoba,Interior,Mayorista Precio Bajo,LACTEOS,Dulce Leche Verónica 400g,19,459.8,380,7220,0.0,8736.2,1516.2000000000007,17.36,2022-12,T4-2022,Media
VTA2022000110,2022-03-31,GBA_Oeste,GBA,Distribuidora El Norte,ALMACEN,Mermelada La Campagnola 454g,16,374.17,300,4800,0.0,5986.72,1186.7200000000003,19.82,2022-03,T1-2022,Media
VTA2022000111,2022-07-08,Mendoza,Interior,Supermercado Disco S.A.,BEBIDAS,Pepsi 2L,12,394.76,320,3840,0.0,4737.12,897.1199999999999,18.94,2022-07,T3-2022,Media
VTA2022000112,2022-08-01,GBA_Sur,GBA,Supermercados Vea S.A.,LACTEOS,Queso Cremón La Paulina 400g,16,688.25,520,8320,0.0,11012.0,2692.0,24.45,2022-08,T3-2022,Media
VTA2022000113,2022-06-01,GBA_Oeste,GBA,Kiosco Central,ALMACEN,Aceite Girasol Natura 1.5L,32,1070.04,750,24000,0.0,34241.28,10241.279999999999,29.91,2022-06,T2-2022,Alta
VTA2022000114,2022-11-09,Mendoza,Interior,Supermercado Coto S.A.,BEBIDAS,Pepsi 2L,14,439.89,320,4480,0.0,6158.46,1678.46,27.25,2022-11,T4-2022,Alta
VTA2022000115,2022-06-16,CABA_Centro,CABA,Supermercados DIA % S.A.,BEBIDAS,Agua Villa del Sur 2L,9,172.85,140,1260,0.0,1555.65,295.6500000000001,19.0,2022-06,T2-2022,Media
VTA2022000116,2022-03-31,Mendoza,Interior,Distribuidora El Norte,BEBIDAS,Coca-Cola 2.25L,37,577.5,400,14800,0.0,21367.5,6567.5,30.74,2022-03,T1-2022,Alta
VTA2022000117,2022-01-26,GBA_Oeste,GBA,Supermercado Disco S.A.,ALMACEN,Yerba Mate Playadito 500g,38,707.0,500,19000,0.0,26866.0,7866.0,29.28,2022-01,T1-2022,Alta
VTA2022000118,2022-06-07,GBA_Sur,GBA,Mayorista El Economico,BEBIDAS,Fernet Branca 750ml,5,2454.31,1800,9000,0.0,12271.55,3271.5499999999993,26.66,2022-06,T2-2022,Alta
VTA2022000119,2022-09-07,La_Plata,Interior,Distribuidora El Norte,LACTEOS,Dulce Leche Verónica 400g,40,445.63,380,15200,0.0,17825.2,2625.2000000000007,14.73,2022-09,T3-2022,Baja
VTA2022000120,2022-03-15,GBA_Oeste,GBA,Supermercados La Anónima,LIMPIEZA,Desengrasante Grasa Relief 500ml,64,375.7,280,17920,3382.92,20661.88,2741.880000000001,13.27,2022-03,T1-2022,Baja
VTA2022000121,2022-12-14,GBA_Oeste,GBA,Supermercados Vea S.A.,BEBIDAS,Cerveza Quilmes 1L,11,282.6,220,2420,0.0,3108.6,688.5999999999999,22.15,2022-12,T4-2022,Media
VTA2022000122,2022-02-18,La_Plata,Interior,Supermercado Disco S.A.,BEBIDAS,Agua Villa del Sur 2L,29,179.85,140,4060,0.0,5215.65,1155.6499999999996,22.16,2022-02,T1-2022,Media
VTA2022000123,2022-04-29,GBA_Oeste,GBA,Distribuidora Rápida,LACTEOS,Leche Entera La Serenísima 1L,20,248.56,180,3600,0.0,4971.2,1371.1999999999998,27.58,2022-04,T2-2022,Alta
VTA2022000124,2022-06-02,La_Plata,Interior,Supermercados La Anónima,BEBIDAS,Cerveza Quilmes 1L,4,317.68,220,880,0.0,1270.72,390.72,30.75,2022-06,T2-2022,Alta
VTA2022000125,2022-12-05,CABA_Norte,CABA,Distribuidora El Norte,LIMPIEZA,Suavizante Vivere 1L,67,343.03,300,20100,2730.01,20253.0,153.0,0.76,2022-12,T4-2022,Baja
VTA2022000126,2022-08-12,La_Plata,Interior,Supermercados DIA % S.A.,LACTEOS,Leche Entera La Serenísima 1L,25,210.0,180,4500,0.0,5250.0,750.0,14.29,2022-08,T3-2022,Baja
VTA2022000127,2022-03-07,Mendoza,Interior,Mayorista El Economico,LIMPIEZA,Lavandina Ayudín 1L,69,296.97,220,15180,4075.77,16415.16,1235.1599999999999,7.52,2022-03,T1-2022,Baja
VTA2022000128,2022-04-29,Rosario,Interior,Almacén Don Pedro,LIMPIEZA,Limpiador Cif Crema 500g,21,427.0,330,6930,0.0,8967.0,2037.0,22.72,2022-04,T2-2022,Media
VTA2022000129,2022-01-05,Rosario,Interior,Maxikiosco Luz,LACTEOS,Manteca San Ignacio 200g,15,311.96,250,3750,0.0,4679.4,929.3999999999996,19.86,2022-01,T1-2022,Media
