VentaID,Fecha,Sucursal,Zona,Cliente,Categoria,Producto,Cantidad,PrecioUnitario,CostoUnitario,Descuento,TotalVenta,Margen,Mes,Trimestre
VTA2023000038,2023-10-26,Rosario,Interior,Almacén Don Pedro,BEBIDAS,Fernet Branca 750ml,30,2963.7,2450,0.0,88911.0,17.33,2023-10,T4-2023
VTA2023000039,2023-03-09,La_Plata,Interior,Mayorista El Economico,LIMPIEZA,Lavandina Ayudín 1L,89,322.65,280,4302.94,24412.91,13.22,2023-03,T1-2023
VTA2023000040,2023-02-21,CABA_Norte,CABA,Almacén El Cruce,BEBIDAS,Vino Tinto Toro 1L,27,804.52,680,0.0,21722.04,15.48,2023-02,T1-2023
VTA2023000041,2023-05-26,GBA_Sur,GBA,Mayorista El Economico,LIMPIEZA,Limpiador Cif Crema 500g,93,586.3,420,5610.39,48915.51,28.36,2023-05,T2-2023
VTA2023000042,2023-12-08,La_Plata,Interior,Supermercados DIA % S.A.,BEBIDAS,Vino Tinto Toro 1L,11,801.62,680,0.0,8817.82,15.17,2023-12,T4-2023
VTA2023000043,2023-10-11,GBA_Sur,GBA,Almacén Don Pedro,LIMPIEZA,Limpiador Cif Crema 500g,53,505.12,420,1883.63,24887.73,16.85,2023-10,T4-2023
VTA2023000044,2023-11-21,La_Plata,Interior,Mayorista Precio Bajo,LACTEOS,Queso Cremón La Paulina 400g,8,935.91,680,0.0,7487.28,27.34,2023-11,T4-2023
VTA2023000045,2023-02-17,Córdoba,Interior,Almacén Don Pedro,ALMACEN,Harina 0000 Favorita 1kg,26,394.68,320,0.0,10261.68,18.92,2023-02,T1-2023
VTA2023000046,2023-11-23,La_Plata,Interior,Supermercados Vea S.A.,LACTEOS,Dulce Leche Verónica 400g,40,636.68,480,0.0,25467.2,24.61,2023-11,T4-2023
VTA2023000047,2023-01-05,CABA_Norte,CABA,Supermercados Jumbo S.A.,BEBIDAS,Agua Villa del Sur 2L,42,244.56,180,0.0,10271.52,26.4,2023-01,T1-2023
VTA2023000048,2023-10-10,GBA_Sur,GBA,Distribuidora El Norte,BEBIDAS,Agua Villa del Sur 2L,7,220.87,180,0.0,1546.09,18.5,2023-10,T4-2023
VTA2023000049,2023-07-03,GBA_Oeste,GBA,Supermercados La Anónima,ALMACEN,Sal Fina Celusal 500g,62,114.33,85,1044.72,6043.74,25.65,2023-07,T3-2023
VTA2023000050,2023-03-21,GBA_Oeste,GBA,Supermercados Vea S.A.,BEBIDAS,Jugo Baggio 1L,26,369.98,320,0.0,9619.48,13.51,2023-03,T1-2023
VTA2023000051,2023-05-08,La_Plata,Interior,Supermercados Vea S.A.,ALMACEN,Yerba Mate Playadito 500g,70,889.23,650,4496.87,57749.23,26.9,2023-05,T2-2023
VTA2023000052,2023-08-24,Rosario,Interior,Almacén El Progreso,BEBIDAS,Cerveza Quilmes 1L,17,323.66,280,0.0,5502.22,13.49,2023-08,T3-2023
VTA2023000053,2023-07-24,Rosario,Interior,Almacén Don Pedro,ALMACEN,Aceite Girasol Natura 1.5L,75,1213.03,980,8185.03,82792.22,19.21,2023-07,T3-2023
VTA2023000054,2023-10-02,Rosario,Interior,Supermercado Coto S.A.,ALMACEN,Aceite Girasol Natura 1.5L,43,1170.75,980,0.0,50342.25,16.29,2023-10,T4-2023
VTA2023000055,2023-01-20,CABA_Norte,CABA,Distribuidora Rápida,LACTEOS,Queso Cremón La Paulina 400g,25,905.85,680,0.0,22646.25,24.93,2023-01,T1-2023
VTA2023000056,2023-11-07,CABA_Norte,CABA,Almacén San José,BEBIDAS,Vino Tinto Toro 1L,32,789.55,680,0.0,25265.6,13.87,2023-11,T4-2023
VTA2023000057,2023-10-03,GBA_Oeste,GBA,Maxikiosco Luz,LACTEOS,Leche Entera La Serenísima 1L,26,305.19,220,0.0,7934.94,27.91,2023-10,T4-2023
VTA2023000058,2023-11-16,Rosario,Interior,Supermercados DIA % S.A.,LIMPIEZA,Limpiador Cif Crema 500g,62,515.47,420,2640.41,29318.73,18.52,2023-11,T4-2023
VTA2023000059,2023-06-01,GBA_Sur,GBA,Supermercados Changomás,LACTEOS,Manteca San Ignacio 200g,16,422.19,320,0.0,6755.04,24.2,2023-06,T2-2023
VTA2023000060,2023-10-19,La_Plata,Interior,Almacén San José,ALMACEN,Aceite Girasol Natura 1.5L,65,1197.29,980,10006.27,67817.58,18.15,2023-10,T4-2023
VTA2023000061,2023-11-07,Rosario,Interior,Mayorista El Economico,LACTEOS,Manteca San Ignacio 200g,37,422.05,320,0.0,15615.85,24.18,2023-11,T4-2023
VTA2023000062,2023-08-31,GBA_Sur,GBA,Supermercados Jumbo S.A.,LIMPIEZA,Limpiador Cif Crema 500g,89,552.7,420,4108.32,45081.98,24.01,2023-08,T3-2023
VTA2023000063,2023-05-01,La_Plata,Interior,Supermercados La Anónima,BEBIDAS,Pepsi 2L,20,485.56,420,0.0,9711.2,13.5,2023-05,T2-2023
VTA2023000064,2023-09-01,CABA_Norte,CABA,Mayorista El Economico,LACTEOS,Dulce Leche Verónica 400g,49,575.33,480,0.0,28191.17,16.57,2023-09,T3-2023
VTA2023000065,2023-09-11,Córdoba,Interior,Supermercados La Anónima,BEBIDAS,Agua Villa del Sur 2L,11,247.17,180,0.0,2718.87,27.18,2023-09,T3-2023
VTA2023000066,2023-01-26,GBA_Oeste,GBA,Supermercados DIA % S.A.,LACTEOS,Yogur Firme La Serenísima 190g,47,162.04,120,0.0,7615.88,25.94,2023-01,T1-2023
VTA2023000067,2023-09-29,Rosario,Interior,Mayorista El Economico,LACTEOS,Dulce Leche Verónica 400g,15,605.51,480,0.0,9082.65,20.73,2023-09,T3-2023
VTA2023000068,2023-09-01,Mendoza,Interior,Almacén Don Pedro,BEBIDAS,Vino Tinto Toro 1L,38,912.19,680,0.0,34663.22,25.45,2023-09,T3-2023
VTA2023000069,2023-09-06,GBA_Oeste,GBA,Almacén Don Pedro,LACTEOS,Leche Entera La Serenísima 1L,20,292.24,220,0.0,5844.8,24.72,2023-09,T3-2023
VTA2023000070,2023-06-21,Rosario,Interior,Almacén El Cruce,ALMACEN,Arroz Largo Fino Gallo 1kg,59,534.47,450,3764.97,27768.76,15.8,2023-06,T2-2023
VTA2023000071,2023-12-28,GBA_Oeste,GBA,Supermercados Jumbo S.A.,LACTEOS,Manteca San Ignacio 200g,34,394.47,320,0.0,13411.98,18.88,2023-12,T4-2023
VTA2023000072,2023-08-01,CABA_Centro,CABA,Supermercados Changomás,LACTEOS,Manteca San Ignacio 200g,42,440.39,320,0.0,18496.38,27.34,2023-08,T3-2023
VTA2023000073,2023-01-11,Córdoba,Interior,Distribuidora Quick S.A.,ALMACEN,Sal Fina Celusal 500g,59,104.1,85,831.27,5310.63,18.35,2023-01,T1-2023
VTA2023000074,2023-08-03,GBA_Oeste,GBA,Distribuidora Quick S.A.,BEBIDAS,Vino Tinto Toro 1L,6,856.09,680,0.0,5136.54,20.57,2023-08,T3-2023
VTA2023000075,2023-07-19,Rosario,Interior,Almacén San José,BEBIDAS,Agua Saborizada Villavicencio 500ml,44,206.98,150,0.0,9107.12,27.53,2023-07,T3-2023
VTA2023000076,2023-07-21,CABA_Centro,CABA,Supermercados Jumbo S.A.,LACTEOS,Yogur Firme La Serenísima 190g,16,164.01,120,0.0,2624.16,26.83,2023-07,T3-2023
VTA2023000077,2023-01-26,La_Plata,Interior,Almacén San José,LIMPIEZA,Detergente Magistral 750ml,53,404.38,320,2703.09,18729.05,20.87,2023-01,T1-2023
VTA2023000078,2023-07-14,La_Plata,Interior,Distribuidora El Norte,LIMPIEZA,Lavandina Ayudín 1L,79,354.92,280,1547.98,26490.7,21.11,2023-07,T3-2023
VTA2023000079,2023-06-29,GBA_Oeste,GBA,Supermercados Jumbo S.A.,ALMACEN,Harina 0000 Favorita 1kg,35,443.97,320,0.0,15538.95,27.92,2023-06,T2-2023
VTA2023000080,2023-01-11,GBA_Sur,GBA,Supermercados La Anónima,BEBIDAS,Agua Saborizada Villavicencio 500ml,41,197.6,150,0.0,8101.6,24.09,2023-01,T1-2023
VTA2023000081,2023-12-25,La_Plata,Interior,Maxikiosco Luz,BEBIDAS,Coca-Cola 2.25L,15,699.11,520,0.0,10486.65,25.62,2023-12,T4-2023
VTA2023000082,2023-06-09,CABA_Norte,CABA,Kiosco Central,ALMACEN,Aceite Girasol Natura 1.5L,58,1268.07,980,6594.72,66953.34,22.72,2023-06,T2-2023
VTA2023000083,2023-04-12,CABA_Norte,CABA,Kiosco Central,BEBIDAS,Coca-Cola 2.25L,24,688.64,520,0.0,16527.36,24.49,2023-04,T2-2023
VTA2023000084,2023-03-03,CABA_Centro,CABA,Maxikiosco Luz,LACTEOS,Queso Cremón La Paulina 400g,46,793.72,680,0.0,36511.12,14.33,2023-03,T1-2023
VTA2023000085,2023-08-04,Mendoza,Interior,Supermercados DIA % S.A.,LACTEOS,Queso Cremón La Paulina 400g,34,890.05,680,0.0,30261.7,23.6,2023-08,T3-2023
VTA2023000086,2023-12-29,GBA_Sur,GBA,Distribuidora El Norte,BEBIDAS,Vino Tinto Toro 1L,39,886.71,680,0.0,34581.69,23.31,2023-12,T4-2023
VTA2023000087,2023-09-05,Mendoza,Interior,Distribuidora El Norte,LIMPIEZA,Jabón Polvo Ala 800g,21,613.32,450,0.0,12879.72,26.63,2023-09,T3-2023
VTA2023000088,2023-05-23,Mendoza,Interior,Supermercados La Anónima,LACTEOS,Dulce Leche Verónica 400g,29,625.24,480,0.0,18131.96,23.23,2023-05,T2-2023
VTA2023000089,2023-06-22,CABA_Centro,CABA,Distribuidora Quick S.A.,LIMPIEZA,Detergente Magistral 750ml,55,407.0,320,2905.2,19479.8,21.38,2023-06,T2-2023
VTA2023000090,2023-05-24,La_Plata,Interior,Almacén El Cruce,ALMACEN,Dulce Leche San Ignacio 400g,20,721.25,520,0.0,14425.0,27.9,2023-05,T2-2023
VTA2023000091,2023-05-04,Córdoba,Interior,Distribuidora Quick S.A.,BEBIDAS,Agua Saborizada Villavicencio 500ml,36,196.72,150,0.0,7081.92,23.75,2023-05,T2-2023
VTA2023000092,2023-08-18,CABA_Centro,CABA,Supermercados Jumbo S.A.,LIMPIEZA,Detergente Magistral 750ml,41,400.35,320,0.0,16414.35,20.07,2023-08,T3-2023
VTA2023000093,2023-06-06,Rosario,Interior,Distribuidora Quick S.A.,LIMPIEZA,Suavizante Vivere 1L,80,531.68,380,3533.72,39000.68,28.53,2023-06,T2-2023
VTA2023000094,2023-12-26,Mendoza,Interior,Almacén Don Pedro,LIMPIEZA,Jabón Polvo Ala 800g,34,543.44,450,0.0,18476.96,17.19,2023-12,T4-2023
VTA2023000095,2023-03-03,GBA_Sur,GBA,Supermercados Changomás,BEBIDAS,Agua Saborizada Villavicencio 500ml,42,182.87,150,0.0,7680.54,17.97,2023-03,T1-2023
VTA2023000096,2023-09-26,La_Plata,Interior,Supermercados DIA % S.A.,BEBIDAS,Vino Tinto Toro 1L,16,820.67,680,0.0,13130.72,17.14,2023-09,T3-2023
VTA2023000097,2023-12-29,GBA_Sur,GBA,Almacén Don Pedro,ALMACEN,Harina 0000 Favorita 1kg,99,412.27,320,5894.01,34920.72,22.38,2023-12,T4-2023
VTA2023000098,2023-11-23,Mendoza,Interior,Supermercados DIA % S.A.,ALMACEN,Mermelada La Campagnola 454g,71,464.01,380,3098.35,29846.36,18.11,2023-11,T4-2023
VTA2023000099,2023-04-05,CABA_Centro,CABA,Almacén Don Pedro,LACTEOS,Leche Entera La Serenísima 1L,30,298.22,220,0.0,8946.6,26.23,2023-04,T2-2023
VTA2023000100,2023-02-07,CABA_Centro,CABA,Supermercados Walmart Argentina,BEBIDAS,Vino Tinto Toro 1L,20,796.48,680,0.0,15929.6,14.62,2023-02,T1-2023
VTA2023000101,2023-03-02,Córdoba,Interior,Distribuidora Rápida,BEBIDAS,Jugo Baggio 1L,33,404.04,320,0.0,13333.32,20.8,2023-03,T1-2023
VTA2023000102,2023-06-02,Córdoba,Interior,Almacén El Progreso,ALMACEN,Mermelada La Campagnola 454g,22,528.21,380,0.0,11620.62,28.06,2023-06,T2-2023
VTA2023000103,2023-04-17,GBA_Oeste,GBA,Almacén Don Pedro,ALMACEN,Arroz Largo Fino Gallo 1kg,80,544.48,450,2504.89,41053.51,17.35,2023-04,T2-2023
VTA2023000104,2023-01-02,Córdoba,Interior,Mayorista El Economico,LACTEOS,Queso Cremón La Paulina 400g,23,787.55,680,0.0,18113.65,13.66,2023-01,T1-2023
VTA2023000105,2023-12-28,La_Plata,Interior,Mayorista El Economico,ALMACEN,Fideos Moñito Matarazzo 500g,90,303.82,220,2979.9,24363.9,27.59,2023-12,T4-2023
VTA2023000106,2023-04-12,Córdoba,Interior,Supermercados DIA % S.A.,BEBIDAS,Pepsi 2L,14,578.38,420,0.0,8097.32,27.38,2023-04,T2-2023
VTA2023000107,2023-02-06,CABA_Centro,CABA,Supermercados Vea S.A.,LIMPIEZA,Limpiador Cif Crema 500g,82,561.64,420,6545.23,39509.25,25.22,2023-02,T1-2023
VTA2023000108,2023-08-28,La_Plata,Interior,Almacén San José,LIMPIEZA,Limpiador Cif Crema 500g,66,539.7,420,2067.55,33552.65,22.18,2023-08,T3-2023
VTA2023000109,2023-08-10,Rosario,Interior,Distribuidora Rápida,LIMPIEZA,Lavandina Ayudín 1L,96,328.39,280,4211.67,27313.77,14.74,2023-08,T3-2023
VTA2023000110,2023-01-11,La_Plata,Interior,Kiosco Central,ALMACEN,Arroz Largo Fino Gallo 1kg,93,570.43,450,4998.53,48051.46,21.11,2023-01,T1-2023
VTA2023000111,2023-05-23,GBA_Sur,GBA,Kiosco Central,LACTEOS,Manteca San Ignacio 200g,35,445.52,320,0.0,15593.2,28.17,2023-05,T2-2023
VTA2023000112,2023-06-28,Córdoba,Interior,Kiosco 24 Horas,LIMPIEZA,Desengrasante Grasa Relief 500ml,30,411.65,350,0.0,12349.5,14.98,2023-06,T2-2023
VTA2023000113,2023-12-22,Mendoza,Interior,Almacén El Progreso,LACTEOS,Dulce Leche Verónica 400g,10,556.4,480,0.0,5564.0,13.73,2023-12,T4-2023
VTA2023000114,2023-05-10,Rosario,Interior,Supermercados DIA % S.A.,LACTEOS,Dulce Leche Verónica 400g,5,650.99,480,0.0,3254.95,26.27,2023-05,T2-2023
VTA2023000115,2023-10-05,Mendoza,Interior,Distribuidora El Norte,ALMACEN,Fideos Moñito Matarazzo 500g,89,281.51,220,3147.94,21906.45,21.85,2023-10,T4-2023
VTA2023000116,2023-11-17,Mendoza,Interior,Carrefour Argentina S.A.,BEBIDAS,Vino Tinto Toro 1L,23,875.37,680,0.0,20133.51,22.32,2023-11,T4-2023
VTA2023000117,2023-09-06,CABA_Norte,CABA,Supermercado Coto S.A.,BEBIDAS,Pepsi 2L,5,515.63,420,0.0,2578.15,18.55,2023-09,T3-2023
VTA2023000118,2023-10-10,Córdoba,Interior,Supermercados Jumbo S.A.,BEBIDAS,Coca-Cola 2.25L,12,657.99,520,0.0,7895.88,20.97,2023-10,T4-2023
VTA2023000119,2023-11-28,GBA_Sur,GBA,Distribuidora Quick S.A.,LIMPIEZA,Limpiador Cif Crema 500g,63,557.07,420,4684.27,30411.14,24.61,2023-11,T4-2023
VTA2023000120,2023-08-30,GBA_Oeste,GBA,Mayorista El Economico,BEBIDAS,Jugo Baggio 1L,43,383.25,320,0.0,16479.75,16.5,2023-08,T3-2023
VTA2023000121,2023-09-18,GBA_Sur,GBA,Supermercados Jumbo S.A.,LIMPIEZA,Suavizante Vivere 1L,74,469.29,380,2664.2,32063.26,19.03,2023-09,T3-2023
VTA2023000122,2023-01-02,La_Plata,Interior,Almacén El Progreso,LACTEOS,Yogur Firme La Serenísima 190g,35,151.4,120,0.0,5299.0,20.74,2023-01,T1-2023
VTA2023000123,2023-06-26,Rosario,Interior,Almacén El Cruce,LACTEOS,Manteca San Ignacio 200g,17,442.63,320,0.0,7524.71,27.7,2023-06,T2-2023
VTA2023000124,2023-05-03,Córdoba,Interior,Supermercados La Anónima,LACTEOS,Leche Entera La Serenísima 1L,35,270.5,220,0.0,9467.5,18.67,2023-05,T2-2023
VTA2023000125,2023-12-28,Córdoba,Interior,Almacén San José,BEBIDAS,Agua Saborizada Villavicencio 500ml,13,208.68,150,0.0,2712.84,28.12,2023-12,T4-2023
VTA2023000126,2023-09-15,Rosario,Interior,Supermercados DIA % S.A.,LACTEOS,Leche Entera La Serenísima 1L,34,281.93,220,0.0,9585.62,21.97,2023-09,T3-2023
VTA2023000127,2023-03-15,Córdoba,Interior,Supermercados Walmart Argentina,ALMACEN,Galletitas Oreo 117g,43,242.17,180,0.0,10413.31,25.67,2023-03,T1-2023
VTA2023000128,2023-06-23,Córdoba,Interior,Supermercados Jumbo S.A.,LIMPIEZA,Desengrasante Grasa Relief 500ml,58,477.69,350,4028.84,23677.18,26.73,2023-06,T2-2023
VTA2023000129,2023-11-17,Mendoza,Interior,Almacén El Cruce,ALMACEN,Mermelada La Campagnola 454g,90,443.5,380,4727.53,35187.47,14.32,2023-11,T4-2023
VTA2023000130,2023-04-27,CABA_Norte,CABA,Distribuidora El Norte,ALMACEN,Azúcar Ledesma 1kg,98,353.06,280,2766.14,31833.74,20.69,2023-04,T2-2023
VTA2023000131,2023-01-24,Rosario,Interior,Carrefour Argentina S.A.,LIMPIEZA,Jabón Polvo Ala 800g,28,559.67,450,0.0,15670.76,19.6,2023-01,T1-2023
VTA2023000132,2023-09-29,Córdoba,Interior,Kiosco Central,BEBIDAS,Pepsi 2L,44,501.38,420,0.0,22060.72,16.23,2023-09,T3-2023
VTA2023000133,2023-11-14,GBA_Oeste,GBA,Distribuidora Quick S.A.,BEBIDAS,Cerveza Quilmes 1L,21,354.28,280,0.0,7439.88,20.97,2023-11,T4-2023
VTA2023000134,2023-08-24,La_Plata,Interior,Supermercado Coto S.A.,LACTEOS,Queso Cremón La Paulina 400g,15,897.19,680,0.0,13457.85,24.21,2023-08,T3-2023
VTA2023000135,2023-02-07,Mendoza,Interior,Maxikiosco Luz,LIMPIEZA,Desengrasante Grasa Relief 500ml,98,486.68,350,3577.57,44117.07,28.08,2023-02,T1-2023
VTA2023000136,2023-04-12,Córdoba,Interior,Distribuidora Quick S.A.,ALMACEN,Fideos Moñito Matarazzo 500g,55,273.98,220,1619.62,13449.28,19.7,2023-04,T2-2023
VTA2023000137,2023-12-25,La_Plata,Interior,Supermercado Coto S.A.,LACTEOS,Queso Cremón La Paulina 400g,48,783.38,680,0.0,37602.24,13.2,2023-12,T4-2023
VTA2023000138,2023-01-26,Mendoza,Interior,Almacén El Progreso,BEBIDAS,Fernet Branca 750ml,17,2951.64,2450,0.0,50177.88,17.0,2023-01,T1-2023
VTA2023000139,2023-11-14,La_Plata,Interior,Supermercados Walmart Argentina,ALMACEN,Harina 0000 Favorita 1kg,66,392.71,320,1382.42,24536.44,18.51,2023-11,T4-2023
VTA2023000140,2023-07-06,GBA_Sur,GBA,Supermercados Jumbo S.A.,LIMPIEZA,Jabón Polvo Ala 800g,32,601.59,450,0.0,19250.88,25.2,2023-07,T3-2023
VTA2023000141,2023-04-13,GBA_Sur,GBA,Almacén El Cruce,LIMPIEZA,Limpiador Cif Crema 500g,44,535.69,420,0.0,23570.36,21.6,2023-04,T2-2023
VTA2023000142,2023-05-12,Mendoza,Interior,Almacén El Progreso,LIMPIEZA,Lavandina Ayudín 1L,19,354.78,280,0.0,6740.82,21.08,2023-05,T2-2023
VTA2023000143,2023-03-14,GBA_Oeste,GBA,Almacén San José,LIMPIEZA,Lavandina Ayudín 1L,11,377.35,280,0.0,4150.85,25.8,2023-03,T1-2023
VTA2023000144,2023-05-16,CABA_Norte,CABA,Mayorista El Economico,LIMPIEZA,Desengrasante Grasa Relief 500ml,43,468.04,350,0.0,20125.72,25.22,2023-05,T2-2023
VTA2023000145,2023-10-27,Córdoba,Interior,Maxikiosco Luz,ALMACEN,Fideos Moñito Matarazzo 500g,89,278.93,220,3436.33,21388.44,21.13,2023-10,T4-2023
VTA2023000146,2023-11-09,GBA_Oeste,GBA,Supermercados Jumbo S.A.,LACTEOS,Queso Cremón La Paulina 400g,12,892.37,680,0.0,10708.44,23.8,2023-11,T4-2023
VTA2023000147,2023-03-13,CABA_Centro,CABA,Carrefour Argentina S.A.,LIMPIEZA,Suavizante Vivere 1L,40,448.03,380,0.0,17921.2,15.18,2023-03,T1-2023
VTA2023000148,2023-10-03,GBA_Sur,GBA,Almacén San José,LACTEOS,Queso Cremón La Paulina 400g,49,895.98,680,0.0,43903.02,24.11,2023-10,T4-2023
VTA2023000149,2023-10-04,Córdoba,Interior,Kiosco Central,BEBIDAS,Jugo Baggio 1L,36,420.39,320,0.0,15134.04,23.88,2023-10,T4-2023
