Sucursal,SKU,Producto,Categoria,VentasAnualizadas,StockPromedio,IndiceRotacion,ClasificacionABC
CABA_Centro,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,23940,231,103.64,A
CABA_Norte,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,36912,223,165.52,A
GBA_Sur,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,25368,297,85.41,A
GBA_Oeste,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,26424,462,57.19,A
La_Plata,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,19092,83,230.02,A
Rosario,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,16164,224,72.16,A
Córdoba,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,27240,240,113.5,A
Mendoza,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,23160,328,70.61,A
CABA_Centro,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,16968,119,142.59,A
CABA_Norte,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,34236,302,113.36,A
GBA_Sur,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,25392,284,89.41,A
GBA_Oeste,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,23112,235,98.35,A
La_Plata,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,20184,332,60.8,A
Rosario,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,24240,253,95.81,A
Córdoba,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,18840,469,40.17,A
Mendoza,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,29148,178,163.75,A
CABA_Centro,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,22524,492,45.78,A
CABA_Norte,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,24840,169,146.98,A
GBA_Sur,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,22596,91,248.31,A
GBA_Oeste,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,24012,426,56.37,A
La_Plata,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,22932,277,82.79,A
Rosario,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,32952,462,71.32,A
Córdoba,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,19260,60,321.0,A
Mendoza,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,22608,404,55.96,A
CABA_Centro,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,19872,469,42.37,A
CABA_Norte,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,26460,425,62.26,A
GBA_Sur,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,20388,109,187.05,A
GBA_Oeste,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,23880,242,98.68,A
La_Plata,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,24300,326,74.54,A
Rosario,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,19080,78,244.62,A
Córdoba,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,36480,347,105.13,A
Mendoza,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,21660,347,62.42,A
