OC_ID,FechaPedido,FechaEsperada,Sucursal,Proveedor,SKU,Producto,CantidadPedida,CantidadRecibida,CostoUnitario,TotalOC,Estado,DiasAtraso
OC202400026,2024-02-21,2024-03-04,GBA_Oeste,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,236,200,580,136880,PARCIAL,0
OC202400027,2024-02-16,2024-02-26,GBA_Sur,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,875,476,580,507500,PARCIAL,0
OC202400028,2024-03-05,2024-03-14,GBA_Sur,Bodega Toro,BEB-004,Vino Tinto Toro 1L,221,93,850,187850,PARCIAL,0
OC202400029,2024-03-06,2024-03-14,Córdoba,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,214,16,580,124120,COMPLETADO,0
OC202400030,2024-02-18,2024-02-24,CABA_Norte,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,104,67,850,88400,PENDIENTE,20
OC202400031,2024-03-14,2024-03-26,Rosario,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,450,11,680,306000,PARCIAL,0
OC202400032,2024-02-21,2024-02-25,La_Plata,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,448,343,350,156800,PARCIAL,0
OC202400033,2024-02-28,2024-03-03,CABA_Norte,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,480,451,220,105600,PARCIAL,0
OC202400034,2024-02-24,2024-03-08,GBA_Oeste,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,987,400,1250,1233750,PARCIAL,0
OC202400035,2024-02-18,2024-03-02,Mendoza,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,171,103,850,145350,PENDIENTE,13
OC202400036,2024-02-24,2024-02-29,Córdoba,Magistral S.A.,LIM-002,Detergente Magistral 750ml,767,137,400,306800,PENDIENTE,15
OC202400037,2024-02-18,2024-02-28,GBA_Sur,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,794,20,580,460520,PENDIENTE,16
OC202400038,2024-03-07,2024-03-10,GBA_Oeste,Magistral S.A.,LIM-002,Detergente Magistral 750ml,720,84,400,288000,PENDIENTE,5
OC202400039,2024-02-19,2024-03-01,La_Plata,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,984,225,580,570720,PENDIENTE,14
OC202400040,2024-03-06,2024-03-21,Mendoza,Mastellone Hnos.,LAC-001,Leche Entera La Serenísima 1L,797,768,280,223160,PENDIENTE,0
OC202400041,2024-02-15,2024-02-25,CABA_Centro,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,384,269,350,134400,PARCIAL,0
OC202400042,2024-02-24,2024-03-10,Rosario,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,341,189,680,231880,PENDIENTE,5
OC202400043,2024-03-01,2024-03-14,Córdoba,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,357,160,1250,446250,PENDIENTE,1
OC202400044,2024-03-06,2024-03-18,CABA_Norte,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,815,762,850,692750,PENDIENTE,0
OC202400045,2024-03-03,2024-03-11,Rosario,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,622,355,350,217700,PENDIENTE,4
OC202400046,2024-03-05,2024-03-17,CABA_Norte,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,509,315,420,213780,PENDIENTE,0
OC202400047,2024-02-23,2024-02-26,CABA_Centro,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,108,8,350,37800,PENDIENTE,18
OC202400048,2024-02-24,2024-03-03,GBA_Sur,Bodega Toro,BEB-004,Vino Tinto Toro 1L,500,239,850,425000,PENDIENTE,12
OC202400049,2024-02-21,2024-03-06,GBA_Sur,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,983,25,350,344050,COMPLETADO,0
OC202400050,2024-03-01,2024-03-16,CABA_Norte,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,329,63,150,49350,PENDIENTE,0
OC202400051,2024-02-25,2024-02-28,GBA_Oeste,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,153,102,350,53550,PENDIENTE,16
OC202400052,2024-03-14,2024-03-25,Córdoba,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,374,280,850,317900,PARCIAL,0
OC202400053,2024-03-01,2024-03-07,Mendoza,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,283,88,420,118860,PARCIAL,0
OC202400054,2024-02-24,2024-02-29,GBA_Sur,Bodega Toro,BEB-004,Vino Tinto Toro 1L,496,422,850,421600,COMPLETADO,0
OC202400055,2024-02-27,2024-03-05,CABA_Centro,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,654,409,850,555900,PARCIAL,0
OC202400056,2024-02-18,2024-02-23,CABA_Centro,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,611,302,420,256620,COMPLETADO,0
OC202400057,2024-03-09,2024-03-24,Mendoza,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,149,105,580,86420,PENDIENTE,0
OC202400058,2024-03-14,2024-03-24,Rosario,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,319,224,350,111650,PENDIENTE,0
OC202400059,2024-03-13,2024-03-27,Mendoza,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,928,632,350,324800,PARCIAL,0
OC202400060,2024-03-05,2024-03-15,GBA_Oeste,Magistral S.A.,LIM-002,Detergente Magistral 750ml,902,896,400,360800,PENDIENTE,0
OC202400061,2024-03-02,2024-03-06,GBA_Oeste,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,426,143,580,247080,PARCIAL,0
OC202400062,2024-03-10,2024-03-15,CABA_Norte,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,664,224,580,385120,PENDIENTE,0
OC202400063,2024-03-14,2024-03-29,GBA_Sur,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,174,35,1250,217500,PENDIENTE,0
OC202400064,2024-02-17,2024-02-25,La_Plata,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,828,420,280,231840,PARCIAL,0
OC202400065,2024-03-14,2024-03-26,CABA_Centro,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,416,38,580,241280,PENDIENTE,0
OC202400066,2024-02-19,2024-02-22,GBA_Oeste,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,119,2,580,69020,PENDIENTE,22
OC202400067,2024-02-23,2024-02-28,Mendoza,Magistral S.A.,LIM-002,Detergente Magistral 750ml,653,144,400,261200,ATRASADO,16
OC202400068,2024-02-20,2024-02-29,Mendoza,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,624,620,350,218400,ATRASADO,15
OC202400069,2024-02-26,2024-03-09,GBA_Oeste,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,359,52,280,100520,PARCIAL,0
OC202400070,2024-02-14,2024-02-17,CABA_Norte,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,971,50,350,339850,PENDIENTE,27
OC202400071,2024-03-07,2024-03-21,Córdoba,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,661,104,220,145420,ATRASADO,0
OC202400072,2024-03-11,2024-03-24,GBA_Oeste,Magistral S.A.,LIM-002,Detergente Magistral 750ml,715,2,400,286000,PARCIAL,0
OC202400073,2024-02-17,2024-02-25,Córdoba,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,930,866,580,539400,PENDIENTE,19
OC202400074,2024-02-23,2024-02-26,CABA_Centro,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,823,6,350,288050,PARCIAL,0
OC202400075,2024-02-20,2024-03-01,CABA_Norte,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,804,177,350,281400,PENDIENTE,14
OC202400076,2024-03-07,2024-03-14,CABA_Norte,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,141,64,850,119850,PENDIENTE,1
OC202400077,2024-03-04,2024-03-07,Córdoba,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,897,267,580,520260,ATRASADO,8
OC202400078,2024-02-14,2024-02-26,Rosario,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,190,103,350,66500,ATRASADO,18
OC202400079,2024-03-14,2024-03-28,Córdoba,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,925,871,350,323750,COMPLETADO,0
OC202400080,2024-02-21,2024-03-03,GBA_Oeste,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,465,149,1250,581250,PARCIAL,0
OC202400081,2024-03-11,2024-03-16,Mendoza,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,263,97,350,92050,PENDIENTE,0
OC202400082,2024-02-24,2024-03-07,La_Plata,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,436,320,680,296480,PENDIENTE,8
OC202400083,2024-03-12,2024-03-19,Mendoza,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,765,163,420,321300,PENDIENTE,0
OC202400084,2024-03-10,2024-03-23,GBA_Sur,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,804,501,280,225120,PENDIENTE,0
OC202400085,2024-03-14,2024-03-25,Córdoba,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,860,723,350,301000,COMPLETADO,0
OC202400086,2024-02-17,2024-02-28,Rosario,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,730,507,580,423400,PARCIAL,0
OC202400087,2024-03-06,2024-03-10,Mendoza,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,922,870,1250,1152500,PENDIENTE,5
OC202400088,2024-02-14,2024-02-25,Rosario,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,751,294,220,165220,PARCIAL,0
OC202400089,2024-02-18,2024-02-24,La_Plata,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,172,81,580,99760,ATRASADO,20
OC202400090,2024-03-05,2024-03-09,GBA_Sur,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,549,174,150,82350,PARCIAL,0
OC202400091,2024-02-25,2024-02-28,CABA_Norte,Mastellone Hnos.,LAC-001,Leche Entera La Serenísima 1L,971,724,280,271880,PENDIENTE,16
OC202400092,2024-02-23,2024-02-29,Córdoba,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,911,760,350,318850,PENDIENTE,15
OC202400093,2024-03-13,2024-03-23,Rosario,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,356,302,350,124600,PENDIENTE,0
OC202400094,2024-02-17,2024-02-29,Rosario,Bodega Toro,BEB-004,Vino Tinto Toro 1L,969,308,850,823650,PARCIAL,0
OC202400095,2024-03-13,2024-03-18,CABA_Norte,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,848,195,220,186560,COMPLETADO,0
OC202400096,2024-02-20,2024-03-03,La_Plata,Magistral S.A.,LIM-002,Detergente Magistral 750ml,484,443,400,193600,PENDIENTE,12
OC202400097,2024-02-15,2024-02-20,CABA_Centro,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,622,210,280,174160,PARCIAL,0
OC202400098,2024-02-18,2024-03-01,CABA_Centro,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,513,32,580,297540,PENDIENTE,14
OC202400099,2024-02-24,2024-03-01,CABA_Norte,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,177,140,350,61950,PARCIAL,0
OC202400100,2024-02-25,2024-03-05,GBA_Sur,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,775,556,220,170500,PARCIAL,0
OC202400101,2024-02-22,2024-02-25,GBA_Sur,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,704,180,350,246400,PENDIENTE,19
OC202400102,2024-02-17,2024-02-25,Córdoba,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,861,713,280,241080,PENDIENTE,19
OC202400103,2024-03-10,2024-03-19,Rosario,Bodega Toro,BEB-004,Vino Tinto Toro 1L,835,52,850,709750,PARCIAL,0
OC202400104,2024-03-01,2024-03-13,CABA_Norte,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,910,511,680,618800,PENDIENTE,2
OC202400105,2024-02-25,2024-02-28,La_Plata,Mastellone Hnos.,LAC-001,Leche Entera La Serenísima 1L,793,425,280,222040,COMPLETADO,0
OC202400106,2024-02-16,2024-02-27,CABA_Centro,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,489,263,850,415650,ATRASADO,17
OC202400107,2024-02-23,2024-03-07,Córdoba,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,925,181,1250,1156250,PARCIAL,0
OC202400108,2024-03-10,2024-03-20,CABA_Norte,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,354,181,680,240720,PENDIENTE,0
OC202400109,2024-02-27,2024-03-13,CABA_Centro,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,982,836,580,569560,PENDIENTE,2
OC202400110,2024-03-03,2024-03-07,GBA_Oeste,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,909,441,850,772650,COMPLETADO,0
OC202400111,2024-03-13,2024-03-16,Córdoba,Magistral S.A.,LIM-002,Detergente Magistral 750ml,969,655,400,387600,ATRASADO,0
OC202400112,2024-02-28,2024-03-02,Rosario,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,193,44,350,67550,PARCIAL,0
OC202400113,2024-03-03,2024-03-06,GBA_Oeste,Magistral S.A.,LIM-002,Detergente Magistral 750ml,666,413,400,266400,PARCIAL,0
OC202400114,2024-03-01,2024-03-09,CABA_Norte,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,467,443,580,270860,PENDIENTE,6
OC202400115,2024-02-20,2024-02-24,La_Plata,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,839,552,150,125850,PENDIENTE,20
OC202400116,2024-03-12,2024-03-18,CABA_Norte,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,371,44,1250,463750,PENDIENTE,0
OC202400117,2024-03-06,2024-03-12,La_Plata,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,144,117,1250,180000,COMPLETADO,0
OC202400118,2024-02-28,2024-03-03,CABA_Norte,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,780,143,420,327600,COMPLETADO,0
OC202400119,2024-02-21,2024-03-01,Rosario,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,667,497,680,453560,PENDIENTE,14
OC202400120,2024-02-22,2024-03-06,La_Plata,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,691,671,680,469880,ATRASADO,9
OC202400121,2024-02-28,2024-03-05,Rosario,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,796,219,580,461680,PARCIAL,0
OC202400122,2024-03-03,2024-03-14,Rosario,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,863,459,350,302050,COMPLETADO,0
OC202400123,2024-02-22,2024-03-06,GBA_Oeste,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,610,495,1250,762500,PARCIAL,0
OC202400124,2024-02-17,2024-03-02,La_Plata,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,255,128,850,216750,PARCIAL,0
OC202400125,2024-02-22,2024-03-06,La_Plata,La Paulina S.A.,LAC-002,Queso Cremón La Paulina 400g,124,73,850,105400,COMPLETADO,0
OC202400126,2024-03-02,2024-03-13,Córdoba,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,941,684,580,545780,PENDIENTE,2
OC202400127,2024-02-20,2024-02-28,Rosario,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,108,43,680,73440,ATRASADO,16
OC202400128,2024-02-25,2024-03-10,Mendoza,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,676,60,580,392080,PARCIAL,0
OC202400129,2024-02-24,2024-02-28,GBA_Sur,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,291,134,580,168780,COMPLETADO,0
OC202400130,2024-03-02,2024-03-17,GBA_Oeste,Molinos Gallo,ALK-003,Arroz Largo Fino Gallo 1kg,167,37,580,96860,COMPLETADO,0
OC202400131,2024-03-12,2024-03-23,Rosario,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,141,115,1250,176250,PENDIENTE,0
OC202400132,2024-03-12,2024-03-27,Rosario,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,484,264,350,169400,COMPLETADO,0
OC202400133,2024-03-02,2024-03-13,Mendoza,Bodega Toro,BEB-004,Vino Tinto Toro 1L,485,259,850,412250,PENDIENTE,2
OC202400134,2024-03-14,2024-03-21,CABA_Centro,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,238,183,350,83300,ATRASADO,0
OC202400135,2024-02-24,2024-03-06,La_Plata,Cervecería Quilmes,BEB-003,Cerveza Quilmes 1L,799,219,350,279650,PENDIENTE,9
OC202400136,2024-03-06,2024-03-20,Rosario,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,779,727,680,529720,PENDIENTE,0
OC202400137,2024-03-12,2024-03-16,La_Plata,Mastellone Hnos.,LAC-003,Yogur Firme La Serenísima 190g,860,181,150,129000,PENDIENTE,0
OC202400138,2024-02-24,2024-03-08,Rosario,Unilever Argentina,LIM-003,Jabón Polvo Ala 800g,633,118,580,367140,PARCIAL,0
OC202400139,2024-03-08,2024-03-16,CABA_Centro,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,202,199,280,56560,PARCIAL,0
OC202400140,2024-03-05,2024-03-10,Córdoba,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,911,459,680,619480,ATRASADO,5
OC202400141,2024-03-08,2024-03-23,La_Plata,Bodega Toro,BEB-004,Vino Tinto Toro 1L,712,164,850,605200,PENDIENTE,0
OC202400142,2024-02-27,2024-03-05,CABA_Centro,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,502,486,420,210840,PARCIAL,0
OC202400143,2024-03-04,2024-03-16,CABA_Centro,Coca-Cola Argentina,BEB-002,Coca-Cola 2.25L,498,332,680,338640,PENDIENTE,0
OC202400144,2024-03-12,2024-03-19,La_Plata,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,611,290,420,256620,PENDIENTE,0
OC202400145,2024-02-15,2024-02-23,GBA_Sur,Molino Favorita,ALK-001,Harina 0000 Favorita 1kg,440,226,420,184800,COMPLETADO,0
OC202400146,2024-02-26,2024-03-04,Córdoba,Ledesma S.A.,ALK-002,Azúcar Ledesma 1kg,891,643,350,311850,PARCIAL,0
OC202400147,2024-03-10,2024-03-13,CABA_Centro,Matarazzo S.A.,ALK-004,Fideos Moñito Matarazzo 500g,833,788,280,233240,PENDIENTE,2
OC202400148,2024-03-10,2024-03-24,Rosario,Villa del Sur S.A.,BEB-001,Agua Villa del Sur 2L,846,241,220,186120,PENDIENTE,0
OC202400149,2024-03-04,2024-03-09,Córdoba,Aceitera Natura,ALK-005,Aceite Girasol Natura 1.5L,685,528,1250,856250,PENDIENTE,6
OC202400150,2024-03-12,2024-03-19,CABA_Centro,Ayudín S.A.,LIM-001,Lavandina Ayudín 1L,448,63,350,156800,PENDIENTE,0
