MovimientoID,Fecha,Sucursal,SKU,Producto,Categoria,TipoMovimiento,Cantidad,CostoUnitario,ValorMovimiento,Referencia,Usuario,Mes,Semana
MOV2024000012,2024-02-09,La_Plata,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,COMPRA,352,280,98560,OC20241156,USER001,2024-02,2024-W05
MOV2024000013,2024-02-15,GBA_Oeste,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,10,350,3500,VTA20242479,USER018,2024-02,2024-W06
MOV2024000014,2024-02-15,La_Plata,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,98,850,83300,VTA20245455,USER009,2024-02,2024-W06
MOV2024000015,2024-02-14,Mendoza,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,COMPRA,243,280,68040,OC20247717,USER010,2024-02,2024-W06
MOV2024000016,2024-01-16,GBA_Oeste,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,54,350,18900,VTA20248699,USER011,2024-01,2024-W02
MOV2024000017,2024-02-16,Rosario,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,AJUSTE,11,420,4620,AJU20243830,USER012,2024-02,2024-W06
MOV2024000018,2024-03-10,Mendoza,BEB-001,Agua Villa del Sur 2L,BEBIDAS,VENTA,78,220,17160,VTA20247459,USER001,2024-03,2024-W10
MOV2024000019,2024-01-16,Córdoba,LIM-002,Detergente Magistral 750ml,LIMPIEZA,TRANSFERENCIA,-10,400,-4000,TRF20249207,USER019,2024-01,2024-W02
MOV2024000020,2024-02-08,Córdoba,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,67,1250,83750,VTA20246143,USER005,2024-02,2024-W05
MOV2024000021,2024-02-25,Rosario,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,COMPRA,319,280,89320,OC20243052,USER018,2024-02,2024-W08
MOV2024000022,2024-01-16,Córdoba,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,85,280,23800,VTA20245683,USER010,2024-01,2024-W02
MOV2024000023,2024-03-14,Rosario,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,VENTA,88,580,51040,VTA20243789,USER015,2024-03,2024-W10
MOV2024000024,2024-02-04,GBA_Oeste,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,DEVOLUCION,31,420,13020,DEV20244944,USER015,2024-02,2024-W05
MOV2024000025,2024-01-22,La_Plata,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,TRANSFERENCIA,-10,420,-4200,TRF20248488,USER018,2024-01,2024-W03
MOV2024000026,2024-02-06,GBA_Oeste,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,32,280,8960,VTA20245249,USER001,2024-02,2024-W05
MOV2024000027,2024-02-01,Mendoza,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,VENTA,24,420,10080,VTA20242349,USER008,2024-02,2024-W04
MOV2024000028,2024-03-11,La_Plata,LIM-002,Detergente Magistral 750ml,LIMPIEZA,VENTA,76,400,30400,VTA20242592,USER006,2024-03,2024-W10
MOV2024000029,2024-01-22,Mendoza,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,31,850,26350,VTA20246484,USER011,2024-01,2024-W03
MOV2024000030,2024-01-17,Rosario,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,COMPRA,106,420,44520,OC20244040,USER010,2024-01,2024-W02
MOV2024000031,2024-02-19,GBA_Sur,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,96,1250,120000,VTA20242347,USER007,2024-02,2024-W07
MOV2024000032,2024-01-23,CABA_Centro,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,46,150,6900,VTA20247478,USER010,2024-01,2024-W03
MOV2024000033,2024-01-17,La_Plata,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,56,850,47600,VTA20246663,USER012,2024-01,2024-W02
MOV2024000034,2024-01-26,CABA_Norte,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,COMPRA,259,280,72520,OC20249554,USER010,2024-01,2024-W03
MOV2024000035,2024-02-21,GBA_Oeste,LIM-002,Detergente Magistral 750ml,LIMPIEZA,VENTA,24,400,9600,VTA20248490,USER008,2024-02,2024-W07
MOV2024000036,2024-01-06,Córdoba,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,VENTA,77,580,44660,VTA20245463,USER020,2024-01,2024-W00
MOV2024000037,2024-01-02,CABA_Centro,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,COMPRA,148,580,85840,OC20246352,USER010,2024-01,2024-W00
MOV2024000038,2024-03-07,Rosario,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,TRANSFERENCIA,-117,850,-99450,TRF20244234,USER001,2024-03,2024-W09
MOV2024000039,2024-02-02,La_Plata,BEB-004,Vino Tinto Toro 1L,BEBIDAS,TRANSFERENCIA,-169,850,-143650,TRF20248496,USER003,2024-02,2024-W04
MOV2024000040,2024-01-04,GBA_Oeste,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,65,150,9750,VTA20242836,USER016,2024-01,2024-W00
MOV2024000041,2024-01-01,GBA_Oeste,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,TRANSFERENCIA,-13,420,-5460,TRF20244857,USER010,2024-01,2024-W00
MOV2024000042,2024-01-08,Mendoza,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,COMPRA,409,280,114520,OC20243823,USER012,2024-01,2024-W01
MOV2024000043,2024-02-11,CABA_Centro,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,50,350,17500,VTA20249728,USER009,2024-02,2024-W06
MOV2024000044,2024-02-17,CABA_Centro,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,205,850,174250,OC20246382,USER010,2024-02,2024-W06
MOV2024000045,2024-02-27,GBA_Sur,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,93,850,79050,VTA20248582,USER020,2024-02,2024-W08
MOV2024000046,2024-02-29,Córdoba,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,72,850,61200,VTA20242966,USER002,2024-02,2024-W08
MOV2024000047,2024-03-06,GBA_Sur,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,70,350,24500,VTA20244449,USER020,2024-03,2024-W09
MOV2024000048,2024-03-08,Córdoba,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,88,150,13200,VTA20249103,USER006,2024-03,2024-W09
MOV2024000049,2024-03-06,CABA_Centro,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,COMPRA,468,420,196560,OC20247259,USER020,2024-03,2024-W09
MOV2024000050,2024-01-04,La_Plata,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,50,350,17500,VTA20249600,USER015,2024-01,2024-W00
MOV2024000051,2024-02-18,Rosario,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,73,350,25550,VTA20242638,USER005,2024-02,2024-W07
MOV2024000052,2024-02-14,CABA_Norte,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,VENTA,72,580,41760,VTA20244133,USER013,2024-02,2024-W06
MOV2024000053,2024-01-11,GBA_Oeste,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,45,350,15750,VTA20241449,USER009,2024-01,2024-W01
MOV2024000054,2024-02-25,Mendoza,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,86,350,30100,VTA20243870,USER017,2024-02,2024-W08
MOV2024000055,2024-02-25,CABA_Centro,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,COMPRA,294,580,170520,OC20241261,USER019,2024-02,2024-W08
MOV2024000056,2024-03-05,Mendoza,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,27,850,22950,VTA20246914,USER001,2024-03,2024-W09
MOV2024000057,2024-01-14,La_Plata,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,31,350,10850,VTA20244901,USER005,2024-01,2024-W02
MOV2024000058,2024-02-11,Rosario,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,22,1250,27500,VTA20247974,USER004,2024-02,2024-W06
MOV2024000059,2024-02-28,Rosario,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,48,350,16800,VTA20244367,USER013,2024-02,2024-W08
MOV2024000060,2024-03-10,CABA_Norte,LIM-002,Detergente Magistral 750ml,LIMPIEZA,COMPRA,360,400,144000,OC20244751,USER020,2024-03,2024-W10
MOV2024000061,2024-02-08,Mendoza,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,59,280,16520,VTA20249613,USER012,2024-02,2024-W05
MOV2024000062,2024-01-14,CABA_Centro,BEB-003,Cerveza Quilmes 1L,BEBIDAS,COMPRA,278,350,97300,OC20247037,USER010,2024-01,2024-W02
MOV2024000063,2024-02-29,CABA_Norte,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,VENTA,35,580,20300,VTA20241031,USER019,2024-02,2024-W08
MOV2024000064,2024-02-03,GBA_Sur,BEB-003,Cerveza Quilmes 1L,BEBIDAS,TRANSFERENCIA,106,350,37100,TRF20241554,USER004,2024-02,2024-W04
MOV2024000065,2024-01-03,La_Plata,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,41,350,14350,VTA20242826,USER002,2024-01,2024-W00
MOV2024000066,2024-01-16,CABA_Centro,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,92,150,13800,VTA20247593,USER016,2024-01,2024-W02
MOV2024000067,2024-03-05,Córdoba,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,464,850,394400,OC20246992,USER010,2024-03,2024-W09
MOV2024000068,2024-02-06,Rosario,BEB-001,Agua Villa del Sur 2L,BEBIDAS,TRANSFERENCIA,-110,220,-24200,TRF20247757,USER017,2024-02,2024-W05
MOV2024000069,2024-01-01,Mendoza,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,VENTA,22,280,6160,VTA20246366,USER007,2024-01,2024-W00
MOV2024000070,2024-02-27,Córdoba,BEB-002,Coca-Cola 2.25L,BEBIDAS,VENTA,57,680,38760,VTA20248823,USER002,2024-02,2024-W08
MOV2024000071,2024-03-06,GBA_Sur,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,COMPRA,491,850,417350,OC20243895,USER018,2024-03,2024-W09
MOV2024000072,2024-01-27,CABA_Centro,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,VENTA,36,420,15120,VTA20244821,USER011,2024-01,2024-W03
MOV2024000073,2024-02-11,CABA_Centro,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,COMPRA,106,1250,132500,OC20242937,USER009,2024-02,2024-W06
MOV2024000074,2024-03-01,Rosario,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,VENTA,10,580,5800,VTA20248821,USER014,2024-03,2024-W08
MOV2024000075,2024-02-18,CABA_Norte,BEB-001,Agua Villa del Sur 2L,BEBIDAS,VENTA,64,220,14080,VTA20243333,USER013,2024-02,2024-W07
MOV2024000076,2024-01-06,La_Plata,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,COMPRA,260,850,221000,OC20241944,USER006,2024-01,2024-W00
MOV2024000077,2024-01-26,CABA_Norte,BEB-002,Coca-Cola 2.25L,BEBIDAS,VENTA,33,680,22440,VTA20247795,USER017,2024-01,2024-W03
MOV2024000078,2024-01-06,GBA_Oeste,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,46,350,16100,VTA20243462,USER012,2024-01,2024-W00
MOV2024000079,2024-02-16,CABA_Norte,LIM-002,Detergente Magistral 750ml,LIMPIEZA,VENTA,53,400,21200,VTA20241520,USER007,2024-02,2024-W06
MOV2024000080,2024-01-17,CABA_Centro,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,9,280,2520,VTA20249234,USER011,2024-01,2024-W02
MOV2024000081,2024-02-25,Rosario,ALK-002,Azúcar Ledesma 1kg,ALMACEN,COMPRA,68,350,23800,OC20248435,USER015,2024-02,2024-W08
MOV2024000082,2024-01-30,La_Plata,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,VENTA,35,580,20300,VTA20245369,USER009,2024-01,2024-W04
MOV2024000083,2024-02-18,La_Plata,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,85,1250,106250,VTA20242094,USER018,2024-02,2024-W07
MOV2024000084,2024-02-07,CABA_Centro,LIM-002,Detergente Magistral 750ml,LIMPIEZA,COMPRA,121,400,48400,OC20249438,USER010,2024-02,2024-W05
MOV2024000085,2024-02-11,CABA_Centro,LIM-002,Detergente Magistral 750ml,LIMPIEZA,AJUSTE,2,400,800,AJU20248589,USER017,2024-02,2024-W06
MOV2024000086,2024-02-15,Rosario,BEB-002,Coca-Cola 2.25L,BEBIDAS,COMPRA,230,680,156400,OC20248564,USER010,2024-02,2024-W06
MOV2024000087,2024-01-24,GBA_Oeste,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,VENTA,72,580,41760,VTA20241194,USER012,2024-01,2024-W03
MOV2024000088,2024-01-06,La_Plata,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,179,850,152150,OC20241690,USER013,2024-01,2024-W00
MOV2024000089,2024-01-14,GBA_Oeste,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,AJUSTE,-9,350,-3150,AJU20249845,USER015,2024-01,2024-W02
MOV2024000090,2024-01-01,CABA_Norte,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,COMPRA,480,420,201600,OC20246740,USER007,2024-01,2024-W00
MOV2024000091,2024-02-01,Mendoza,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,46,850,39100,VTA20247077,USER005,2024-02,2024-W04
MOV2024000092,2024-01-28,La_Plata,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,TRANSFERENCIA,-52,350,-18200,TRF20242135,USER001,2024-01,2024-W04
MOV2024000093,2024-02-16,CABA_Centro,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,26,150,3900,VTA20244552,USER016,2024-02,2024-W06
MOV2024000094,2024-03-14,Rosario,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,72,350,25200,VTA20242286,USER017,2024-03,2024-W10
MOV2024000095,2024-01-26,CABA_Centro,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,97,850,82450,VTA20245665,USER015,2024-01,2024-W03
MOV2024000096,2024-02-19,Córdoba,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,52,350,18200,VTA20248668,USER002,2024-02,2024-W07
MOV2024000097,2024-02-19,Rosario,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,AJUSTE,-10,1250,-12500,AJU20241551,USER018,2024-02,2024-W07
MOV2024000098,2024-02-11,GBA_Oeste,BEB-002,Coca-Cola 2.25L,BEBIDAS,VENTA,57,680,38760,VTA20245576,USER002,2024-02,2024-W06
MOV2024000099,2024-01-31,Mendoza,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,AJUSTE,8,580,4640,AJU20249928,USER001,2024-01,2024-W04
MOV2024000100,2024-01-18,Mendoza,LIM-002,Detergente Magistral 750ml,LIMPIEZA,COMPRA,165,400,66000,OC20248655,USER001,2024-01,2024-W02
MOV2024000101,2024-02-22,Mendoza,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,COMPRA,218,580,126440,OC20248293,USER018,2024-02,2024-W07
MOV2024000102,2024-03-03,Córdoba,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,COMPRA,141,280,39480,OC20246980,USER018,2024-03,2024-W09
MOV2024000103,2024-02-26,Mendoza,BEB-004,Vino Tinto Toro 1L,BEBIDAS,AJUSTE,-9,850,-7650,AJU20244375,USER015,2024-02,2024-W08
MOV2024000104,2024-02-08,GBA_Oeste,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,AJUSTE,9,580,5220,AJU20241982,USER018,2024-02,2024-W05
MOV2024000105,2024-02-23,GBA_Sur,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,9,280,2520,VTA20249632,USER013,2024-02,2024-W07
MOV2024000106,2024-02-10,CABA_Norte,ALK-002,Azúcar Ledesma 1kg,ALMACEN,AJUSTE,12,350,4200,AJU20249394,USER014,2024-02,2024-W05
MOV2024000107,2024-02-01,CABA_Centro,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,DEVOLUCION,2,850,1700,DEV20248297,USER007,2024-02,2024-W04
MOV2024000108,2024-02-18,CABA_Norte,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,72,850,61200,VTA20246275,USER004,2024-02,2024-W07
MOV2024000109,2024-03-05,Mendoza,BEB-003,Cerveza Quilmes 1L,BEBIDAS,DEVOLUCION,41,350,14350,DEV20243625,USER016,2024-03,2024-W09
MOV2024000110,2024-01-22,GBA_Oeste,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,7,850,5950,VTA20247173,USER016,2024-01,2024-W03
MOV2024000111,2024-03-15,Rosario,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,DEVOLUCION,3,420,1260,DEV20242430,USER005,2024-03,2024-W10
MOV2024000112,2024-02-01,La_Plata,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,22,150,3300,VTA20244786,USER013,2024-02,2024-W04
MOV2024000113,2024-01-16,Rosario,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,128,850,108800,OC20248936,USER004,2024-01,2024-W02
MOV2024000114,2024-01-28,GBA_Oeste,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,473,850,402050,OC20247430,USER003,2024-01,2024-W04
MOV2024000115,2024-01-04,GBA_Oeste,BEB-001,Agua Villa del Sur 2L,BEBIDAS,VENTA,17,220,3740,VTA20246825,USER019,2024-01,2024-W00
MOV2024000116,2024-01-19,La_Plata,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,TRANSFERENCIA,-165,580,-95700,TRF20243511,USER005,2024-01,2024-W02
MOV2024000117,2024-02-22,Córdoba,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,COMPRA,261,1250,326250,OC20241507,USER019,2024-02,2024-W07
MOV2024000118,2024-03-09,CABA_Centro,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,34,280,9520,VTA20244594,USER019,2024-03,2024-W09
MOV2024000119,2024-03-01,GBA_Oeste,ALK-002,Azúcar Ledesma 1kg,ALMACEN,COMPRA,101,350,35350,OC20246307,USER006,2024-03,2024-W08
MOV2024000120,2024-01-22,CABA_Norte,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,VENTA,54,580,31320,VTA20248710,USER011,2024-01,2024-W03
MOV2024000121,2024-01-21,CABA_Centro,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,71,850,60350,VTA20242902,USER010,2024-01,2024-W03
MOV2024000122,2024-01-08,La_Plata,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,92,150,13800,VTA20249154,USER004,2024-01,2024-W01
MOV2024000123,2024-03-12,CABA_Norte,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,COMPRA,122,850,103700,OC20247789,USER001,2024-03,2024-W10
MOV2024000124,2024-02-05,CABA_Centro,ALK-002,Azúcar Ledesma 1kg,ALMACEN,VENTA,78,350,27300,VTA20246839,USER009,2024-02,2024-W05
MOV2024000125,2024-02-22,Rosario,BEB-004,Vino Tinto Toro 1L,BEBIDAS,COMPRA,182,850,154700,OC20248796,USER006,2024-02,2024-W07
MOV2024000126,2024-01-29,CABA_Norte,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,VENTA,30,420,12600,VTA20243246,USER010,2024-01,2024-W04
MOV2024000127,2024-01-09,GBA_Oeste,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,20,280,5600,VTA20243753,USER007,2024-01,2024-W01
MOV2024000128,2024-03-08,GBA_Oeste,ALK-004,Fideos Moñito Matarazzo 500g,ALMACEN,VENTA,65,280,18200,VTA20247445,USER004,2024-03,2024-W09
MOV2024000129,2024-01-17,Córdoba,BEB-002,Coca-Cola 2.25L,BEBIDAS,VENTA,63,680,42840,VTA20249397,USER012,2024-01,2024-W02
MOV2024000130,2024-03-05,La_Plata,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,31,850,26350,VTA20245686,USER011,2024-03,2024-W09
MOV2024000131,2024-01-22,GBA_Oeste,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,TRANSFERENCIA,85,1250,106250,TRF20249572,USER020,2024-01,2024-W03
MOV2024000132,2024-01-01,CABA_Norte,BEB-002,Coca-Cola 2.25L,BEBIDAS,VENTA,10,680,6800,VTA20245612,USER008,2024-01,2024-W00
MOV2024000133,2024-03-12,Rosario,BEB-002,Coca-Cola 2.25L,BEBIDAS,COMPRA,243,680,165240,OC20246122,USER012,2024-03,2024-W10
MOV2024000134,2024-01-02,Mendoza,BEB-003,Cerveza Quilmes 1L,BEBIDAS,TRANSFERENCIA,-55,350,-19250,TRF20248171,USER005,2024-01,2024-W00
MOV2024000135,2024-03-06,GBA_Oeste,LIM-002,Detergente Magistral 750ml,LIMPIEZA,DEVOLUCION,23,400,9200,DEV20248620,USER003,2024-03,2024-W09
MOV2024000136,2024-02-16,Córdoba,BEB-003,Cerveza Quilmes 1L,BEBIDAS,AJUSTE,-17,350,-5950,AJU20241128,USER002,2024-02,2024-W06
MOV2024000137,2024-02-23,CABA_Norte,LIM-002,Detergente Magistral 750ml,LIMPIEZA,AJUSTE,5,400,2000,AJU20247179,USER004,2024-02,2024-W07
MOV2024000138,2024-01-26,GBA_Sur,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,95,350,33250,VTA20242283,USER005,2024-01,2024-W03
MOV2024000139,2024-01-29,CABA_Centro,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,VENTA,46,420,19320,VTA20247192,USER004,2024-01,2024-W04
MOV2024000140,2024-02-22,GBA_Sur,LAC-002,Queso Cremón La Paulina 400g,LACTEOS,VENTA,65,850,55250,VTA20241785,USER001,2024-02,2024-W07
MOV2024000141,2024-03-02,CABA_Centro,BEB-003,Cerveza Quilmes 1L,BEBIDAS,COMPRA,101,350,35350,OC20243748,USER018,2024-03,2024-W08
MOV2024000142,2024-02-25,La_Plata,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,49,150,7350,VTA20248400,USER007,2024-02,2024-W08
MOV2024000143,2024-01-20,La_Plata,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,90,150,13500,VTA20241556,USER007,2024-01,2024-W02
MOV2024000144,2024-03-13,GBA_Sur,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,43,850,36550,VTA20242676,USER019,2024-03,2024-W10
MOV2024000145,2024-01-07,CABA_Centro,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,80,1250,100000,VTA20247894,USER017,2024-01,2024-W01
MOV2024000146,2024-01-25,CABA_Norte,BEB-003,Cerveza Quilmes 1L,BEBIDAS,VENTA,75,350,26250,VTA20243318,USER019,2024-01,2024-W03
MOV2024000147,2024-01-22,Córdoba,ALK-002,Azúcar Ledesma 1kg,ALMACEN,COMPRA,423,350,148050,OC20245869,USER003,2024-01,2024-W03
MOV2024000148,2024-02-14,La_Plata,LIM-003,Jabón Polvo Ala 800g,LIMPIEZA,VENTA,88,580,51040,VTA20246110,USER020,2024-02,2024-W06
MOV2024000149,2024-01-30,GBA_Sur,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,69,1250,86250,VTA20246068,USER019,2024-01,2024-W04
MOV2024000150,2024-01-14,La_Plata,LAC-003,Yogur Firme La Serenísima 190g,LACTEOS,VENTA,42,150,6300,VTA20246371,USER009,2024-01,2024-W02
MOV2024000151,2024-03-09,Mendoza,LIM-001,Lavandina Ayudín 1L,LIMPIEZA,VENTA,86,350,30100,VTA20246107,USER007,2024-03,2024-W09
MOV2024000152,2024-01-03,CABA_Centro,LIM-002,Detergente Magistral 750ml,LIMPIEZA,COMPRA,497,400,198800,OC20241788,USER007,2024-01,2024-W00
MOV2024000153,2024-03-06,GBA_Oeste,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,COMPRA,342,1250,427500,OC20247769,USER009,2024-03,2024-W09
MOV2024000154,2024-03-12,Rosario,LIM-002,Detergente Magistral 750ml,LIMPIEZA,TRANSFERENCIA,63,400,25200,TRF20248283,USER017,2024-03,2024-W10
MOV2024000155,2024-03-13,CABA_Centro,ALK-003,Arroz Largo Fino Gallo 1kg,ALMACEN,VENTA,58,580,33640,VTA20245135,USER015,2024-03,2024-W10
MOV2024000156,2024-01-19,GBA_Oeste,ALK-005,Aceite Girasol Natura 1.5L,ALMACEN,VENTA,62,1250,77500,VTA20241466,USER017,2024-01,2024-W02
MOV2024000157,2024-01-21,Mendoza,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,61,850,51850,VTA20245761,USER016,2024-01,2024-W03
MOV2024000158,2024-01-09,Mendoza,ALK-001,Harina 0000 Favorita 1kg,ALMACEN,VENTA,55,420,23100,VTA20241691,USER019,2024-01,2024-W01
MOV2024000159,2024-01-25,GBA_Sur,BEB-004,Vino Tinto Toro 1L,BEBIDAS,VENTA,30,850,25500,VTA20243576,USER018,2024-01,2024-W03
MOV2024000160,2024-03-07,CABA_Norte,LAC-001,Leche Entera La Serenísima 1L,LACTEOS,VENTA,57,280,15960,VTA20245931,USER010,2024-03,2024-W09
