ReservaID,FechaReserva,FechaEntrada,FechaSalida,HabitacionID,TipoHabitacion,Categoria,Plan,TarifaNoche,Noches,TotalReserva,Descuento,Estado,Mercado,Origen,Nacionalidad,CanalReserva,TipoHuesped,Adultos,Ninos,EsTemporadaAlta,Mes,Trimestre
RES2023000021,2022-11-02,2023-01-01,2023-01-05,STA021,Standard,Standard,Media Pensión,26825.0,4,107300.0,0.0,Check-out,Otros,Colombia,Otros,Expedia,Individual,2,0,True,2023-01,T1-2023
RES2023000022,2022-11-04,2023-01-01,2023-01-05,FAM074,Familiar,Familiar,Solo Alojamiento,31500.0,4,126000.0,0.0,Check-out,Brasil,Rio de Janeiro,Brasil,Sitio Web Directo,Pareja,1,3,True,2023-01,T1-2023
RES2023000023,2022-12-31,2023-01-01,2023-01-07,STA006,Standard,Standard,Alojamiento + Desayuno,23125.0,6,138750.0,0.0,Check-in,Otros,Uruguay,Otros,Sitio Web Directo,Familia,1,0,True,2023-01,T1-2023
RES2023000024,2022-12-19,2023-01-01,2023-01-08,SUI066,Suite,Lujo,Alojamiento + Desayuno,48125.0,7,336875.0,0.0,Check-out,Europa,Italia,Europa,Booking.com,Pareja,2,0,True,2023-01,T1-2023
RES2023000025,2022-11-08,2023-01-01,2023-01-05,SUI063,Suite,Lujo,Solo Alojamiento,38500.0,4,139215.45,14784.55,Check-out,Otros,Chile,Otros,Agencia de Viajes,Familia,2,0,True,2023-01,T1-2023
RES2023000026,2022-12-18,2023-01-01,2023-01-04,STA033,Standard,Standard,Alojamiento + Desayuno,23125.0,3,69375.0,0.0,Check-in,Europa,Reino Unido,Europa,Agencia de Viajes,Grupo,2,0,True,2023-01,T1-2023
RES2023000027,2022-12-14,2023-01-01,2023-01-04,STA013,Standard,Standard,Alojamiento + Desayuno,23125.0,3,69375.0,0.0,Check-out,Otros,Colombia,Otros,Booking.com,Familia,2,0,True,2023-01,T1-2023
RES2023000028,2022-11-08,2023-01-01,2023-01-03,SUP037,Superior,Superior,Todo Incluido,40425.0,2,80850.0,0.0,Check-out,Otros,Chile,Otros,Expedia,Individual,1,1,True,2023-01,T1-2023
RES2023000029,2022-12-02,2023-01-01,2023-01-04,SUI067,Suite,Lujo,Todo Incluido,63525.0,3,190575.0,0.0,Check-out,Estados Unidos,New York,Estados Unidos,Sitio Web Directo,Individual,3,1,True,2023-01,T1-2023
RES2023000030,2022-10-05,2023-01-01,2023-01-04,STA032,Standard,Standard,Media Pensión,26825.0,3,80475.0,0.0,Check-out,Argentina,Córdoba,Argentina,Despegar.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000031,2022-11-14,2023-01-01,2023-01-08,STA014,Standard,Standard,Todo Incluido,30525.0,7,194066.2,19608.8,Check-out,Estados Unidos,Miami,Estados Unidos,Sitio Web Directo,Pareja,2,0,True,2023-01,T1-2023
RES2023000032,2022-10-11,2023-01-01,2023-01-05,FAM077,Familiar,Familiar,Todo Incluido,51975.0,4,207900.0,0.0,Check-in,Europa,Reino Unido,Europa,Sitio Web Directo,Pareja,5,3,True,2023-01,T1-2023
RES2023000033,2022-12-02,2023-01-01,2023-01-06,STA035,Standard,Standard,Alojamiento + Desayuno,23125.0,5,105869.89,9755.11,Check-out,Otros,Uruguay,Otros,Sitio Web Directo,Familia,1,0,True,2023-01,T1-2023
RES2023000034,2022-12-02,2023-01-01,2023-01-06,SUP051,Superior,Superior,Solo Alojamiento,24500.0,5,122500.0,0.0,Check-in,Europa,Francia,Europa,Booking.com,Individual,2,0,True,2023-01,T1-2023
RES2023000035,2022-11-18,2023-01-01,2023-01-03,SUP036,Superior,Superior,Media Pensión,35525.0,2,71050.0,0.0,Check-out,Brasil,Brasilia,Brasil,Agencia de Viajes,Individual,2,1,True,2023-01,T1-2023
RES2023000036,2022-11-24,2023-01-01,2023-01-03,STA004,Standard,Standard,Solo Alojamiento,18500.0,2,37000.0,0.0,Check-in,Argentina,Mendoza,Argentina,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000037,2022-10-26,2023-01-01,2023-01-08,FAM073,Familiar,Familiar,Alojamiento + Desayuno,39375.0,7,259523.72,16101.28,Check-out,Europa,Francia,Europa,Booking.com,Individual,5,2,True,2023-01,T1-2023
RES2023000038,2022-11-03,2023-01-01,2023-01-04,STA025,Standard,Standard,Todo Incluido,30525.0,3,91575.0,0.0,No Show,Otros,Uruguay,Otros,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000039,2022-12-23,2023-01-01,2023-01-05,STA010,Standard,Standard,Solo Alojamiento,18500.0,4,74000.0,0.0,Check-out,Brasil,Brasilia,Brasil,Expedia,Individual,2,0,True,2023-01,T1-2023
RES2023000040,2022-12-12,2023-01-01,2023-01-08,SUP053,Superior,Superior,Solo Alojamiento,24500.0,7,157086.93,14413.07,Check-in,Europa,Francia,Europa,Despegar.com,Familia,1,0,True,2023-01,T1-2023
RES2023000041,2022-10-14,2023-01-01,2023-01-05,STA018,Standard,Standard,Media Pensión,26825.0,4,107300.0,0.0,Check-in,Brasil,Brasilia,Brasil,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000042,2022-11-20,2023-01-01,2023-01-02,SUP048,Superior,Superior,Media Pensión,35525.0,1,35525.0,0.0,No Show,Europa,Reino Unido,Europa,Booking.com,Familia,2,0,True,2023-01,T1-2023
RES2023000043,2022-12-28,2023-01-01,2023-01-02,SUI068,Suite,Lujo,Media Pensión,55825.0,1,48123.25,7701.75,Check-out,Estados Unidos,New York,Estados Unidos,Agencia de Viajes,Pareja,3,1,True,2023-01,T1-2023
RES2023000044,2022-12-10,2023-01-01,2023-01-04,SUP049,Superior,Superior,Media Pensión,35525.0,3,106575.0,0.0,Check-out,Otros,México,Otros,Booking.com,Grupo,1,1,True,2023-01,T1-2023
RES2023000045,2022-10-16,2023-01-01,2023-01-04,SUP040,Superior,Superior,Solo Alojamiento,24500.0,3,73500.0,0.0,No Show,Otros,Chile,Otros,Sitio Web Directo,Individual,1,1,True,2023-01,T1-2023
RES2023000046,2022-12-16,2023-01-01,2023-01-06,SUI071,Suite,Lujo,Media Pensión,55825.0,5,279125.0,0.0,Check-out,Brasil,Rio de Janeiro,Brasil,Expedia,Individual,1,0,True,2023-01,T1-2023
RES2023000047,2022-11-30,2023-01-01,2023-01-05,STA020,Standard,Standard,Solo Alojamiento,18500.0,4,74000.0,0.0,Check-out,Estados Unidos,Miami,Estados Unidos,Booking.com,Individual,1,0,True,2023-01,T1-2023
RES2023000048,2022-10-19,2023-01-01,2023-01-03,STA003,Standard,Standard,Solo Alojamiento,18500.0,2,37000.0,0.0,Check-out,Argentina,Santa Fe,Argentina,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000049,2022-11-26,2023-01-01,2023-01-03,STA017,Standard,Standard,Todo Incluido,30525.0,2,52032.98,9017.02,Check-out,Otros,México,Otros,Despegar.com,Individual,1,0,True,2023-01,T1-2023
RES2023000050,2022-10-05,2023-01-01,2023-01-06,SUP052,Superior,Superior,Todo Incluido,40425.0,5,202125.0,0.0,Check-out,Brasil,São Paulo,Brasil,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000051,2022-11-26,2023-01-01,2023-01-03,SUP059,Superior,Superior,Alojamiento + Desayuno,30625.0,2,58170.85,3079.15,Check-out,Otros,México,Otros,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000052,2022-11-20,2023-01-01,2023-01-06,SUP042,Superior,Superior,Todo Incluido,40425.0,5,202125.0,0.0,Check-out,Argentina,Santa Fe,Argentina,Booking.com,Familia,1,1,True,2023-01,T1-2023
RES2023000053,2022-12-18,2023-01-01,2023-01-02,SUI064,Suite,Lujo,Solo Alojamiento,38500.0,1,38500.0,0.0,Check-out,Europa,España,Europa,Booking.com,Pareja,2,1,True,2023-01,T1-2023
RES2023000054,2022-12-29,2023-01-01,2023-01-03,SUP056,Superior,Superior,Alojamiento + Desayuno,30625.0,2,54740.64,6509.36,Check-in,Argentina,Córdoba,Argentina,Despegar.com,Familia,1,1,True,2023-01,T1-2023
RES2023000055,2022-12-08,2023-01-01,2023-01-05,SUP060,Superior,Superior,Solo Alojamiento,24500.0,4,98000.0,0.0,Check-out,Otros,Uruguay,Otros,Expedia,Pareja,2,1,True,2023-01,T1-2023
RES2023000056,2022-11-18,2023-01-01,2023-01-02,STA012,Standard,Standard,Todo Incluido,30525.0,1,30525.0,0.0,Check-in,Estados Unidos,Los Angeles,Estados Unidos,Despegar.com,Pareja,2,0,True,2023-01,T1-2023
RES2023000057,2022-11-07,2023-01-01,2023-01-08,SUP058,Superior,Superior,Alojamiento + Desayuno,30625.0,7,214375.0,0.0,No Show,Brasil,Brasilia,Brasil,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000058,2022-11-21,2023-01-01,2023-01-04,STA023,Standard,Standard,Media Pensión,26825.0,3,80475.0,0.0,Check-out,Otros,Colombia,Otros,Booking.com,Pareja,2,0,True,2023-01,T1-2023
RES2023000059,2022-11-29,2023-01-01,2023-01-03,SUP050,Superior,Superior,Alojamiento + Desayuno,30625.0,2,61250.0,0.0,Check-out,Argentina,Córdoba,Argentina,Despegar.com,Familia,1,0,True,2023-01,T1-2023
RES2023000060,2022-11-14,2023-01-01,2023-01-02,SUP045,Superior,Superior,Media Pensión,35525.0,1,30305.83,5219.17,Check-in,Estados Unidos,Miami,Estados Unidos,Expedia,Pareja,3,0,True,2023-01,T1-2023
RES2023000061,2022-12-17,2023-01-01,2023-01-04,STA028,Standard,Standard,Solo Alojamiento,18500.0,3,55500.0,0.0,Check-in,Europa,Reino Unido,Europa,Despegar.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000062,2022-12-04,2023-01-01,2023-01-03,SUI070,Suite,Lujo,Media Pensión,55825.0,2,111650.0,0.0,Check-out,Otros,Uruguay,Otros,Directo Teléfono,Pareja,1,0,True,2023-01,T1-2023
RES2023000063,2022-10-15,2023-01-01,2023-01-05,STA007,Standard,Standard,Media Pensión,26825.0,4,107300.0,0.0,Check-out,Estados Unidos,Miami,Estados Unidos,Sitio Web Directo,Individual,2,0,True,2023-01,T1-2023
RES2023000064,2022-12-14,2023-01-01,2023-01-06,STA001,Standard,Standard,Media Pensión,26825.0,5,134125.0,0.0,Check-out,Europa,España,Europa,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000065,2022-10-04,2023-01-01,2023-01-04,STA005,Standard,Standard,Alojamiento + Desayuno,23125.0,3,61789.02,7585.98,Check-out,Argentina,Buenos Aires,Argentina,Agencia de Viajes,Familia,1,0,True,2023-01,T1-2023
RES2023000066,2022-11-02,2023-01-01,2023-01-03,SUP054,Superior,Superior,Todo Incluido,40425.0,2,80850.0,0.0,Check-out,Brasil,São Paulo,Brasil,Sitio Web Directo,Familia,2,0,True,2023-01,T1-2023
RES2023000067,2022-12-11,2023-01-01,2023-01-03,SUP039,Superior,Superior,Todo Incluido,40425.0,2,80850.0,0.0,Check-in,Otros,Colombia,Otros,Directo Teléfono,Individual,1,1,True,2023-01,T1-2023
RES2023000068,2022-11-06,2023-01-02,2023-01-03,SUP048,Superior,Superior,Media Pensión,35525.0,1,35525.0,0.0,Check-in,Brasil,Brasilia,Brasil,Booking.com,Familia,1,1,True,2023-01,T1-2023
RES2023000069,2022-12-18,2023-01-02,2023-01-09,STA026,Standard,Standard,Alojamiento + Desayuno,23125.0,7,161875.0,0.0,Check-out,Otros,Chile,Otros,Directo Teléfono,Familia,1,0,True,2023-01,T1-2023
RES2023000070,2022-10-24,2023-01-02,2023-01-04,SUP054,Superior,Superior,Media Pensión,35525.0,2,71050.0,0.0,Check-out,Europa,España,Europa,Agencia de Viajes,Pareja,1,1,True,2023-01,T1-2023
RES2023000071,2022-10-20,2023-01-02,2023-01-05,SUI062,Suite,Lujo,Solo Alojamiento,38500.0,3,98389.55,17110.45,Cancelada,Otros,México,Otros,Expedia,Pareja,2,0,True,2023-01,T1-2023
RES2023000072,2022-11-22,2023-01-02,2023-01-04,STA034,Standard,Standard,Todo Incluido,30525.0,2,61050.0,0.0,Check-out,Brasil,São Paulo,Brasil,Booking.com,Familia,1,0,True,2023-01,T1-2023
RES2023000073,2022-11-08,2023-01-02,2023-01-05,SUP057,Superior,Superior,Todo Incluido,40425.0,3,121275.0,0.0,Check-out,Estados Unidos,Miami,Estados Unidos,Expedia,Individual,3,1,True,2023-01,T1-2023
RES2023000074,2022-12-26,2023-01-02,2023-01-06,FAM077,Familiar,Familiar,Todo Incluido,51975.0,4,207900.0,0.0,Check-in,Argentina,Santa Fe,Argentina,Sitio Web Directo,Grupo,4,0,True,2023-01,T1-2023
RES2023000075,2022-10-11,2023-01-02,2023-01-03,STA032,Standard,Standard,Media Pensión,26825.0,1,26825.0,0.0,Check-out,Brasil,Brasilia,Brasil,Booking.com,Grupo,2,0,True,2023-01,T1-2023
RES2023000076,2022-11-07,2023-01-02,2023-01-04,STA006,Standard,Standard,Todo Incluido,30525.0,2,61050.0,0.0,Check-out,Brasil,São Paulo,Brasil,Booking.com,Pareja,2,0,True,2023-01,T1-2023
RES2023000077,2022-11-27,2023-01-02,2023-01-05,SUP039,Superior,Superior,Alojamiento + Desayuno,30625.0,3,91875.0,0.0,Check-out,Otros,México,Otros,Booking.com,Individual,2,0,True,2023-01,T1-2023
RES2023000078,2022-11-11,2023-01-02,2023-01-07,SUP043,Superior,Superior,Todo Incluido,40425.0,5,202125.0,0.0,Check-out,Estados Unidos,Los Angeles,Estados Unidos,Booking.com,Familia,3,1,True,2023-01,T1-2023
RES2023000079,2022-11-03,2023-01-02,2023-01-09,STA001,Standard,Standard,Media Pensión,26825.0,7,187775.0,0.0,Check-out,Brasil,Rio de Janeiro,Brasil,Booking.com,Familia,2,0,True,2023-01,T1-2023
RES2023000080,2022-12-02,2023-01-02,2023-01-06,SUP040,Superior,Superior,Solo Alojamiento,24500.0,4,98000.0,0.0,Check-out,Europa,Francia,Europa,Expedia,Pareja,3,1,True,2023-01,T1-2023
RES2023000081,2022-12-16,2023-01-02,2023-01-05,STA017,Standard,Standard,Solo Alojamiento,18500.0,3,49277.22,6222.78,Check-out,Estados Unidos,Los Angeles,Estados Unidos,Expedia,Individual,2,0,True,2023-01,T1-2023
RES2023000082,2022-10-26,2023-01-02,2023-01-05,STA028,Standard,Standard,Media Pensión,26825.0,3,80475.0,0.0,Check-in,Argentina,Buenos Aires,Argentina,Expedia,Grupo,1,0,True,2023-01,T1-2023
RES2023000083,2022-11-04,2023-01-02,2023-01-07,SUP045,Superior,Superior,Alojamiento + Desayuno,30625.0,5,153125.0,0.0,Check-out,Argentina,Buenos Aires,Argentina,Directo Teléfono,Pareja,1,1,True,2023-01,T1-2023
RES2023000084,2022-10-22,2023-01-02,2023-01-03,SUP051,Superior,Superior,Alojamiento + Desayuno,30625.0,1,30625.0,0.0,Cancelada,Brasil,Brasilia,Brasil,Booking.com,Pareja,2,1,True,2023-01,T1-2023
RES2023000085,2022-10-05,2023-01-02,2023-01-08,FAM073,Familiar,Familiar,Media Pensión,45675.0,6,274050.0,0.0,Check-in,Estados Unidos,New York,Estados Unidos,Agencia de Viajes,Pareja,1,0,True,2023-01,T1-2023
RES2023000086,2023-01-01,2023-01-02,2023-01-04,SUP036,Superior,Superior,Todo Incluido,40425.0,2,80850.0,0.0,Check-out,Argentina,Tucumán,Argentina,Despegar.com,Pareja,2,1,True,2023-01,T1-2023
RES2023000087,2022-11-27,2023-01-02,2023-01-04,SUI064,Suite,Lujo,Media Pensión,55825.0,2,111650.0,0.0,Check-in,Brasil,São Paulo,Brasil,Directo Teléfono,Familia,4,0,True,2023-01,T1-2023
RES2023000088,2022-12-18,2023-01-02,2023-01-09,STA021,Standard,Standard,Solo Alojamiento,18500.0,7,129500.0,0.0,No Show,Otros,Colombia,Otros,Agencia de Viajes,Pareja,2,0,True,2023-01,T1-2023
RES2023000089,2022-11-29,2023-01-02,2023-01-07,STA002,Standard,Standard,Solo Alojamiento,18500.0,5,92500.0,0.0,Check-out,Estados Unidos,Miami,Estados Unidos,Booking.com,Pareja,1,0,True,2023-01,T1-2023
RES2023000090,2022-12-17,2023-01-02,2023-01-07,SUP060,Superior,Superior,Solo Alojamiento,24500.0,5,122500.0,0.0,Check-out,Europa,Francia,Europa,Agencia de Viajes,Familia,1,0,True,2023-01,T1-2023
RES2023000091,2022-10-09,2023-01-02,2023-01-03,SUI063,Suite,Lujo,Solo Alojamiento,38500.0,1,38500.0,0.0,Check-out,Brasil,Rio de Janeiro,Brasil,Booking.com,Individual,3,0,True,2023-01,T1-2023
RES2023000092,2022-12-23,2023-01-02,2023-01-04,SUP037,Superior,Superior,Alojamiento + Desayuno,30625.0,2,61250.0,0.0,Check-out,Argentina,Mendoza,Argentina,Expedia,Pareja,3,0,True,2023-01,T1-2023
RES2023000093,2022-11-15,2023-01-02,2023-01-07,FAM079,Familiar,Familiar,Solo Alojamiento,31500.0,5,157500.0,0.0,No Show,Otros,Uruguay,Otros,Agencia de Viajes,Familia,2,0,True,2023-01,T1-2023
RES2023000094,2022-12-10,2023-01-02,2023-01-05,STA031,Standard,Standard,Media Pensión,26825.0,3,80475.0,0.0,Check-out,Europa,Reino Unido,Europa,Despegar.com,Grupo,2,0,True,2023-01,T1-2023
RES2023000095,2022-11-05,2023-01-02,2023-01-06,SUP055,Superior,Superior,Solo Alojamiento,24500.0,4,98000.0,0.0,Check-in,Brasil,São Paulo,Brasil,Booking.com,Individual,3,1,True,2023-01,T1-2023
RES2023000096,2022-10-20,2023-01-02,2023-01-07,STA025,Standard,Standard,Media Pensión,26825.0,5,134125.0,0.0,Check-out,Argentina,Buenos Aires,Argentina,Sitio Web Directo,Grupo,1,0,True,2023-01,T1-2023
RES2023000097,2022-12-23,2023-01-02,2023-01-05,SUP049,Superior,Superior,Todo Incluido,40425.0,3,121275.0,0.0,Check-out,Brasil,Rio de Janeiro,Brasil,Booking.com,Familia,2,1,True,2023-01,T1-2023
RES2023000098,2022-12-22,2023-01-02,2023-01-05,SUP041,Superior,Superior,Alojamiento + Desayuno,30625.0,3,85685.91,6189.09,Cancelada,Europa,España,Europa,Expedia,Grupo,2,1,True,2023-01,T1-2023
RES2023000099,2022-11-07,2023-01-02,2023-01-06,STA018,Standard,Standard,Solo Alojamiento,18500.0,4,74000.0,0.0,Check-out,Argentina,Córdoba,Argentina,Agencia de Viajes,Pareja,2,0,True,2023-01,T1-2023
RES2023000100,2022-12-09,2023-01-02,2023-01-05,FAM076,Familiar,Familiar,Solo Alojamiento,31500.0,3,94500.0,0.0,Check-out,Estados Unidos,Los Angeles,Estados Unidos,Sitio Web Directo,Pareja,4,1,True,2023-01,T1-2023
RES2023000101,2022-11-07,2023-01-02,2023-01-04,SUI068,Suite,Lujo,Todo Incluido,63525.0,2,119420.73,7629.27,Check-in,Brasil,São Paulo,Brasil,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000102,2022-12-03,2023-01-02,2023-01-06,SUI066,Suite,Lujo,Todo Incluido,63525.0,4,254100.0,0.0,Check-out,Estados Unidos,Miami,Estados Unidos,Agencia de Viajes,Individual,2,1,True,2023-01,T1-2023
RES2023000103,2022-11-17,2023-01-02,2023-01-06,STA033,Standard,Standard,Media Pensión,26825.0,4,107300.0,0.0,Check-out,Europa,Alemania,Europa,Sitio Web Directo,Grupo,1,0,True,2023-01,T1-2023
RES2023000104,2022-12-21,2023-01-02,2023-01-05,SUI061,Suite,Lujo,Alojamiento + Desayuno,48125.0,3,144375.0,0.0,Check-out,Europa,Alemania,Europa,Booking.com,Individual,4,0,True,2023-01,T1-2023
RES2023000105,2022-12-25,2023-01-02,2023-01-04,STA009,Standard,Standard,Alojamiento + Desayuno,23125.0,2,46250.0,0.0,Check-out,Otros,Uruguay,Otros,Sitio Web Directo,Pareja,2,0,True,2023-01,T1-2023
RES2023000106,2022-12-30,2023-01-02,2023-01-03,SUI067,Suite,Lujo,Todo Incluido,63525.0,1,63525.0,0.0,Check-out,Estados Unidos,New York,Estados Unidos,Expedia,Familia,2,1,True,2023-01,T1-2023
RES2023000107,2022-12-27,2023-01-02,2023-01-05,SUP047,Superior,Superior,Solo Alojamiento,24500.0,3,73500.0,0.0,Check-out,Otros,México,Otros,Booking.com,Individual,2,1,True,2023-01,T1-2023
RES2023000108,2022-12-21,2023-01-02,2023-01-05,SUP053,Superior,Superior,Todo Incluido,40425.0,3,121275.0,0.0,Check-out,Estados Unidos,Los Angeles,Estados Unidos,Expedia,Pareja,3,1,True,2023-01,T1-2023
RES2023000109,2022-12-01,2023-01-02,2023-01-06,SUP044,Superior,Superior,Todo Incluido,40425.0,4,161700.0,0.0,Check-out,Otros,Colombia,Otros,Sitio Web Directo,Individual,2,0,True,2023-01,T1-2023
RES2023000110,2022-12-02,2023-01-02,2023-01-05,STA008,Standard,Standard,Media Pensión,26825.0,3,80475.0,0.0,Check-in,Argentina,Tucumán,Argentina,Agencia de Viajes,Pareja,1,0,True,2023-01,T1-2023
RES2023000111,2022-11-03,2023-01-02,2023-01-09,SUI071,Suite,Lujo,Solo Alojamiento,38500.0,7,269500.0,0.0,Check-in,Europa,Reino Unido,Europa,Sitio Web Directo,Grupo,4,1,True,2023-01,T1-2023
RES2023000112,2022-12-05,2023-01-02,2023-01-07,STA011,Standard,Standard,Media Pensión,26825.0,5,134125.0,0.0,Check-in,Argentina,Tucumán,Argentina,Directo Teléfono,Familia,2,0,True,2023-01,T1-2023
RES2023000113,2022-12-09,2023-01-02,2023-01-04,STA005,Standard,Standard,Solo Alojamiento,18500.0,2,37000.0,0.0,Check-out,Europa,Alemania,Europa,Directo Teléfono,Individual,2,0,True,2023-01,T1-2023
RES2023000114,2022-12-25,2023-01-02,2023-01-07,SUP042,Superior,Superior,Alojamiento + Desayuno,30625.0,5,153125.0,0.0,Check-out,Brasil,São Paulo,Brasil,Directo Teléfono,Individual,2,0,True,2023-01,T1-2023
RES2023000115,2022-11-18,2023-01-02,2023-01-04,SUI070,Suite,Lujo,Todo Incluido,63525.0,2,127050.0,0.0,Check-out,Europa,Alemania,Europa,Sitio Web Directo,Individual,1,0,True,2023-01,T1-2023
RES2023000116,2022-11-27,2023-01-02,2023-01-08,STA010,Standard,Standard,Media Pensión,26825.0,6,160950.0,0.0,Check-out,Estados Unidos,New York,Estados Unidos,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
RES2023000117,2022-11-04,2023-01-02,2023-01-05,STA030,Standard,Standard,Todo Incluido,30525.0,3,91575.0,0.0,Check-out,Argentina,Buenos Aires,Argentina,Sitio Web Directo,Pareja,1,0,True,2023-01,T1-2023
